fsa,timestamp,total_consumption_kwh,reported_premise_count
L4T,2026-01-01 00:00:00,11613.8,8569
L4T,2026-01-01 01:00:00,10971.099999999999,8569
L4T,2026-01-01 02:00:00,10588.4,8569
L4T,2026-01-01 03:00:00,10199.1,8485
L4T,2026-01-01 04:00:00,10048.1,8569
L4T,2026-01-01 05:00:00,9959.1,8485
L4T,2026-01-01 06:00:00,10074.9,8569
L4T,2026-01-01 07:00:00,10212.6,8485
L4T,2026-01-01 08:00:00,10721.8,8485
L4T,2026-01-01 09:00:00,11348.1,8569
L4T,2026-01-01 10:00:00,12157.4,8569
L4T,2026-01-01 11:00:00,12951.3,8485
L4T,2026-01-01 12:00:00,13474.5,8569
L4T,2026-01-01 13:00:00,13716.600000000002,8569
L4T,2026-01-01 14:00:00,13818.6,8569
L4T,2026-01-01 15:00:00,13695.9,8569
L4T,2026-01-01 16:00:00,14060.2,8569
L4T,2026-01-01 17:00:00,14638.5,8569
L4T,2026-01-01 18:00:00,14861.7,8569
L4T,2026-01-01 19:00:00,14947.1,8569
L4T,2026-01-01 20:00:00,14658.3,8569
L4T,2026-01-01 21:00:00,14229.2,8569
L4T,2026-01-01 22:00:00,13398.300000000001,8569
L4T,2026-01-01 23:00:00,12386.2,8569
L4T,2026-01-02 00:00:00,11437.3,8569
L4T,2026-01-02 01:00:00,10537.7,8485
L4T,2026-01-02 02:00:00,10085.8,8569
L4T,2026-01-02 03:00:00,9708.7,8485
L4T,2026-01-02 04:00:00,9736.3,8569
L4T,2026-01-02 05:00:00,9738.8,8485
L4T,2026-01-02 06:00:00,9888.3,8485
L4T,2026-01-02 07:00:00,10350.3,8569
L4T,2026-01-02 08:00:00,10945.8,8569
L4T,2026-01-02 09:00:00,11502.7,8569
L4T,2026-01-02 10:00:00,12093.6,8569
L4T,2026-01-02 11:00:00,12697.5,8569
L4T,2026-01-02 12:00:00,12992.2,8569
L4T,2026-01-02 13:00:00,13109.9,8569
L4T,2026-01-02 14:00:00,12901.499999999998,8569
L4T,2026-01-02 15:00:00,13073.9,8569
L4T,2026-01-02 16:00:00,13509.8,8569
L4T,2026-01-02 17:00:00,14265.5,8569
L4T,2026-01-02 18:00:00,14686.800000000001,8569
L4T,2026-01-02 19:00:00,14975.599999999999,8569
L4T,2026-01-02 20:00:00,15048.7,8569
L4T,2026-01-02 21:00:00,14572.699999999999,8569
L4T,2026-01-02 22:00:00,13621.600000000002,8569
L4T,2026-01-02 23:00:00,12831.699999999999,8569
L4T,2026-01-03 00:00:00,11728.0,8569
L4T,2026-01-03 01:00:00,10875.7,8569
