fsa,timestamp,total_consumption_kwh,reported_premise_count
M5S,2026-01-01 00:00:00,5638.1,6221
M5S,2026-01-01 01:00:00,5504.0,6221
M5S,2026-01-01 02:00:00,5361.599999999999,6221
M5S,2026-01-01 03:00:00,5230.8,6221
M5S,2026-01-01 04:00:00,5176.7,6221
M5S,2026-01-01 05:00:00,5151.7,6221
M5S,2026-01-01 06:00:00,5207.6,6221
M5S,2026-01-01 07:00:00,5277.4,6221
M5S,2026-01-01 08:00:00,5488.2,6221
M5S,2026-01-01 09:00:00,5627.8,6221
M5S,2026-01-01 10:00:00,5789.799999999999,6221
M5S,2026-01-01 11:00:00,6063.5,6221
M5S,2026-01-01 12:00:00,6362.099999999999,6221
M5S,2026-01-01 13:00:00,6343.7,6221
M5S,2026-01-01 14:00:00,6397.200000000001,6221
M5S,2026-01-01 15:00:00,6492.400000000001,6221
M5S,2026-01-01 16:00:00,6745.1,6221
M5S,2026-01-01 17:00:00,7077.7,6221
M5S,2026-01-01 18:00:00,7199.2,6221
M5S,2026-01-01 19:00:00,7129.9,6221
M5S,2026-01-01 20:00:00,6963.4,6221
M5S,2026-01-01 21:00:00,6834.7,6221
M5S,2026-01-01 22:00:00,6600.1,6221
M5S,2026-01-01 23:00:00,6175.299999999999,6221
M5S,2026-01-02 00:00:00,5799.8,6221
M5S,2026-01-02 01:00:00,5473.4,6221
M5S,2026-01-02 02:00:00,5222.0,6221
M5S,2026-01-02 03:00:00,5107.2,6221
M5S,2026-01-02 04:00:00,5013.2,6221
M5S,2026-01-02 05:00:00,5043.1,6221
M5S,2026-01-02 06:00:00,5096.6,6221
M5S,2026-01-02 07:00:00,5304.3,6221
M5S,2026-01-02 08:00:00,5589.3,6221
M5S,2026-01-02 09:00:00,5800.5,6221
M5S,2026-01-02 10:00:00,6086.599999999999,6221
M5S,2026-01-02 11:00:00,6298.4,6221
M5S,2026-01-02 12:00:00,6287.6,6221
M5S,2026-01-02 13:00:00,6262.9,6221
M5S,2026-01-02 14:00:00,6154.299999999999,6221
M5S,2026-01-02 15:00:00,6191.0,6221
M5S,2026-01-02 16:00:00,6428.8,6221
M5S,2026-01-02 17:00:00,6898.6,6221
M5S,2026-01-02 18:00:00,7094.1,6221
M5S,2026-01-02 19:00:00,7020.5,6221
M5S,2026-01-02 20:00:00,6944.3,6221
M5S,2026-01-02 21:00:00,6807.0,6221
M5S,2026-01-02 22:00:00,6430.200000000001,6221
M5S,2026-01-02 23:00:00,6134.400000000001,6221
M5S,2026-01-03 00:00:00,5741.7,6221
M5S,2026-01-03 01:00:00,5415.1,6221
M5S,2026-01-03 02:00:00,5176.0,6221
M5S,2026-01-03 03:00:00,5019.5,6221
M5S,2026-01-03 04:00:00,4911.7,6221
M5S,2026-01-03 05:00:00,4919.6,6221
M5S,2026-01-03 06:00:00,4962.8,6221
M5S,2026-01-03 07:00:00,5136.4,6221
M5S,2026-01-03 08:00:00,5453.5,6221
M5S,2026-01-03 09:00:00,5834.099999999999,6221
M5S,2026-01-03 10:00:00,6186.8,6221
M5S,2026-01-03 11:00:00,6442.099999999999,6221
M5S,2026-01-03 12:00:00,6602.1,6221
M5S,2026-01-03 13:00:00,6655.0,6221
M5S,2026-01-03 14:00:00,6632.7,6221
M5S,2026-01-03 15:00:00,6710.4,6221
M5S,2026-01-03 16:00:00,6840.5,6221
M5S,2026-01-03 17:00:00,7073.7,6221
M5S,2026-01-03 18:00:00,7085.8,6221
M5S,2026-01-03 19:00:00,6960.3,6221
M5S,2026-01-03 20:00:00,6816.7,6221
M5S,2026-01-03 21:00:00,6609.8,6221
M5S,2026-01-03 22:00:00,6360.799999999999,6221
M5S,2026-01-03 23:00:00,6055.0,6221
M5S,2026-01-04 00:00:00,5630.5,6221
M5S,2026-01-04 01:00:00,5309.5,6221
M5S,2026-01-04 02:00:00,5124.900000000001,6221
M5S,2026-01-04 03:00:00,4946.7,6221
M5S,2026-01-04 04:00:00,4851.2,6221
M5S,2026-01-04 05:00:00,4789.0,6221
M5S,2026-01-04 06:00:00,4835.599999999999,6221
M5S,2026-01-04 07:00:00,4977.6,6221
M5S,2026-01-04 08:00:00,5276.0,6221
M5S,2026-01-04 09:00:00,5629.7,6221
M5S,2026-01-04 10:00:00,5944.200000000001,6221
M5S,2026-01-04 11:00:00,6202.9,6221
M5S,2026-01-04 12:00:00,6477.7,6221
M5S,2026-01-04 13:00:00,6561.8,6221
M5S,2026-01-04 14:00:00,6493.1,6221
M5S,2026-01-04 15:00:00,6608.200000000001,6221
M5S,2026-01-04 16:00:00,6857.4,6221
M5S,2026-01-04 17:00:00,7206.599999999999,6221
M5S,2026-01-04 18:00:00,7355.4,6221
M5S,2026-01-04 19:00:00,7325.700000000001,6221
M5S,2026-01-04 20:00:00,7136.7,6221
M5S,2026-01-04 21:00:00,6924.8,6221
M5S,2026-01-04 22:00:00,6525.2,6221
M5S,2026-01-04 23:00:00,6050.8,6221
M5S,2026-01-05 00:00:00,5558.8,6221
M5S,2026-01-05 01:00:00,5134.0,6221
M5S,2026-01-05 02:00:00,4842.4,6221
M5S,2026-01-05 03:00:00,4764.1,6221
M5S,2026-01-05 04:00:00,4688.8,6221
M5S,2026-01-05 05:00:00,4718.1,6221
M5S,2026-01-05 06:00:00,4905.0,6221
M5S,2026-01-05 07:00:00,5284.299999999999,6221
M5S,2026-01-05 08:00:00,5729.0,6221
M5S,2026-01-05 09:00:00,5879.3,6221
M5S,2026-01-05 10:00:00,6057.7,6221
