fsa,timestamp,total_consumption_kwh,reported_premise_count
M6G,2026-01-01 00:00:00,13909.8,12012
M6G,2026-01-01 01:00:00,13384.2,11949
M6G,2026-01-01 02:00:00,13284.5,12107
M6G,2026-01-01 03:00:00,12882.8,12107
M6G,2026-01-01 04:00:00,12673.9,12107
M6G,2026-01-01 05:00:00,12709.8,12107
M6G,2026-01-01 06:00:00,12698.9,12012
M6G,2026-01-01 07:00:00,12853.8,12012
M6G,2026-01-01 08:00:00,13480.2,12012
M6G,2026-01-01 09:00:00,13942.199999999999,11949
M6G,2026-01-01 10:00:00,14567.2,12044
M6G,2026-01-01 11:00:00,15421.099999999999,12044
M6G,2026-01-01 12:00:00,16226.1,12107
M6G,2026-01-01 13:00:00,16231.1,12044
M6G,2026-01-01 14:00:00,16391.8,12107
M6G,2026-01-01 15:00:00,16524.1,12107
M6G,2026-01-01 16:00:00,17064.0,12107
M6G,2026-01-01 17:00:00,17947.8,12012
M6G,2026-01-01 18:00:00,18042.4,11949
M6G,2026-01-01 19:00:00,17862.2,11949
M6G,2026-01-01 20:00:00,17486.4,11949
M6G,2026-01-01 21:00:00,17076.5,12107
M6G,2026-01-01 22:00:00,16439.7,12106
M6G,2026-01-01 23:00:00,14894.1,12044
M6G,2026-01-02 00:00:00,13683.3,11949
M6G,2026-01-02 01:00:00,13028.6,12044
M6G,2026-01-02 02:00:00,12603.2,12107
M6G,2026-01-02 03:00:00,12260.8,12107
M6G,2026-01-02 04:00:00,12189.7,12107
M6G,2026-01-02 05:00:00,12352.900000000001,12107
M6G,2026-01-02 06:00:00,12676.2,12107
M6G,2026-01-02 07:00:00,13146.500000000002,12012
M6G,2026-01-02 08:00:00,14065.6,12012
M6G,2026-01-02 09:00:00,15020.9,12108
M6G,2026-01-02 10:00:00,15685.0,12108
M6G,2026-01-02 11:00:00,15962.1,11950
M6G,2026-01-02 12:00:00,16324.099999999999,12108
M6G,2026-01-02 13:00:00,16381.3,12108
M6G,2026-01-02 14:00:00,16141.6,12045
M6G,2026-01-02 15:00:00,16242.0,12108
M6G,2026-01-02 16:00:00,16919.0,12108
M6G,2026-01-02 17:00:00,17933.2,12045
M6G,2026-01-02 18:00:00,18130.4,11950
M6G,2026-01-02 19:00:00,17971.3,12013
M6G,2026-01-02 20:00:00,17507.2,12045
M6G,2026-01-02 21:00:00,17052.7,12108
M6G,2026-01-02 22:00:00,16249.4,12045
M6G,2026-01-02 23:00:00,15097.0,12108
M6G,2026-01-03 00:00:00,14103.4,12108
M6G,2026-01-03 01:00:00,13143.5,12013
M6G,2026-01-03 02:00:00,12546.599999999999,12108
M6G,2026-01-03 03:00:00,12029.3,11950
M6G,2026-01-03 04:00:00,11957.2,12045
M6G,2026-01-03 05:00:00,11899.900000000001,11950
M6G,2026-01-03 06:00:00,12139.099999999999,11950
M6G,2026-01-03 07:00:00,12728.0,12013
M6G,2026-01-03 08:00:00,13635.099999999999,12013
M6G,2026-01-03 09:00:00,14682.199999999999,12045
M6G,2026-01-03 10:00:00,15530.0,12013
