fsa,timestamp,total_consumption_kwh,reported_premise_count
M9R,2026-01-01 00:00:00,5959.2,6045
M9R,2026-01-01 01:00:00,5625.5,6045
M9R,2026-01-01 02:00:00,5325.9,6045
M9R,2026-01-01 03:00:00,5153.8,6045
M9R,2026-01-01 04:00:00,5032.7,6045
M9R,2026-01-01 05:00:00,5024.5,6045
M9R,2026-01-01 06:00:00,5115.5,6045
M9R,2026-01-01 07:00:00,5254.2,6045
M9R,2026-01-01 08:00:00,5584.299999999999,6045
M9R,2026-01-01 09:00:00,5873.5,6045
M9R,2026-01-01 10:00:00,6213.7,6045
M9R,2026-01-01 11:00:00,6950.1,6045
M9R,2026-01-01 12:00:00,7266.900000000001,6045
M9R,2026-01-01 13:00:00,7262.000000000001,6045
M9R,2026-01-01 14:00:00,7290.200000000001,6045
M9R,2026-01-01 15:00:00,7411.7,6045
M9R,2026-01-01 16:00:00,7711.099999999999,6045
M9R,2026-01-01 17:00:00,8385.9,6045
M9R,2026-01-01 18:00:00,8224.7,6045
M9R,2026-01-01 19:00:00,7975.699999999999,6045
M9R,2026-01-01 20:00:00,7829.700000000001,6045
M9R,2026-01-01 21:00:00,7558.499999999999,6045
M9R,2026-01-01 22:00:00,7052.7,6045
M9R,2026-01-01 23:00:00,6442.8,6045
M9R,2026-01-02 00:00:00,5888.5,6045
M9R,2026-01-02 01:00:00,5408.4,6045
M9R,2026-01-02 02:00:00,5088.400000000001,6045
M9R,2026-01-02 03:00:00,4917.2,6045
M9R,2026-01-02 04:00:00,4841.5,6045
M9R,2026-01-02 05:00:00,4937.3,6045
M9R,2026-01-02 06:00:00,5097.2,6045
M9R,2026-01-02 07:00:00,5328.7,6045
M9R,2026-01-02 08:00:00,5700.5,6045
M9R,2026-01-02 09:00:00,5930.099999999999,6045
M9R,2026-01-02 10:00:00,6020.6,6045
M9R,2026-01-02 11:00:00,6266.900000000001,6045
M9R,2026-01-02 12:00:00,6413.900000000001,6045
M9R,2026-01-02 13:00:00,6484.4,6045
M9R,2026-01-02 14:00:00,6429.2,6045
M9R,2026-01-02 15:00:00,6551.500000000001,6045
M9R,2026-01-02 16:00:00,7143.700000000001,6045
M9R,2026-01-02 17:00:00,7973.6,6045
M9R,2026-01-02 18:00:00,7916.2,6045
M9R,2026-01-02 19:00:00,7825.900000000001,6045
M9R,2026-01-02 20:00:00,7807.099999999999,6045
M9R,2026-01-02 21:00:00,7599.7,6045
M9R,2026-01-02 22:00:00,7053.8,6045
M9R,2026-01-02 23:00:00,6375.2,6045
M9R,2026-01-03 00:00:00,5775.8,6045
M9R,2026-01-03 01:00:00,5312.3,6045
M9R,2026-01-03 02:00:00,5004.2,6045
M9R,2026-01-03 03:00:00,4831.400000000001,6045
M9R,2026-01-03 04:00:00,4765.0,6045
M9R,2026-01-03 05:00:00,4784.7,6045
M9R,2026-01-03 06:00:00,4894.4,6045
M9R,2026-01-03 07:00:00,5180.2,6045
M9R,2026-01-03 08:00:00,5630.200000000001,6045
M9R,2026-01-03 09:00:00,6180.2,6045
M9R,2026-01-03 10:00:00,6606.2,6045
M9R,2026-01-03 11:00:00,7085.900000000001,6045
M9R,2026-01-03 12:00:00,7228.3,6045
M9R,2026-01-03 13:00:00,7222.7,6045
M9R,2026-01-03 14:00:00,7250.400000000001,6045
M9R,2026-01-03 15:00:00,7365.5,6045
M9R,2026-01-03 16:00:00,7866.7,6045
M9R,2026-01-03 17:00:00,8330.6,6045
M9R,2026-01-03 18:00:00,8294.3,6045
M9R,2026-01-03 19:00:00,7979.799999999999,6045
M9R,2026-01-03 20:00:00,7718.7,6045
M9R,2026-01-03 21:00:00,7452.3,6045
M9R,2026-01-03 22:00:00,7020.099999999999,6045
M9R,2026-01-03 23:00:00,6447.6,6045
M9R,2026-01-04 00:00:00,5845.7,6045
M9R,2026-01-04 01:00:00,5279.3,6045
M9R,2026-01-04 02:00:00,4958.8,6045
M9R,2026-01-04 03:00:00,4756.7,6045
M9R,2026-01-04 04:00:00,4651.7,6045
M9R,2026-01-04 05:00:00,4689.2,6045
M9R,2026-01-04 06:00:00,4848.0,6045
M9R,2026-01-04 07:00:00,5108.7,6045
M9R,2026-01-04 08:00:00,5573.099999999999,6045
M9R,2026-01-04 09:00:00,6169.8,6045
M9R,2026-01-04 10:00:00,6519.4,6045
M9R,2026-01-04 11:00:00,6938.0,6045
M9R,2026-01-04 12:00:00,7207.2,6045
M9R,2026-01-04 13:00:00,7398.400000000001,6045
M9R,2026-01-04 14:00:00,7419.4,6045
M9R,2026-01-04 15:00:00,7544.1,6045
M9R,2026-01-04 16:00:00,8078.599999999999,6045
M9R,2026-01-04 17:00:00,8597.599999999999,6045
M9R,2026-01-04 18:00:00,8583.4,6045
M9R,2026-01-04 19:00:00,8268.800000000001,6045
M9R,2026-01-04 20:00:00,7987.1,6045
M9R,2026-01-04 21:00:00,7513.6,6045
M9R,2026-01-04 22:00:00,6854.499999999999,6045
M9R,2026-01-04 23:00:00,6113.099999999999,6045
M9R,2026-01-05 00:00:00,5360.8,6045
M9R,2026-01-05 01:00:00,4903.7,6044
M9R,2026-01-05 02:00:00,4601.0,6044
M9R,2026-01-05 03:00:00,4496.7,6044
M9R,2026-01-05 04:00:00,4497.8,6044
M9R,2026-01-05 05:00:00,4657.3,6044
M9R,2026-01-05 06:00:00,5078.2,6044
M9R,2026-01-05 07:00:00,5625.3,6044
M9R,2026-01-05 08:00:00,5621.9,6044
M9R,2026-01-05 09:00:00,5639.8,6044
M9R,2026-01-05 10:00:00,5813.4,6044
M9R,2026-01-05 11:00:00,5925.5,6044
M9R,2026-01-05 12:00:00,6078.700000000001,6044
M9R,2026-01-05 13:00:00,6065.999999999999,6044
M9R,2026-01-05 14:00:00,6120.699999999999,6044
M9R,2026-01-05 15:00:00,6202.4,6044
M9R,2026-01-05 16:00:00,6986.0,6044
M9R,2026-01-05 17:00:00,7788.299999999999,6044
M9R,2026-01-05 18:00:00,7676.7,6044
M9R,2026-01-05 19:00:00,7547.1,6044
M9R,2026-01-05 20:00:00,7575.499999999999,6044
M9R,2026-01-05 21:00:00,7174.8,6044
M9R,2026-01-05 22:00:00,6523.2,6044
M9R,2026-01-05 23:00:00,5748.5,6044
M9R,2026-01-06 00:00:00,5124.299999999999,6044
M9R,2026-01-06 01:00:00,4714.9,6044
M9R,2026-01-06 02:00:00,4444.1,6044
M9R,2026-01-06 03:00:00,4355.2,6044
M9R,2026-01-06 04:00:00,4369.900000000001,6044
M9R,2026-01-06 05:00:00,4534.0,6044
M9R,2026-01-06 06:00:00,4907.1,6044
M9R,2026-01-06 07:00:00,5435.1,6044
M9R,2026-01-06 08:00:00,5411.099999999999,6044
M9R,2026-01-06 09:00:00,5379.7,6044
M9R,2026-01-06 10:00:00,5482.099999999999,6044
M9R,2026-01-06 11:00:00,5669.0,6044
M9R,2026-01-06 12:00:00,5861.0,6044
M9R,2026-01-06 13:00:00,6002.000000000001,6044
