fsa,timestamp,total_consumption_kwh,reported_premise_count
M9W,2026-01-01 00:00:00,14297.699999999999,11236
M9W,2026-01-01 01:00:00,13913.3,11236
M9W,2026-01-01 02:00:00,13439.2,11236
M9W,2026-01-01 03:00:00,12999.8,11236
M9W,2026-01-01 04:00:00,12791.5,11236
M9W,2026-01-01 05:00:00,12745.2,11236
M9W,2026-01-01 06:00:00,12877.3,11236
M9W,2026-01-01 07:00:00,13143.4,11236
M9W,2026-01-01 08:00:00,13350.4,11236
M9W,2026-01-01 09:00:00,13963.4,11236
M9W,2026-01-01 10:00:00,14791.900000000001,11236
M9W,2026-01-01 11:00:00,15891.3,11236
M9W,2026-01-01 12:00:00,16415.7,11236
M9W,2026-01-01 13:00:00,16230.0,11236
M9W,2026-01-01 14:00:00,16488.9,11236
M9W,2026-01-01 15:00:00,16797.3,11236
M9W,2026-01-01 16:00:00,17265.699999999997,11235
M9W,2026-01-01 17:00:00,18297.5,11235
M9W,2026-01-01 18:00:00,18235.9,11235
M9W,2026-01-01 19:00:00,18016.2,11235
M9W,2026-01-01 20:00:00,17718.1,11235
M9W,2026-01-01 21:00:00,17058.899999999998,11235
M9W,2026-01-01 22:00:00,16108.300000000001,11235
M9W,2026-01-01 23:00:00,15037.800000000001,11235
M9W,2026-01-02 00:00:00,14172.400000000001,11235
M9W,2026-01-02 01:00:00,13348.5,11235
M9W,2026-01-02 02:00:00,12845.2,11235
M9W,2026-01-02 03:00:00,12536.3,11235
M9W,2026-01-02 04:00:00,12507.7,11235
M9W,2026-01-02 05:00:00,12691.699999999999,11235
M9W,2026-01-02 06:00:00,13188.599999999999,11235
M9W,2026-01-02 07:00:00,13800.400000000001,11233
M9W,2026-01-02 08:00:00,14569.5,11233
M9W,2026-01-02 09:00:00,15592.5,11233
M9W,2026-01-02 10:00:00,16242.8,11233
M9W,2026-01-02 11:00:00,16902.1,11233
M9W,2026-01-02 12:00:00,17265.0,11233
M9W,2026-01-02 13:00:00,17149.6,11233
M9W,2026-01-02 14:00:00,16873.800000000003,11233
M9W,2026-01-02 15:00:00,17059.3,11233
M9W,2026-01-02 16:00:00,17642.2,11233
M9W,2026-01-02 17:00:00,18705.4,11233
M9W,2026-01-02 18:00:00,18349.9,11233
M9W,2026-01-02 19:00:00,18339.0,11233
M9W,2026-01-02 20:00:00,18071.1,11233
M9W,2026-01-02 21:00:00,17410.4,11233
M9W,2026-01-02 22:00:00,16471.1,11233
M9W,2026-01-02 23:00:00,15382.5,11233
M9W,2026-01-03 00:00:00,14257.7,11233
M9W,2026-01-03 01:00:00,13436.2,11233
M9W,2026-01-03 02:00:00,12901.900000000001,11233
M9W,2026-01-03 03:00:00,12409.6,11233
M9W,2026-01-03 04:00:00,12269.7,11233
M9W,2026-01-03 05:00:00,12299.4,11233
M9W,2026-01-03 06:00:00,12599.3,11233
M9W,2026-01-03 07:00:00,13166.5,11233
M9W,2026-01-03 08:00:00,13977.3,11233
M9W,2026-01-03 09:00:00,15377.3,11233
M9W,2026-01-03 10:00:00,16751.7,11233
M9W,2026-01-03 11:00:00,17577.5,11233
M9W,2026-01-03 12:00:00,17922.4,11233
M9W,2026-01-03 13:00:00,17989.2,11233
M9W,2026-01-03 14:00:00,18060.8,11233
M9W,2026-01-03 15:00:00,18076.2,11233
M9W,2026-01-03 16:00:00,18530.2,11233
M9W,2026-01-03 17:00:00,19187.9,11233
M9W,2026-01-03 18:00:00,18891.7,11233
M9W,2026-01-03 19:00:00,18358.7,11233
M9W,2026-01-03 20:00:00,17794.5,11233
M9W,2026-01-03 21:00:00,17116.6,11233
M9W,2026-01-03 22:00:00,16314.699999999999,11233
M9W,2026-01-03 23:00:00,15181.099999999999,11233
M9W,2026-01-04 00:00:00,14123.900000000001,11233
M9W,2026-01-04 01:00:00,13272.8,11233
M9W,2026-01-04 02:00:00,12590.1,11233
M9W,2026-01-04 03:00:00,12176.6,11233
M9W,2026-01-04 04:00:00,11953.6,11233
M9W,2026-01-04 05:00:00,11931.400000000001,11233
M9W,2026-01-04 06:00:00,12139.0,11233
M9W,2026-01-04 07:00:00,12564.9,11233
M9W,2026-01-04 08:00:00,13211.300000000001,11233
M9W,2026-01-04 09:00:00,14362.199999999999,11233
M9W,2026-01-04 10:00:00,15474.0,11233
M9W,2026-01-04 11:00:00,16551.5,11233
M9W,2026-01-04 12:00:00,17264.1,11233
M9W,2026-01-04 13:00:00,17494.9,11233
M9W,2026-01-04 14:00:00,17370.5,11233
M9W,2026-01-04 15:00:00,17632.699999999997,11233
M9W,2026-01-04 16:00:00,18392.300000000003,11233
M9W,2026-01-04 17:00:00,19446.7,11233
M9W,2026-01-04 18:00:00,19263.0,11233
M9W,2026-01-04 19:00:00,18902.600000000002,11233
M9W,2026-01-04 20:00:00,18302.1,11233
M9W,2026-01-04 21:00:00,17334.6,11233
M9W,2026-01-04 22:00:00,15939.3,11233
M9W,2026-01-04 23:00:00,14631.599999999999,11233
M9W,2026-01-05 00:00:00,13349.9,11233
M9W,2026-01-05 01:00:00,12478.8,11234
M9W,2026-01-05 02:00:00,11945.2,11234
M9W,2026-01-05 03:00:00,11687.0,11234
M9W,2026-01-05 04:00:00,11786.900000000001,11234
M9W,2026-01-05 05:00:00,12271.7,11234
M9W,2026-01-05 06:00:00,13304.7,11234
M9W,2026-01-05 07:00:00,14813.8,11234
M9W,2026-01-05 08:00:00,15411.6,11234
M9W,2026-01-05 09:00:00,16404.3,11234
M9W,2026-01-05 10:00:00,17144.1,11234
M9W,2026-01-05 11:00:00,17689.7,11234
M9W,2026-01-05 12:00:00,17868.0,11234
M9W,2026-01-05 13:00:00,17862.4,11234
M9W,2026-01-05 14:00:00,17664.699999999997,11234
M9W,2026-01-05 15:00:00,17717.4,11234
M9W,2026-01-05 16:00:00,18112.2,11234
M9W,2026-01-05 17:00:00,18634.8,11234
M9W,2026-01-05 18:00:00,18289.2,11234
M9W,2026-01-05 19:00:00,17902.0,11234
M9W,2026-01-05 20:00:00,17404.5,11234
M9W,2026-01-05 21:00:00,16516.800000000003,11234
M9W,2026-01-05 22:00:00,15062.900000000001,11234
M9W,2026-01-05 23:00:00,13885.599999999999,11234
M9W,2026-01-06 00:00:00,12930.0,11234
M9W,2026-01-06 01:00:00,12207.3,11234
M9W,2026-01-06 02:00:00,11721.5,11234
M9W,2026-01-06 03:00:00,11470.0,11234
M9W,2026-01-06 04:00:00,11571.9,11234
M9W,2026-01-06 05:00:00,12157.3,11234
M9W,2026-01-06 06:00:00,13108.599999999999,11234
M9W,2026-01-06 07:00:00,14600.2,11234
M9W,2026-01-06 08:00:00,15346.6,11234
M9W,2026-01-06 09:00:00,16068.400000000001,11234
M9W,2026-01-06 10:00:00,16701.8,11234
M9W,2026-01-06 11:00:00,17390.8,11234
M9W,2026-01-06 12:00:00,17636.3,11234
M9W,2026-01-06 13:00:00,17766.9,11234
M9W,2026-01-06 14:00:00,17705.9,11234
M9W,2026-01-06 15:00:00,17659.1,11234
M9W,2026-01-06 16:00:00,18183.300000000003,11234
M9W,2026-01-06 17:00:00,18711.4,11234
M9W,2026-01-06 18:00:00,18229.8,11232
M9W,2026-01-06 19:00:00,17836.600000000002,11232
M9W,2026-01-06 20:00:00,17318.4,11232
M9W,2026-01-06 21:00:00,16276.199999999999,11232
M9W,2026-01-06 22:00:00,14925.0,11232
M9W,2026-01-06 23:00:00,13748.5,11232
M9W,2026-01-07 00:00:00,12719.2,11231
M9W,2026-01-07 01:00:00,12020.8,11231
M9W,2026-01-07 02:00:00,11566.2,11231
M9W,2026-01-07 03:00:00,11331.7,11231
M9W,2026-01-07 04:00:00,11437.1,11231
M9W,2026-01-07 05:00:00,11999.7,11231
M9W,2026-01-07 06:00:00,12897.8,11231
M9W,2026-01-07 07:00:00,14307.2,11231
M9W,2026-01-07 08:00:00,14677.6,11231
M9W,2026-01-07 09:00:00,15367.2,11231
M9W,2026-01-07 10:00:00,16050.0,11231
M9W,2026-01-07 11:00:00,16817.4,11231
M9W,2026-01-07 12:00:00,17042.3,11231
M9W,2026-01-07 13:00:00,16845.5,11231
M9W,2026-01-07 14:00:00,16783.6,11231
M9W,2026-01-07 15:00:00,16961.600000000002,11232
M9W,2026-01-07 16:00:00,17197.5,11232
M9W,2026-01-07 17:00:00,18022.199999999997,11232
M9W,2026-01-07 18:00:00,17692.800000000003,11232
M9W,2026-01-07 19:00:00,17523.9,11232
M9W,2026-01-07 20:00:00,16986.4,11232
M9W,2026-01-07 21:00:00,16144.8,11231
M9W,2026-01-07 22:00:00,14896.9,11231
M9W,2026-01-07 23:00:00,13575.7,11231
M9W,2026-01-08 00:00:00,12391.4,11232
M9W,2026-01-08 01:00:00,11695.1,11232
M9W,2026-01-08 02:00:00,11218.099999999999,11232
M9W,2026-01-08 03:00:00,10952.3,11232
M9W,2026-01-08 04:00:00,11089.4,11232
M9W,2026-01-08 05:00:00,11632.3,11232
M9W,2026-01-08 06:00:00,12601.099999999999,11232
M9W,2026-01-08 07:00:00,14145.1,11232
M9W,2026-01-08 08:00:00,14698.6,11232
M9W,2026-01-08 09:00:00,15355.7,11232
M9W,2026-01-08 10:00:00,16120.0,11232
M9W,2026-01-08 11:00:00,16615.1,11232
M9W,2026-01-08 12:00:00,16397.9,11232
M9W,2026-01-08 13:00:00,16154.900000000001,11232
M9W,2026-01-08 14:00:00,15858.1,11232
M9W,2026-01-08 15:00:00,15840.0,11232
M9W,2026-01-08 16:00:00,16381.2,11232
M9W,2026-01-08 17:00:00,17359.699999999997,11232
M9W,2026-01-08 18:00:00,17314.0,11232
M9W,2026-01-08 19:00:00,16986.6,11232
M9W,2026-01-08 20:00:00,16487.5,11232
M9W,2026-01-08 21:00:00,15855.8,11232
M9W,2026-01-08 22:00:00,14548.300000000001,11232
M9W,2026-01-08 23:00:00,13328.9,11232
M9W,2026-01-09 00:00:00,12266.1,11232
M9W,2026-01-09 01:00:00,11498.9,11232
M9W,2026-01-09 02:00:00,10971.1,11232
M9W,2026-01-09 03:00:00,10656.3,11232
M9W,2026-01-09 04:00:00,10760.9,11232
M9W,2026-01-09 05:00:00,11251.7,11232
M9W,2026-01-09 06:00:00,12100.1,11232
M9W,2026-01-09 07:00:00,13541.4,11232
M9W,2026-01-09 08:00:00,14419.2,11232
M9W,2026-01-09 09:00:00,15114.0,11232
M9W,2026-01-09 10:00:00,15788.6,11232
M9W,2026-01-09 11:00:00,16215.3,11232
M9W,2026-01-09 12:00:00,15984.6,11232
M9W,2026-01-09 13:00:00,15758.1,11232
M9W,2026-01-09 14:00:00,15619.8,11232
M9W,2026-01-09 15:00:00,16084.400000000001,11232
M9W,2026-01-09 16:00:00,16340.6,11232
M9W,2026-01-09 17:00:00,16987.9,11232
M9W,2026-01-09 18:00:00,16856.9,11232
M9W,2026-01-09 19:00:00,16534.5,11232
M9W,2026-01-09 20:00:00,16199.5,11232
M9W,2026-01-09 21:00:00,15475.1,11232
M9W,2026-01-09 22:00:00,14621.199999999997,11232
M9W,2026-01-09 23:00:00,13579.7,11232
M9W,2026-01-10 00:00:00,12556.8,11232
M9W,2026-01-10 01:00:00,11702.3,11232
M9W,2026-01-10 02:00:00,11095.7,11232
