FSA,DATE,HOUR,CUSTOMER_TYPE,PRICE_PLAN,TOTAL_CONSUMPTION,PREMISE_COUNT,SOURCE_PERIOD,INTERVAL_START_TIMESTAMP,INTERVAL_END_TIMESTAMP,TIMESTAMP
M5R,2021-01-01 00:00:00,1,Residential,TOU,7512.7,8982,202101,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 00:00:00
M5R,2021-01-01 00:00:00,1,Residential,Tiered,204.3,304,202101,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 00:00:00
M5R,2021-01-01 00:00:00,2,Residential,TOU,6943.5,8982,202101,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 01:00:00
M5R,2021-01-01 00:00:00,2,Residential,Tiered,181.4,304,202101,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 01:00:00
M5R,2021-01-01 00:00:00,3,Residential,TOU,6544.3,8982,202101,2021-01-01 02:00:00,2021-01-01 03:00:00,2021-01-01 02:00:00
M5R,2021-01-01 00:00:00,3,Residential,Tiered,165.1,304,202101,2021-01-01 02:00:00,2021-01-01 03:00:00,2021-01-01 02:00:00
M5R,2021-01-01 00:00:00,4,Residential,TOU,6258.5,8982,202101,2021-01-01 03:00:00,2021-01-01 04:00:00,2021-01-01 03:00:00
M5R,2021-01-01 00:00:00,4,Residential,Tiered,153.1,304,202101,2021-01-01 03:00:00,2021-01-01 04:00:00,2021-01-01 03:00:00
M5R,2021-01-01 00:00:00,5,Residential,TOU,6064.3,8983,202101,2021-01-01 04:00:00,2021-01-01 05:00:00,2021-01-01 04:00:00
M5R,2021-01-01 00:00:00,5,Residential,Tiered,145.9,304,202101,2021-01-01 04:00:00,2021-01-01 05:00:00,2021-01-01 04:00:00
M5R,2021-01-01 00:00:00,6,Residential,TOU,6055.7,8983,202101,2021-01-01 05:00:00,2021-01-01 06:00:00,2021-01-01 05:00:00
M5R,2021-01-01 00:00:00,6,Residential,Tiered,150.0,304,202101,2021-01-01 05:00:00,2021-01-01 06:00:00,2021-01-01 05:00:00
M5R,2021-01-01 00:00:00,7,Residential,TOU,6196.2,8983,202101,2021-01-01 06:00:00,2021-01-01 07:00:00,2021-01-01 06:00:00
M5R,2021-01-01 00:00:00,7,Residential,Tiered,159.6,304,202101,2021-01-01 06:00:00,2021-01-01 07:00:00,2021-01-01 06:00:00
M5R,2021-01-01 00:00:00,8,Residential,TOU,6390.3,8983,202101,2021-01-01 07:00:00,2021-01-01 08:00:00,2021-01-01 07:00:00
M5R,2021-01-01 00:00:00,8,Residential,Tiered,179.0,304,202101,2021-01-01 07:00:00,2021-01-01 08:00:00,2021-01-01 07:00:00
M5R,2021-01-01 00:00:00,9,Residential,TOU,6774.1,8983,202101,2021-01-01 08:00:00,2021-01-01 09:00:00,2021-01-01 08:00:00
M5R,2021-01-01 00:00:00,9,Residential,Tiered,205.5,304,202101,2021-01-01 08:00:00,2021-01-01 09:00:00,2021-01-01 08:00:00
M5R,2021-01-01 00:00:00,10,Residential,TOU,7287.4,8983,202101,2021-01-01 09:00:00,2021-01-01 10:00:00,2021-01-01 09:00:00
M5R,2021-01-01 00:00:00,10,Residential,Tiered,226.0,304,202101,2021-01-01 09:00:00,2021-01-01 10:00:00,2021-01-01 09:00:00
