FSA,DATE,HOUR,CUSTOMER_TYPE,PRICE_PLAN,TOTAL_CONSUMPTION,PREMISE_COUNT,SOURCE_PERIOD,INTERVAL_START_TIMESTAMP,INTERVAL_END_TIMESTAMP,TIMESTAMP
M5S,2021-01-01 00:00:00,1,Residential,TOU,4011.1,5625,202101,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 00:00:00
M5S,2021-01-01 00:00:00,1,Residential,Tiered,175.1,302,202101,2021-01-01 00:00:00,2021-01-01 01:00:00,2021-01-01 00:00:00
M5S,2021-01-01 00:00:00,2,Residential,TOU,3712.7,5625,202101,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 01:00:00
M5S,2021-01-01 00:00:00,2,Residential,Tiered,156.1,302,202101,2021-01-01 01:00:00,2021-01-01 02:00:00,2021-01-01 01:00:00
M5S,2021-01-01 00:00:00,3,Residential,TOU,3504.1,5625,202101,2021-01-01 02:00:00,2021-01-01 03:00:00,2021-01-01 02:00:00
M5S,2021-01-01 00:00:00,3,Residential,Tiered,148.5,302,202101,2021-01-01 02:00:00,2021-01-01 03:00:00,2021-01-01 02:00:00
M5S,2021-01-01 00:00:00,4,Residential,TOU,3401.8,5625,202101,2021-01-01 03:00:00,2021-01-01 04:00:00,2021-01-01 03:00:00
M5S,2021-01-01 00:00:00,4,Residential,Tiered,136.9,302,202101,2021-01-01 03:00:00,2021-01-01 04:00:00,2021-01-01 03:00:00
M5S,2021-01-01 00:00:00,5,Residential,TOU,3285.8,5625,202101,2021-01-01 04:00:00,2021-01-01 05:00:00,2021-01-01 04:00:00
M5S,2021-01-01 00:00:00,5,Residential,Tiered,132.0,302,202101,2021-01-01 04:00:00,2021-01-01 05:00:00,2021-01-01 04:00:00
M5S,2021-01-01 00:00:00,6,Residential,TOU,3230.9,5625,202101,2021-01-01 05:00:00,2021-01-01 06:00:00,2021-01-01 05:00:00
M5S,2021-01-01 00:00:00,6,Residential,Tiered,137.1,302,202101,2021-01-01 05:00:00,2021-01-01 06:00:00,2021-01-01 05:00:00
M5S,2021-01-01 00:00:00,7,Residential,TOU,3240.0,5625,202101,2021-01-01 06:00:00,2021-01-01 07:00:00,2021-01-01 06:00:00
M5S,2021-01-01 00:00:00,7,Residential,Tiered,134.9,302,202101,2021-01-01 06:00:00,2021-01-01 07:00:00,2021-01-01 06:00:00
M5S,2021-01-01 00:00:00,8,Residential,TOU,3322.7,5625,202101,2021-01-01 07:00:00,2021-01-01 08:00:00,2021-01-01 07:00:00
M5S,2021-01-01 00:00:00,8,Residential,Tiered,138.4,302,202101,2021-01-01 07:00:00,2021-01-01 08:00:00,2021-01-01 07:00:00
M5S,2021-01-01 00:00:00,9,Residential,TOU,3505.1,5625,202101,2021-01-01 08:00:00,2021-01-01 09:00:00,2021-01-01 08:00:00
M5S,2021-01-01 00:00:00,9,Residential,Tiered,157.8,302,202101,2021-01-01 08:00:00,2021-01-01 09:00:00,2021-01-01 08:00:00
M5S,2021-01-01 00:00:00,10,Residential,TOU,3732.0,5625,202101,2021-01-01 09:00:00,2021-01-01 10:00:00,2021-01-01 09:00:00
M5S,2021-01-01 00:00:00,10,Residential,Tiered,166.5,302,202101,2021-01-01 09:00:00,2021-01-01 10:00:00,2021-01-01 09:00:00
M5S,2021-01-01 00:00:00,11,Residential,TOU,3964.0,5625,202101,2021-01-01 10:00:00,2021-01-01 11:00:00,2021-01-01 10:00:00
M5S,2021-01-01 00:00:00,11,Residential,Tiered,173.9,302,202101,2021-01-01 10:00:00,2021-01-01 11:00:00,2021-01-01 10:00:00
M5S,2021-01-01 00:00:00,12,Residential,TOU,4259.8,5625,202101,2021-01-01 11:00:00,2021-01-01 12:00:00,2021-01-01 11:00:00
M5S,2021-01-01 00:00:00,12,Residential,Tiered,204.6,302,202101,2021-01-01 11:00:00,2021-01-01 12:00:00,2021-01-01 11:00:00
M5S,2021-01-01 00:00:00,13,Residential,TOU,4452.2,5625,202101,2021-01-01 12:00:00,2021-01-01 13:00:00,2021-01-01 12:00:00
M5S,2021-01-01 00:00:00,13,Residential,Tiered,216.1,302,202101,2021-01-01 12:00:00,2021-01-01 13:00:00,2021-01-01 12:00:00
M5S,2021-01-01 00:00:00,14,Residential,TOU,4565.8,5625,202101,2021-01-01 13:00:00,2021-01-01 14:00:00,2021-01-01 13:00:00
M5S,2021-01-01 00:00:00,14,Residential,Tiered,217.9,302,202101,2021-01-01 13:00:00,2021-01-01 14:00:00,2021-01-01 13:00:00
M5S,2021-01-01 00:00:00,15,Residential,TOU,4637.7,5625,202101,2021-01-01 14:00:00,2021-01-01 15:00:00,2021-01-01 14:00:00
M5S,2021-01-01 00:00:00,15,Residential,Tiered,204.5,302,202101,2021-01-01 14:00:00,2021-01-01 15:00:00,2021-01-01 14:00:00
M5S,2021-01-01 00:00:00,16,Residential,TOU,4713.8,5625,202101,2021-01-01 15:00:00,2021-01-01 16:00:00,2021-01-01 15:00:00
M5S,2021-01-01 00:00:00,16,Residential,Tiered,209.4,302,202101,2021-01-01 15:00:00,2021-01-01 16:00:00,2021-01-01 15:00:00
M5S,2021-01-01 00:00:00,17,Residential,TOU,4965.4,5625,202101,2021-01-01 16:00:00,2021-01-01 17:00:00,2021-01-01 16:00:00
M5S,2021-01-01 00:00:00,17,Residential,Tiered,216.2,302,202101,2021-01-01 16:00:00,2021-01-01 17:00:00,2021-01-01 16:00:00
M5S,2021-01-01 00:00:00,18,Residential,TOU,5261.5,5625,202101,2021-01-01 17:00:00,2021-01-01 18:00:00,2021-01-01 17:00:00
M5S,2021-01-01 00:00:00,18,Residential,Tiered,248.6,302,202101,2021-01-01 17:00:00,2021-01-01 18:00:00,2021-01-01 17:00:00
M5S,2021-01-01 00:00:00,19,Residential,TOU,5347.6,5625,202101,2021-01-01 18:00:00,2021-01-01 19:00:00,2021-01-01 18:00:00
M5S,2021-01-01 00:00:00,19,Residential,Tiered,254.2,302,202101,2021-01-01 18:00:00,2021-01-01 19:00:00,2021-01-01 18:00:00
M5S,2021-01-01 00:00:00,20,Residential,TOU,5222.1,5625,202101,2021-01-01 19:00:00,2021-01-01 20:00:00,2021-01-01 19:00:00
M5S,2021-01-01 00:00:00,20,Residential,Tiered,245.8,302,202101,2021-01-01 19:00:00,2021-01-01 20:00:00,2021-01-01 19:00:00
M5S,2021-01-01 00:00:00,21,Residential,TOU,5026.9,5625,202101,2021-01-01 20:00:00,2021-01-01 21:00:00,2021-01-01 20:00:00
M5S,2021-01-01 00:00:00,21,Residential,Tiered,230.3,302,202101,2021-01-01 20:00:00,2021-01-01 21:00:00,2021-01-01 20:00:00
M5S,2021-01-01 00:00:00,22,Residential,TOU,4811.5,5625,202101,2021-01-01 21:00:00,2021-01-01 22:00:00,2021-01-01 21:00:00
M5S,2021-01-01 00:00:00,22,Residential,Tiered,213.3,302,202101,2021-01-01 21:00:00,2021-01-01 22:00:00,2021-01-01 21:00:00
