REGION,TIMESTAMP,TOTAL_CONSUMPTION,Temp (°C),Rel Hum (%),date,year,month,hour,weekday,is_weekend,is_workday,is_public_holiday,holiday_name,is_daylight_saving_time,is_dst_transition_day
DOWNTOWN,2021-01-01 00:00:00,22941.9,-0.9,69.0,2021-01-01,2021,1,0,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 01:00:00,21109.6,-0.8,71.0,2021-01-01,2021,1,1,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 02:00:00,19827.0,-0.9,69.0,2021-01-01,2021,1,2,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 03:00:00,18888.300000000003,-0.8,74.0,2021-01-01,2021,1,3,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 04:00:00,18240.7,-0.3,75.0,2021-01-01,2021,1,4,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 05:00:00,18176.2,0.5,70.0,2021-01-01,2021,1,5,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 06:00:00,18428.6,0.7,66.0,2021-01-01,2021,1,6,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 07:00:00,19011.6,1.2,61.0,2021-01-01,2021,1,7,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 08:00:00,20212.1,1.4,59.0,2021-01-01,2021,1,8,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 09:00:00,21723.7,1.5,59.0,2021-01-01,2021,1,9,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 10:00:00,23197.6,1.6,59.0,2021-01-01,2021,1,10,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 11:00:00,24967.9,1.7,59.0,2021-01-01,2021,1,11,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 12:00:00,26164.800000000003,2.0,60.0,2021-01-01,2021,1,12,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 13:00:00,26628.100000000002,2.1,59.0,2021-01-01,2021,1,13,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 14:00:00,26815.6,2.1,61.0,2021-01-01,2021,1,14,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 15:00:00,27213.0,2.3,64.0,2021-01-01,2021,1,15,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 16:00:00,28660.5,2.4,67.0,2021-01-01,2021,1,16,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 17:00:00,30953.7,2.4,67.0,2021-01-01,2021,1,17,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 18:00:00,31532.699999999997,0.6,92.0,2021-01-01,2021,1,18,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 19:00:00,30619.6,0.5,93.0,2021-01-01,2021,1,19,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 20:00:00,29252.9,0.6,94.0,2021-01-01,2021,1,20,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 21:00:00,27547.8,1.0,94.0,2021-01-01,2021,1,21,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 22:00:00,25546.8,1.3,94.0,2021-01-01,2021,1,22,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-01 23:00:00,23375.5,1.7,94.0,2021-01-01,2021,1,23,4,0,0,1,New Year's Day,0,0
DOWNTOWN,2021-01-02 00:00:00,21152.5,2.0,93.0,2021-01-02,2021,1,0,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 01:00:00,19450.5,2.1,93.0,2021-01-02,2021,1,1,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 02:00:00,18428.3,2.0,93.0,2021-01-02,2021,1,2,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 03:00:00,17674.2,1.5,92.0,2021-01-02,2021,1,3,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 04:00:00,17505.3,0.7,94.0,2021-01-02,2021,1,4,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 05:00:00,17768.0,0.0,91.0,2021-01-02,2021,1,5,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 06:00:00,18261.800000000003,-0.4,88.0,2021-01-02,2021,1,6,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 07:00:00,19355.2,-0.6,87.0,2021-01-02,2021,1,7,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 08:00:00,20997.300000000003,-0.6,84.0,2021-01-02,2021,1,8,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 09:00:00,22643.5,-0.6,83.0,2021-01-02,2021,1,9,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 10:00:00,24270.5,0.1,83.0,2021-01-02,2021,1,10,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 11:00:00,25614.6,0.8,81.0,2021-01-02,2021,1,11,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 12:00:00,27070.5,0.8,80.0,2021-01-02,2021,1,12,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 13:00:00,27732.6,1.6,81.0,2021-01-02,2021,1,13,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 14:00:00,27751.0,1.7,81.0,2021-01-02,2021,1,14,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 15:00:00,27859.5,1.6,80.0,2021-01-02,2021,1,15,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 16:00:00,28866.7,1.8,73.0,2021-01-02,2021,1,16,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 17:00:00,31661.199999999997,1.7,72.0,2021-01-02,2021,1,17,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 18:00:00,32595.800000000003,1.4,69.0,2021-01-02,2021,1,18,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 19:00:00,31476.399999999998,1.6,71.0,2021-01-02,2021,1,19,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 20:00:00,29625.399999999998,1.5,71.0,2021-01-02,2021,1,20,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 21:00:00,27909.4,1.4,73.0,2021-01-02,2021,1,21,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 22:00:00,25879.2,1.4,72.0,2021-01-02,2021,1,22,5,1,0,0,,0,0
DOWNTOWN,2021-01-02 23:00:00,23568.800000000003,1.5,74.0,2021-01-02,2021,1,23,5,1,0,0,,0,0
DOWNTOWN,2021-01-03 00:00:00,21395.199999999997,1.2,76.0,2021-01-03,2021,1,0,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 01:00:00,19725.199999999997,0.8,77.0,2021-01-03,2021,1,1,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 02:00:00,18502.0,0.6,77.0,2021-01-03,2021,1,2,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 03:00:00,17728.4,0.7,81.0,2021-01-03,2021,1,3,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 04:00:00,17401.7,1.2,81.0,2021-01-03,2021,1,4,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 05:00:00,17477.1,0.3,82.0,2021-01-03,2021,1,5,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 06:00:00,18077.1,0.6,82.0,2021-01-03,2021,1,6,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 07:00:00,19073.199999999997,1.3,79.0,2021-01-03,2021,1,7,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 08:00:00,20854.5,1.4,79.0,2021-01-03,2021,1,8,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 09:00:00,22829.7,1.8,78.0,2021-01-03,2021,1,9,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 10:00:00,24996.300000000003,1.9,79.0,2021-01-03,2021,1,10,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 11:00:00,26874.1,1.0,92.0,2021-01-03,2021,1,11,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 12:00:00,28536.1,1.2,92.0,2021-01-03,2021,1,12,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 13:00:00,28944.1,1.5,90.0,2021-01-03,2021,1,13,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 14:00:00,28746.199999999997,1.4,92.0,2021-01-03,2021,1,14,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 15:00:00,28467.800000000003,1.9,88.0,2021-01-03,2021,1,15,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 16:00:00,29904.4,2.0,87.0,2021-01-03,2021,1,16,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 17:00:00,32821.7,1.4,84.0,2021-01-03,2021,1,17,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 18:00:00,33753.0,1.2,85.0,2021-01-03,2021,1,18,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 19:00:00,32553.600000000002,1.0,87.0,2021-01-03,2021,1,19,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 20:00:00,30607.699999999997,1.2,86.0,2021-01-03,2021,1,20,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 21:00:00,28596.300000000003,1.2,85.0,2021-01-03,2021,1,21,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 22:00:00,26234.7,1.1,87.0,2021-01-03,2021,1,22,6,1,0,0,,0,0
DOWNTOWN,2021-01-03 23:00:00,23186.6,1.0,87.0,2021-01-03,2021,1,23,6,1,0,0,,0,0
DOWNTOWN,2021-01-04 00:00:00,20683.0,0.8,85.0,2021-01-04,2021,1,0,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 01:00:00,19012.5,0.5,84.0,2021-01-04,2021,1,1,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 02:00:00,17976.199999999997,0.7,82.0,2021-01-04,2021,1,2,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 03:00:00,17445.5,0.6,83.0,2021-01-04,2021,1,3,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 04:00:00,17308.9,0.7,81.0,2021-01-04,2021,1,4,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 05:00:00,17710.9,0.3,82.0,2021-01-04,2021,1,5,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 06:00:00,18716.4,0.4,83.0,2021-01-04,2021,1,6,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 07:00:00,20953.6,0.3,83.0,2021-01-04,2021,1,7,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 08:00:00,23756.300000000003,0.4,85.0,2021-01-04,2021,1,8,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 09:00:00,25425.9,0.2,85.0,2021-01-04,2021,1,9,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 10:00:00,26439.0,0.1,85.0,2021-01-04,2021,1,10,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 11:00:00,27547.0,0.4,80.0,2021-01-04,2021,1,11,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 12:00:00,28341.6,0.4,81.0,2021-01-04,2021,1,12,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 13:00:00,28332.1,0.7,82.0,2021-01-04,2021,1,13,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 14:00:00,27739.0,1.0,82.0,2021-01-04,2021,1,14,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 15:00:00,27755.4,1.3,80.0,2021-01-04,2021,1,15,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 16:00:00,28819.7,1.5,79.0,2021-01-04,2021,1,16,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 17:00:00,31747.399999999998,1.4,82.0,2021-01-04,2021,1,17,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 18:00:00,33082.600000000006,1.3,83.0,2021-01-04,2021,1,18,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 19:00:00,32198.0,1.3,83.0,2021-01-04,2021,1,19,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 20:00:00,30390.7,1.4,84.0,2021-01-04,2021,1,20,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 21:00:00,28487.3,1.5,83.0,2021-01-04,2021,1,21,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 22:00:00,26058.199999999997,1.4,83.0,2021-01-04,2021,1,22,0,0,1,0,,0,0
DOWNTOWN,2021-01-04 23:00:00,23134.5,1.2,83.0,2021-01-04,2021,1,23,0,0,1,0,,0,0
DOWNTOWN,2021-01-05 00:00:00,20612.6,1.1,84.0,2021-01-05,2021,1,0,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 01:00:00,18867.1,1.2,84.0,2021-01-05,2021,1,1,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 02:00:00,17921.8,1.4,84.0,2021-01-05,2021,1,2,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 03:00:00,17368.2,1.4,85.0,2021-01-05,2021,1,3,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 04:00:00,17233.0,1.4,85.0,2021-01-05,2021,1,4,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 05:00:00,17640.1,1.5,86.0,2021-01-05,2021,1,5,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 06:00:00,18629.9,1.2,88.0,2021-01-05,2021,1,6,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 07:00:00,20743.5,0.8,92.0,2021-01-05,2021,1,7,1,0,1,0,,0,0
DOWNTOWN,2021-01-05 08:00:00,23776.5,0.8,90.0,2021-01-05,2021,1,8,1,0,1,0,,0,0
