task,horizon,feature,feature_family,mean_abs_shap,mean_shap
rf,1,target_lag_24h,demand_history,2501.377370524732,813.4445382557326
rf,1,target_lag_48h,demand_history,495.0458673751231,179.46254037002285
rf,1,origin__Temp (°C),weather,411.99288974669895,-20.932936749653244
rf,1,target_lag_168h,demand_history,396.80452276278925,-1.2118482931046932
rf,1,origin_rolling_mean_24h,demand_history,349.8965285364738,-84.80806534572505
rf,1,origin_rolling_std_24h,demand_history,76.62304207073207,-13.14777789585079
rf,1,origin__reported_premise_count,context,64.49890289531433,-9.66230998068235
rf,1,target_hour,calendar_time,63.002375655793095,-7.896240322927934
rf,1,target_hour_sin,calendar_time,60.92597635050773,-11.451279909654858
rf,1,fsa,spatial,43.608935619058364,-8.492968808203026
rf,1,target_hour_cos,calendar_time,25.847925860589747,-5.881831539972754
rf,1,target_month_cos,calendar_time,19.611642875941236,8.119117176138266
rf,1,target_weekday_sin,calendar_time,19.565050690657465,0.6162924337510173
rf,1,origin_rolling_mean_168h,demand_history,15.136393441846803,-2.0931435457706953
rf,1,target_weekday,calendar_time,12.70906297630575,0.7461707647526762
rf,1,origin__Rel Hum (%),weather,11.605863342523254,0.18191251766639382
rf,1,target_season,calendar_time,8.34106756227033,3.037072941436467
rf,1,target_month,calendar_time,7.112344578284921,1.5759564742643732
rf,1,target_weekday_cos,calendar_time,6.805840536247187,0.9373342039761317
rf,1,origin__Stn Press (kPa),weather,6.67378212868707,1.6205059659828867
rf,1,target_month_sin,calendar_time,4.543246038678067,-0.497393817888887
rf,1,target_is_weekend,calendar_time,4.502515975332813,-0.08853134652708133
rf,6,target_lag_24h,demand_history,2549.602656818088,640.608831948719
rf,6,target_lag_48h,demand_history,497.1127204709291,159.21818878590537
rf,6,target_lag_168h,demand_history,454.42734743639545,-46.79463427422424
rf,6,origin__Temp (°C),weather,298.16273438004066,-27.936771730392888
rf,6,origin_rolling_mean_24h,demand_history,157.07377096036902,-67.86051096054634
rf,6,target_hour_cos,calendar_time,71.7878942044318,-5.576964951630099
rf,6,origin_rolling_std_24h,demand_history,64.65621177664435,24.692099059568644
rf,6,origin__reported_premise_count,context,64.45189692381592,-3.442761639926126
rf,6,target_hour,calendar_time,59.95635140625164,-10.925831243949116
rf,6,fsa,spatial,32.15427828717664,-9.426378806648374
rf,6,target_weekday_sin,calendar_time,25.828041223551907,0.10305277782583791
rf,6,target_hour_sin,calendar_time,24.92805745875843,-7.750639992022622
rf,6,target_weekday,calendar_time,20.82647856041827,0.2912404965418735
rf,6,origin_rolling_mean_168h,demand_history,19.907248489122228,-12.95881424491239
rf,6,origin__Stn Press (kPa),weather,16.71713969485113,2.284376536896508
rf,6,origin__Rel Hum (%),weather,16.087721135436617,-0.5824317446032807
rf,6,target_month_cos,calendar_time,13.14788689859137,4.986146088768278
rf,6,target_weekday_cos,calendar_time,10.641555795753451,0.05466552149729426
