task,horizon,feature,value_bin,observations,mean_feature_value,mean_shap,mean_abs_shap
rf,1,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,240.64192828989994,242.57351409195215
rf,1,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,140.0727676768294,173.50254934859626
rf,1,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,13.082263955919863,91.36929811829926
rf,1,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-307.99829835986895,309.34439550880694
rf,1,origin__Temp (°C),"(4.78, 8.0]",25,6.28,-359.4361029158756,359.4361029158756
rf,1,origin__Temp (°C),"(8.0, 13.68]",23,10.330434782608695,-433.0060040953517,433.0060040953518
rf,1,origin__Temp (°C),"(13.68, 16.93]",24,15.424999999999999,-533.4630324313185,533.4630324313185
rf,1,origin__Temp (°C),"(16.93, 20.12]",24,18.670833333333334,-395.7367395099412,395.7367395099412
rf,1,origin__Temp (°C),"(20.12, 23.02]",24,21.683333333333334,73.15142164717902,234.26565829914216
rf,1,origin__Temp (°C),"(23.02, 32.8]",24,26.5125,1350.2970156968506,1350.2970156968506
rf,6,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,173.29761652313076,175.37781292259936
rf,6,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,82.36737297819724,147.0616731310939
rf,6,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,-40.87150161143464,116.87730759580127
rf,6,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-238.38357455174977,238.38357455174977
rf,6,origin__Temp (°C),"(4.78, 8.0]",25,6.28,-277.21131231047013,277.21131231047013
rf,6,origin__Temp (°C),"(8.0, 13.68]",23,10.330434782608695,-313.91376019267534,313.91376019267534
rf,6,origin__Temp (°C),"(13.68, 16.93]",24,15.424999999999999,-381.5526060856291,381.5526060856291
rf,6,origin__Temp (°C),"(16.93, 20.12]",24,18.670833333333334,-259.10920364119005,274.056709118077
rf,6,origin__Temp (°C),"(20.12, 23.02]",24,21.683333333333334,55.44228727602274,139.68416090395797
rf,6,origin__Temp (°C),"(23.02, 32.8]",24,26.5125,919.0376956501109,919.0376956501109
rf,12,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,129.71544541043914,129.71544541043914
rf,12,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,62.55977935876962,84.6415250320568
rf,12,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,5.391587970811645,94.02925831421982
rf,12,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-125.10414020829042,125.10414020829042
rf,12,origin__Temp (°C),"(4.78, 8.0]",25,6.28,-169.9782695155991,169.9782695155991
rf,12,origin__Temp (°C),"(8.0, 13.68]",23,10.330434782608695,-179.04170706423653,179.04170706423653
rf,12,origin__Temp (°C),"(13.68, 16.93]",24,15.424999999999999,-202.2395473427497,202.2395473427497
rf,12,origin__Temp (°C),"(16.93, 20.12]",24,18.670833333333334,-85.441897858213,117.50396663294721
rf,12,origin__Temp (°C),"(20.12, 23.02]",24,21.683333333333334,97.09645752454378,118.17466696595194
rf,12,origin__Temp (°C),"(23.02, 32.8]",24,26.5125,453.6208912249767,453.6208912249767
rf,18,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,28.49366668086653,38.97862765841976
rf,18,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,6.01180382493465,29.92485556939665
rf,18,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,-16.4004953883481,28.214795656402845
rf,18,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-60.289259570289694,60.289259570289694
rf,18,origin__Temp (°C),"(4.78, 8.0]",25,6.28,-91.13990363248838,91.1399036324884
rf,18,origin__Temp (°C),"(8.0, 13.68]",23,10.330434782608695,-86.65136017263983,86.65136017263983
rf,18,origin__Temp (°C),"(13.68, 16.93]",24,15.424999999999999,-98.04858094328222,100.65611192370584
rf,18,origin__Temp (°C),"(16.93, 20.12]",24,18.670833333333334,-61.33843204011651,67.80740892124702
rf,18,origin__Temp (°C),"(20.12, 23.02]",24,21.683333333333334,21.803185843751134,39.37384885312932
rf,18,origin__Temp (°C),"(23.02, 32.8]",24,26.5125,185.12255041318295,185.122550413183
rf,24,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,-7.835703457392865,18.313325523114546
rf,24,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,-9.42127887424405,27.066041380070658
rf,24,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,-2.4069305901046607,22.994804551907333
rf,24,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-4.239545960289422,18.18968035822732
rf,24,origin__Temp (°C),"(4.78, 8.0]",25,6.28,-15.595591964249959,19.8582445449916
rf,24,origin__Temp (°C),"(8.0, 13.68]",23,10.330434782608695,-22.761256824908322,25.505150577717576
rf,24,origin__Temp (°C),"(13.68, 16.93]",24,15.424999999999999,-7.682436936177944,14.75732043235906
rf,24,origin__Temp (°C),"(16.93, 20.12]",24,18.670833333333334,23.513563917929904,28.29706938789982
rf,24,origin__Temp (°C),"(20.12, 23.02]",24,21.683333333333334,61.21157055605383,70.68573236605803
rf,24,origin__Temp (°C),"(23.02, 32.8]",24,26.5125,-27.599828700654957,86.26439156706938
xgb,1,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,0.7967357543917993,0.7995899342931807
xgb,1,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,0.08577121685569485,0.31524804591511685
xgb,1,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,-0.6009377781301737,0.7467760064949592
xgb,1,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-2.0651953419049582,2.0651953419049582
xgb,1,origin__Temp (°C),"(4.78, 8.0]",25,6.28,-3.0123457431793215,3.0123457431793215
xgb,1,origin__Temp (°C),"(8.0, 13.68]",23,10.330434782608695,-3.85773141487785,3.85773141487785
xgb,1,origin__Temp (°C),"(13.68, 16.93]",24,15.424999999999999,-3.711855471134186,3.711855471134186
xgb,1,origin__Temp (°C),"(16.93, 20.12]",24,18.670833333333334,-3.4551899234453836,3.4551899234453836
xgb,1,origin__Temp (°C),"(20.12, 23.02]",24,21.683333333333334,-2.343049948414167,2.343049948414167
xgb,1,origin__Temp (°C),"(23.02, 32.8]",24,26.5125,-0.020173174018661182,1.8968778258810441
xgb,6,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,0.5464589168938497,0.5780733083374798
xgb,6,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,-0.18199812481179833,0.34499599241341156
xgb,6,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,-0.7589753606977562,0.7589753606977562
xgb,6,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-1.5537879622230928,1.5537879622230928
xgb,6,origin__Temp (°C),"(4.78, 8.0]",25,6.28,-2.4654722785949708,2.4654722785949708
xgb,6,origin__Temp (°C),"(8.0, 13.68]",23,10.330434782608695,-3.106517760649971,3.106517760649971
xgb,6,origin__Temp (°C),"(13.68, 16.93]",24,15.424999999999999,-2.590252468983332,2.590252468983332
xgb,6,origin__Temp (°C),"(16.93, 20.12]",24,18.670833333333334,-2.0769889478882155,2.0769889478882155
xgb,6,origin__Temp (°C),"(20.12, 23.02]",24,21.683333333333334,-1.2336469570485253,1.2368818218819797
xgb,6,origin__Temp (°C),"(23.02, 32.8]",24,26.5125,0.5630055983395627,1.1027361173958827
xgb,12,origin__Temp (°C),"(-12.301, -6.42]",24,-8.658333333333333,0.5385578644151489,0.5751461669181784
xgb,12,origin__Temp (°C),"(-6.42, -2.42]",24,-4.25,-0.42827259019638103,0.46654911323760945
xgb,12,origin__Temp (°C),"(-2.42, 1.17]",24,-0.7666666666666666,-0.8264592892179886,0.8264592892179886
xgb,12,origin__Temp (°C),"(1.17, 4.78]",24,2.858333333333333,-1.7932495300968487,1.7932495300968487
