task,horizon_1,horizon_2,spearman_rank_correlation
rf,1,6,0.9288537549407114
rf,1,12,0.8159232072275551
rf,1,18,0.7707509881422925
rf,1,24,0.6205533596837944
rf,6,12,0.9051383399209486
rf,6,18,0.8023715415019763
rf,6,24,0.6408808582721626
rf,12,18,0.9062676453980801
rf,12,24,0.8001129305477132
rf,18,24,0.9333709768492378
xgb,1,6,0.9186900056465274
xgb,1,12,0.9299830604178431
xgb,1,18,0.831733483907397
xgb,1,24,0.8373800112930547
xgb,6,12,0.9751552795031055
xgb,6,18,0.8757763975155279
xgb,6,24,0.883681535855449
xgb,12,18,0.8904573687182383
xgb,12,24,0.9028797289666854
xgb,18,24,0.9853190287972897
