fsa,forecast_origin,horizon,target_timestamp,target_hour,target_weekday,target_month,target_is_weekend,target_hour_sin,target_hour_cos,target_weekday_sin,target_weekday_cos,target_month_sin,target_month_cos,target_season,target_lag_24h,target_lag_48h,target_lag_168h,origin_rolling_mean_24h,origin_rolling_std_24h,origin_rolling_mean_168h,_rf_origin_rolling_mean_24h,_rf_origin_rolling_std_24h,_rf_origin_rolling_mean_168h,origin__Temp (°C),origin__Rel Hum (%),origin__Stn Press (kPa),origin__reported_premise_count
L4T,2026-04-30 23:00:00,1,2026-05-01 00:00:00,0,4,5,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,8153.099200999999,7405.909256999999,7456.759459999999,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,2,2026-05-01 01:00:00,1,4,5,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,7653.752194000001,7013.296881,7013.002783,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,3,2026-05-01 02:00:00,2,4,5,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,7443.582926,6798.525304000001,6787.791676000001,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,4,2026-05-01 03:00:00,3,4,5,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,7487.634418,6859.589232,6816.213098,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,5,2026-05-01 04:00:00,4,4,5,0,0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,7817.797866,7238.574437,7143.757561,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,6,2026-05-01 05:00:00,5,4,5,0,0.9659258262890683,0.25881904510252074,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,8357.533677,7724.906018999999,7615.974551,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,7,2026-05-01 06:00:00,6,4,5,0,1.0,6.123233995736766e-17,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9131.815446,8451.282411,8403.808243,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,8,2026-05-01 07:00:00,7,4,5,0,0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9573.105634,8962.871563,9035.548381,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,9,2026-05-01 08:00:00,8,4,5,0,0.8660254037844387,-0.4999999999999998,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9803.66712,9422.833754,9529.987749,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,10,2026-05-01 09:00:00,9,4,5,0,0.7071067811865476,-0.7071067811865475,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10067.518088,9897.876503,10089.917445,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,11,2026-05-01 10:00:00,10,4,5,0,0.49999999999999994,-0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10377.917712,10380.463836,10532.60484,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,12,2026-05-01 11:00:00,11,4,5,0,0.258819045102521,-0.9659258262890682,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10673.529926,10636.42694,10879.37291,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,13,2026-05-01 12:00:00,12,4,5,0,1.2246467991473532e-16,-1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10596.851773,10635.184819,10776.763367,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,14,2026-05-01 13:00:00,13,4,5,0,-0.2588190451025208,-0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10359.743954,10533.584988,10464.300118,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,15,2026-05-01 14:00:00,14,4,5,0,-0.4999999999999997,-0.8660254037844388,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10464.737357999998,10716.322046,10487.044039,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,16,2026-05-01 15:00:00,15,4,5,0,-0.7071067811865471,-0.7071067811865479,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10574.508172,11009.896368,10446.817885,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,17,2026-05-01 16:00:00,16,4,5,0,-0.8660254037844385,-0.5000000000000004,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10658.457242,11283.831252,10484.131175,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,18,2026-05-01 17:00:00,17,4,5,0,-0.9659258262890683,-0.25881904510252063,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10772.76868,11486.272705,10646.89663,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,19,2026-05-01 18:00:00,18,4,5,0,-1.0,-1.8369701987210297e-16,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,11328.648822,11945.498561,11215.861281,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,20,2026-05-01 19:00:00,19,4,5,0,-0.9659258262890684,0.2588190451025203,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,11797.954621,12263.542361999998,12032.428274,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,21,2026-05-01 20:00:00,20,4,5,0,-0.8660254037844386,0.5000000000000001,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,11881.440754,11968.362745,11987.94886,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,22,2026-05-01 21:00:00,21,4,5,0,-0.7071067811865477,0.7071067811865474,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,10963.747556,10989.928225,11282.045884,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,23,2026-05-01 22:00:00,22,4,5,0,-0.5000000000000004,0.8660254037844384,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,9785.915521,9913.096219,10171.057115,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
L4T,2026-04-30 23:00:00,24,2026-05-01 23:00:00,23,4,5,0,-0.25881904510252157,0.9659258262890681,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,8937.16945,8905.428967,9195.437317,9776.2982345,1357.2722995882364,9889.07541960119,9777.620754625,1356.402018909687,9893.549100392856,6.3,47.0,99.28,8660
M5R,2026-04-30 23:00:00,1,2026-05-01 00:00:00,0,4,5,0,0.0,1.0,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,7183.914927,6458.637493,6552.029797,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,2,2026-05-01 01:00:00,1,4,5,0,0.25881904510252074,0.9659258262890683,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,6859.166269,6230.002412,6294.218889,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,3,2026-05-01 02:00:00,2,4,5,0,0.49999999999999994,0.8660254037844387,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,6825.064863,6092.656741,6192.223709,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
M5R,2026-04-30 23:00:00,4,2026-05-01 03:00:00,3,4,5,0,0.7071067811865476,0.7071067811865476,-0.433883739117558,-0.9009688679024191,0.8660254037844387,-0.4999999999999998,Spring,6758.626384,6078.357043,5783.549879,8804.201103125,1179.505335123931,8720.060520636904,8803.169297166665,1180.4750031329836,8723.511354708333,7.5,43.0,99.99,10487
