fsa,forecast_origin,target_timestamp,horizon,scenario,temperature_delta_c,baseline_temperature_c,origin__Temp (°C),temperature_domain_status,forecast_consumption_kwh,baseline_forecast_kwh,forecast_delta_kwh,forecast_delta_pct
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,-5C,-5.0,2.7,-2.3,NORMAL,9415.028204201228,8867.250247464186,547.7779567370417,6.177540290956518
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,9045.527913769507,8867.250247464186,178.27766630532096,2.0105180448279776
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,Baseline,0.0,2.7,2.7,NORMAL,8867.250247464186,8867.250247464186,0.0,0.0
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,+2.5C,2.5,2.7,5.2,NORMAL,8678.755598420688,8867.250247464186,-188.4946490434977,-2.1257395898734504
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,+5C,5.0,2.7,7.7,NORMAL,8646.913134658758,8867.250247464186,-220.33711280542775,-2.4848414858759478
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,-5C,-5.0,2.7,-2.3,NORMAL,8991.826508586188,8454.226383170035,537.6001254161529,6.358951145268148
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8722.072818343213,8454.226383170035,267.8464351731782,3.1681956814686725
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,Baseline,0.0,2.7,2.7,NORMAL,8454.226383170035,8454.226383170035,0.0,0.0
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,+2.5C,2.5,2.7,5.2,NORMAL,8248.241669813444,8454.226383170035,-205.98471335659087,-2.4364702814990613
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,+5C,5.0,2.7,7.7,NORMAL,8160.9691790508905,8454.226383170035,-293.25720411914426,-3.468764506980037
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,-5C,-5.0,2.7,-2.3,NORMAL,8687.815263056338,8147.954718737094,539.8605443192446,6.625718514092592
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8378.387351415859,8147.954718737094,230.432632678765,2.8281039921449307
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,Baseline,0.0,2.7,2.7,NORMAL,8147.954718737094,8147.954718737094,0.0,0.0
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,+2.5C,2.5,2.7,5.2,NORMAL,8008.84279237089,8147.954718737094,-139.111926366204,-1.7073232629324906
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,+5C,5.0,2.7,7.7,NORMAL,7981.668036495261,8147.954718737094,-166.28668224183275,-2.0408395478614865
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,-5C,-5.0,2.7,-2.3,NORMAL,8641.425085436775,8161.362185913157,480.0628995236175,5.882141835982057
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8359.462151838605,8161.362185913157,198.09996592544758,2.4272904622144593
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,Baseline,0.0,2.7,2.7,NORMAL,8161.362185913157,8161.362185913157,0.0,0.0
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,+2.5C,2.5,2.7,5.2,NORMAL,8055.1447061730505,8161.362185913157,-106.21747974010668,-1.301467540840699
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,+5C,5.0,2.7,7.7,NORMAL,7975.8010401900365,8161.362185913157,-185.56114572312072,-2.2736540971482286
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,-5C,-5.0,2.7,-2.3,NORMAL,9162.826260765532,8529.098358172878,633.7279025926546,7.4301863571006255
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8753.480084073508,8529.098358172878,224.38172590063004,2.6307789695685675
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,Baseline,0.0,2.7,2.7,NORMAL,8529.098358172878,8529.098358172878,0.0,0.0
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,+2.5C,2.5,2.7,5.2,NORMAL,8453.048020202532,8529.098358172878,-76.05033797034594,-0.891657415317199
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,+5C,5.0,2.7,7.7,NORMAL,8415.6838594481,8529.098358172878,-113.41449872477824,-1.3297360865360468
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,-5C,-5.0,2.7,-2.3,NORMAL,9525.071744115357,9163.077918983287,361.9938251320709,3.9505701941279234
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,9362.988283779945,9163.077918983287,199.91036479665854,2.1816944760722947
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,Baseline,0.0,2.7,2.7,NORMAL,9163.077918983287,9163.077918983287,0.0,0.0
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,+2.5C,2.5,2.7,5.2,NORMAL,9096.55510423135,9163.077918983287,-66.5228147519374,-0.7259876576419926
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,+5C,5.0,2.7,7.7,NORMAL,9037.835208844564,9163.077918983287,-125.24271013872203,-1.3668192199834384
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,-5C,-5.0,2.7,-2.3,NORMAL,10196.895860243752,9868.79231439193,328.10354585182176,3.324657520387164
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,10008.574997921078,9868.79231439193,139.7826835291471,1.4164112393499069
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,Baseline,0.0,2.7,2.7,NORMAL,9868.79231439193,9868.79231439193,0.0,0.0
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,+2.5C,2.5,2.7,5.2,NORMAL,9734.039189495328,9868.79231439193,-134.75312489660246,-1.365446962543616
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,+5C,5.0,2.7,7.7,NORMAL,9654.467192734584,9868.79231439193,-214.32512165734624,-2.1717461957811195
