fsa,forecast_origin,target_timestamp,horizon,scenario,temperature_delta_c,baseline_temperature_c,origin__Temp (°C),temperature_domain_status,peak_risk_score,baseline_peak_risk_score,peak_risk_delta,peak_alert,baseline_peak_alert,alert_changed,alert_transition
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,+2.5C,2.5,2.7,5.2,NORMAL,3.0831325e-05,4.4465567e-05,-1.3634242e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,+2.5C,2.5,2.7,5.2,NORMAL,2.8243152e-05,4.7154306e-05,-1.8911154e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,+2.5C,2.5,2.7,5.2,NORMAL,1.6979577e-05,2.9230729e-05,-1.2251152e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,+2.5C,2.5,2.7,5.2,NORMAL,2.2474325e-05,4.832891e-05,-2.5854586e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,+2.5C,2.5,2.7,5.2,NORMAL,3.5038887e-05,8.5999505e-05,-5.0960618e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,+2.5C,2.5,2.7,5.2,NORMAL,5.5591994e-05,0.00011538722,-5.9795228e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,+2.5C,2.5,2.7,5.2,NORMAL,3.5641428e-05,4.351455e-05,-7.873121e-06,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,+2.5C,2.5,2.7,5.2,NORMAL,3.2994754e-05,4.58001e-05,-1.2805347e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 08:00:00,9,+2.5C,2.5,2.7,5.2,NORMAL,4.6951533e-05,5.783667e-05,-1.0885138e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 09:00:00,10,+2.5C,2.5,2.7,5.2,NORMAL,7.007923e-05,6.825565e-05,1.8235805e-06,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 10:00:00,11,+2.5C,2.5,2.7,5.2,NORMAL,0.00017456431,0.00032700485,-0.00015244054,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 11:00:00,12,+2.5C,2.5,2.7,5.2,NORMAL,0.00032046047,0.00056978216,-0.0002493217,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 12:00:00,13,+2.5C,2.5,2.7,5.2,NORMAL,0.0008562595,0.0010957156,-0.00023945607,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 13:00:00,14,+2.5C,2.5,2.7,5.2,NORMAL,0.000891052,0.001259224,-0.000368172,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 14:00:00,15,+2.5C,2.5,2.7,5.2,NORMAL,0.0013754901,0.0020129383,-0.00063744816,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 15:00:00,16,+2.5C,2.5,2.7,5.2,NORMAL,0.0034176656,0.004897577,-0.0014799116,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 16:00:00,17,+2.5C,2.5,2.7,5.2,NORMAL,0.016590199,0.019324277,-0.002734078,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 17:00:00,18,+2.5C,2.5,2.7,5.2,NORMAL,0.047152687,0.054492604,-0.007339917,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 18:00:00,19,+2.5C,2.5,2.7,5.2,NORMAL,0.102214836,0.13483499,-0.032620154,True,True,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 19:00:00,20,+2.5C,2.5,2.7,5.2,NORMAL,0.18850031,0.19869481,-0.010194495,True,True,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 20:00:00,21,+2.5C,2.5,2.7,5.2,NORMAL,0.07650208,0.09968124,-0.023179166,True,True,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 21:00:00,22,+2.5C,2.5,2.7,5.2,NORMAL,0.010573291,0.013037168,-0.0024638772,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 22:00:00,23,+2.5C,2.5,2.7,5.2,NORMAL,0.0067194207,0.0057833656,0.0009360551,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 23:00:00,24,+2.5C,2.5,2.7,5.2,NORMAL,0.0023754318,0.0017222426,0.00065318926,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,+5C,5.0,2.7,7.7,NORMAL,2.3836266e-05,4.4465567e-05,-2.06293e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,+5C,5.0,2.7,7.7,NORMAL,2.1921334e-05,4.7154306e-05,-2.5232972e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,+5C,5.0,2.7,7.7,NORMAL,1.8512372e-05,2.9230729e-05,-1.0718357e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,+5C,5.0,2.7,7.7,NORMAL,2.1715821e-05,4.832891e-05,-2.661309e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,+5C,5.0,2.7,7.7,NORMAL,4.032949e-05,8.5999505e-05,-4.5670015e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,+5C,5.0,2.7,7.7,NORMAL,5.6117016e-05,0.00011538722,-5.9270205e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,+5C,5.0,2.7,7.7,NORMAL,2.9210523e-05,4.351455e-05,-1.4304025e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,+5C,5.0,2.7,7.7,NORMAL,2.9744991e-05,4.58001e-05,-1.605511e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 08:00:00,9,+5C,5.0,2.7,7.7,NORMAL,2.6550357e-05,5.783667e-05,-3.1286312e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 09:00:00,10,+5C,5.0,2.7,7.7,NORMAL,3.579778e-05,6.825565e-05,-3.245787e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 10:00:00,11,+5C,5.0,2.7,7.7,NORMAL,8.436948e-05,0.00032700485,-0.00024263537,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 11:00:00,12,+5C,5.0,2.7,7.7,NORMAL,9.740031e-05,0.00056978216,-0.00047238186,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 12:00:00,13,+5C,5.0,2.7,7.7,NORMAL,0.00014412402,0.0010957156,-0.00095159153,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 13:00:00,14,+5C,5.0,2.7,7.7,NORMAL,0.00021458654,0.001259224,-0.0010446375,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 14:00:00,15,+5C,5.0,2.7,7.7,NORMAL,0.00030909185,0.0020129383,-0.0017038464,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 15:00:00,16,+5C,5.0,2.7,7.7,NORMAL,0.0006676211,0.004897577,-0.0042299563,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 16:00:00,17,+5C,5.0,2.7,7.7,NORMAL,0.002697006,0.019324277,-0.01662727,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 17:00:00,18,+5C,5.0,2.7,7.7,NORMAL,0.007163922,0.054492604,-0.04732868,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 18:00:00,19,+5C,5.0,2.7,7.7,NORMAL,0.02909588,0.13483499,-0.10573911,False,True,True,Alert -> No Alert
L4T,2026-03-25 23:00:00,2026-03-26 19:00:00,20,+5C,5.0,2.7,7.7,NORMAL,0.04779632,0.19869481,-0.15089849,False,True,True,Alert -> No Alert
L4T,2026-03-25 23:00:00,2026-03-26 20:00:00,21,+5C,5.0,2.7,7.7,NORMAL,0.017194517,0.09968124,-0.08248673,False,True,True,Alert -> No Alert
L4T,2026-03-25 23:00:00,2026-03-26 21:00:00,22,+5C,5.0,2.7,7.7,NORMAL,0.0044690548,0.013037168,-0.008568114,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 22:00:00,23,+5C,5.0,2.7,7.7,NORMAL,0.0017104327,0.0057833656,-0.004072933,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 23:00:00,24,+5C,5.0,2.7,7.7,NORMAL,0.0015873989,0.0017222426,-0.00013484363,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,7.0990085e-05,4.4465567e-05,2.6524518e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,6.14641e-05,4.7154306e-05,1.4309797e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,3.5028195e-05,2.9230729e-05,5.7974667e-06,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,7.7581375e-05,4.832891e-05,2.9252464e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.00010429585,8.5999505e-05,1.8296341e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.00023676637,0.00011538722,0.00012137915,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.00010409425,4.351455e-05,6.0579703e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,9.8910605e-05,4.58001e-05,5.3110503e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 08:00:00,9,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.00011053926,5.783667e-05,5.2702588e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 09:00:00,10,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.00010654148,6.825565e-05,3.8285834e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 10:00:00,11,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.00041105048,0.00032700485,8.4045634e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 11:00:00,12,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.00083473977,0.00056978216,0.0002649576,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 12:00:00,13,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.0013759382,0.0010957156,0.00028022262,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 13:00:00,14,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.001985098,0.001259224,0.000725874,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 14:00:00,15,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.0019133249,0.0020129383,-9.961333e-05,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 15:00:00,16,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.0039372374,0.004897577,-0.0009603398,False,False,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 16:00:00,17,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,0.018355181,0.019324277,-0.00096909516,False,False,False,No change
