fsa,scenario,temperature_delta_c,mean_abs_forecast_delta_kwh,max_abs_forecast_delta_kwh,mean_abs_forecast_delta_pct,mean_abs_peak_risk_delta,max_abs_peak_risk_delta,alert_changes,ood_rows,caution_rows
L4T,+2.5C,2.5,77.29483790387435,205.98471335659087,0.7968459259613403,0.0034776032,0.032620154,0,0,0
L4T,+5C,5.0,124.08579607138772,293.25720411914426,1.253186905773837,0.01769931,0.15089849,3,0,0
L4T,-2.5C,-2.5,117.16446249187761,267.8464351731782,1.206129514110971,0.004958576,0.05465986,0,0,0
L4T,-5C,-5.0,291.71241251562617,633.7279025926546,2.983863118864258,0.004098274,0.04509434,0,0,0
L4T,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
M5R,+2.5C,2.5,28.67314806433099,104.75504607700168,0.2899258250207511,0.07756415,0.38620678,2,0,0
M5R,+5C,5.0,61.62821950798252,158.8880968095582,0.6190372065810067,0.1209547,0.49518165,3,0,0
M5R,-2.5C,-2.5,84.39120640222966,222.6943944839786,0.859795828885673,0.048007,0.2077169,3,0,0
M5R,-5C,-5.0,285.65203826431843,698.6114378849725,2.8942586578082334,0.078998975,0.31393862,4,0,0
M5R,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
M5S,+2.5C,2.5,17.114545601443677,49.59842055335321,0.31215192892833615,0.091996245,0.39942116,1,0,0
M5S,+5C,5.0,52.92767135402573,146.51555008175728,0.9884256431176555,0.1432748,0.51202977,1,0,0
M5S,-2.5C,-2.5,22.115376444795476,153.01452292654994,0.4334817051132765,0.056915462,0.27306676,2,0,0
M5S,-5C,-5.0,62.33359098512824,250.48552894466593,1.2240406042508971,0.09227463,0.407749,3,0,0
M5S,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
M6G,+2.5C,2.5,58.3775354198242,174.5481729054518,0.5372969799331736,0.051471304,0.4251482,2,0,0
M6G,+5C,5.0,85.1694451607522,243.05595584300318,0.7783191136323225,0.08288947,0.5674908,2,0,0
M6G,-2.5C,-2.5,134.58308451052312,536.6428273501369,1.1963940581872332,0.02973932,0.22358263,0,0,0
M6G,-5C,-5.0,347.14278585981293,774.130697131357,3.077408250082731,0.041422874,0.27886295,0,0,0
M6G,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
M9R,+2.5C,2.5,23.82924950414095,79.62644307942719,0.5194109408415403,0.028086128,0.17334417,0,0,0
M9R,+5C,5.0,37.313336927722446,96.02101326429784,0.7935684567155495,0.084961295,0.48715037,3,0,0
M9R,-2.5C,-2.5,33.88338705743134,95.55862148181677,0.7072721908450387,0.020542072,0.1325585,0,0,0
M9R,-5C,-5.0,90.97841587982543,297.37345653695957,1.9427359462678113,0.03312824,0.19382572,0,0,0
M9R,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
M9W,+2.5C,2.5,88.39284504188466,167.71800483013794,0.6340623502350845,0.06184287,0.2832292,0,0,0
M9W,+5C,5.0,122.52636982867209,204.16916073831453,0.8865143630527186,0.18461873,0.59632313,5,0,0
M9W,-2.5C,-2.5,143.52091713584286,386.660269147882,1.0918234925204413,0.067656584,0.26296,1,0,0
M9W,-5C,-5.0,280.33748428287043,597.5430268196833,2.1109943592075795,0.08897404,0.3529884,1,0,0
M9W,Baseline,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0
