horizon,scenario,temperature_delta_c,mean_abs_forecast_delta_kwh,mean_abs_peak_risk_delta,alert_changes
1,-5C,-5.0,426.2364540150479,0.0010127333,0
1,-2.5C,-2.5,158.0150641882883,0.00033019422,0
1,Baseline,0.0,0.0,0.0,0
1,+2.5C,2.5,116.31869048289248,6.0601345e-05,0
1,+5C,5.0,163.04967173107875,7.598087e-05,0
2,-5C,-5.0,451.1386073721583,0.0001979022,0
2,-2.5C,-2.5,180.10589774882905,0.00019051974,0
2,Baseline,0.0,0.0,0.0,0
2,+2.5C,2.5,98.47886841929115,5.1834835e-05,0
2,+5C,5.0,173.19768507853837,9.510964e-05,0
3,-5C,-5.0,376.465404953063,0.0001241902,0
3,-2.5C,-2.5,168.07125717633366,0.00013524898,0
3,Baseline,0.0,0.0,0.0,0
3,+2.5C,2.5,91.81714369348613,2.2854392e-05,0
3,+5C,5.0,133.65270573810508,3.1640473e-05,0
4,-5C,-5.0,396.1493453502876,0.00048124418,0
4,-2.5C,-2.5,180.45912770286137,0.00029617184,0
4,Baseline,0.0,0.0,0.0,0
4,+2.5C,2.5,81.30961234846336,3.2033073e-05,0
4,+5C,5.0,145.10719017645883,6.968925e-05,0
5,-5C,-5.0,440.33604120140126,0.0014644731,0
5,-2.5C,-2.5,144.44557817302393,0.0009709907,0
5,Baseline,0.0,0.0,0.0,0
5,+2.5C,2.5,43.284547458686575,0.00012872262,0
5,+5C,5.0,78.07035558253695,0.00021198973,0
6,-5C,-5.0,352.15321472272717,0.0035584737,0
6,-2.5C,-2.5,146.2466464029752,0.0016733796,0
6,Baseline,0.0,0.0,0.0,0
6,+2.5C,2.5,63.21749883764611,0.00012397279,0
6,+5C,5.0,108.40623218686385,0.00020233967,0
7,-5C,-5.0,318.09222303230473,0.0023870438,0
7,-2.5C,-2.5,105.25147377486458,0.0018325928,0
7,Baseline,0.0,0.0,0.0,0
7,+2.5C,2.5,71.47831326026153,9.459958e-05,0
7,+5C,5.0,122.56111431814482,0.000345752,0
8,-5C,-5.0,257.4437519166551,0.0033612687,0
8,-2.5C,-2.5,84.54603383246422,0.0027623298,0
8,Baseline,0.0,0.0,0.0,0
8,+2.5C,2.5,42.71400024936793,0.00017344458,0
8,+5C,5.0,83.1178101754737,0.00029167935,0
9,-5C,-5.0,287.36130492368903,0.0026643835,0
9,-2.5C,-2.5,107.85944611866064,0.0019654294,0
9,Baseline,0.0,0.0,0.0,0
9,+2.5C,2.5,53.68710909113391,0.00035507092,0
9,+5C,5.0,107.3681807890166,0.00070338184,0
10,-5C,-5.0,270.64103615653676,0.010472931,1
10,-2.5C,-2.5,105.61258500903266,0.0070833177,1
10,Baseline,0.0,0.0,0.0,0
10,+2.5C,2.5,67.5351053193129,0.0014550377,0
10,+5C,5.0,99.58898268093465,0.0034348015,0
11,-5C,-5.0,247.33820129145397,0.057298232,0
11,-2.5C,-2.5,91.57885928702353,0.043012947,0
11,Baseline,0.0,0.0,0.0,0
11,+2.5C,2.5,40.40862478954887,0.019019913,0
11,+5C,5.0,71.31741364474071,0.028899418,1
12,-5C,-5.0,289.07354247622925,0.08304914,1
12,-2.5C,-2.5,70.58916351247399,0.053261336,0
12,Baseline,0.0,0.0,0.0,0
12,+2.5C,2.5,29.91738053089178,0.034790903,0
12,+5C,5.0,68.6920206690038,0.05748612,1
13,-5C,-5.0,227.56329859726384,0.10670539,2
13,-2.5C,-2.5,58.03619115711732,0.071954705,2
13,Baseline,0.0,0.0,0.0,0
13,+2.5C,2.5,18.22554623152655,0.022866825,0
13,+5C,5.0,42.51693552659981,0.045844916,1
14,-5C,-5.0,290.3962747631211,0.0847464,2
14,-2.5C,-2.5,143.49990459290407,0.045262933,1
14,Baseline,0.0,0.0,0.0,0
14,+2.5C,2.5,50.77078347653302,0.021596864,0
14,+5C,5.0,86.52679671270077,0.032432765,1
15,-5C,-5.0,222.2027065550839,0.08312094,2
15,-2.5C,-2.5,103.56226664925741,0.048467472,2
15,Baseline,0.0,0.0,0.0,0
15,+2.5C,2.5,49.89427990981236,0.04262041,0
15,+5C,5.0,79.24300203885348,0.09076867,0
16,-5C,-5.0,115.42510184103578,0.16013853,0
16,-2.5C,-2.5,65.14660604034104,0.11783525,0
16,Baseline,0.0,0.0,0.0,0
16,+2.5C,2.5,20.249113825435114,0.10323434,3
16,+5C,5.0,41.31620726320898,0.15043671,3
17,-5C,-5.0,70.04064604419409,0.16737731,0
17,-2.5C,-2.5,39.90027261142465,0.13098028,0
17,Baseline,0.0,0.0,0.0,0
17,+2.5C,2.5,35.33252919068991,0.19681168,2
17,+5C,5.0,60.99866322351181,0.2812381,3
18,-5C,-5.0,95.64536005343416,0.13999577,0
18,-2.5C,-2.5,28.64731331720183,0.09358048,0
18,Baseline,0.0,0.0,0.0,0
18,+2.5C,2.5,33.61328710807493,0.2512664,0
18,+5C,5.0,62.73869146546258,0.42563963,1
19,-5C,-5.0,94.67038552836054,0.0771218,0
19,-2.5C,-2.5,33.9040182332598,0.055567805,0
19,Baseline,0.0,0.0,0.0,0
19,+2.5C,2.5,30.20858591163945,0.15565547,0
19,+5C,5.0,46.049618441048246,0.37463173,1
20,-5C,-5.0,74.91103304839862,0.085942395,0
20,-2.5C,-2.5,43.22455451939444,0.062928624,0
20,Baseline,0.0,0.0,0.0,0
20,+2.5C,2.5,37.595788251491285,0.13365912,0
20,+5C,5.0,37.308070615937446,0.3680099,1
21,-5C,-5.0,53.480577224261346,0.10589361,0
21,-2.5C,-2.5,30.211850769158445,0.08078824,0
21,Baseline,0.0,0.0,0.0,0
21,+2.5C,2.5,24.809814201694888,0.14501764,0
21,+5C,5.0,30.97129627969889,0.35473287,2
22,-5C,-5.0,18.858347488289382,0.08826638,0
22,-2.5C,-2.5,11.140718484673775,0.054996606,0
22,Baseline,0.0,0.0,0.0,0
22,+2.5C,2.5,23.118347229316896,0.06685236,0
22,+5C,5.0,29.2414330347915,0.20278215,1
23,-5C,-5.0,33.51268863176589,0.045679603,0
23,-2.5C,-2.5,26.407783684962396,0.023116356,0
23,Baseline,0.0,0.0,0.0,0
23,+2.5C,2.5,19.287950788182116,0.04878421,0
23,+5C,5.0,26.341574114135863,0.09089274,1
24,-5C,-5.0,23.4913639635638,0.04452795,0
24,-2.5C,-2.5,16.171123184274013,0.012282863,0
24,Baseline,0.0,0.0,0.0,0
24,+2.5C,2.5,31.455725536616075,0.013078871,0
24,+5C,5.0,37.22170391532533,0.028335283,0
