fsa,forecast_origin,target_timestamp,horizon,scenario,temperature_delta_c,baseline_temperature_c,origin__Temp (°C),temperature_domain_status,forecast_consumption_kwh,peak_risk_score,peak_alert,baseline_forecast_kwh,baseline_peak_risk_score,baseline_peak_alert,forecast_delta_kwh,forecast_delta_pct,peak_risk_delta,alert_changed,alert_transition
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,-5C,-5.0,2.7,-2.3,NORMAL,9415.028204201228,9.4075534e-05,False,8867.250247464186,4.4465567e-05,False,547.7779567370417,6.177540290956518,4.9609967e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,9045.527913769507,7.0990085e-05,False,8867.250247464186,4.4465567e-05,False,178.27766630532096,2.0105180448279776,2.6524518e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,Baseline,0.0,2.7,2.7,NORMAL,8867.250247464186,4.4465567e-05,False,8867.250247464186,4.4465567e-05,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,+2.5C,2.5,2.7,5.2,NORMAL,8678.755598420688,3.0831325e-05,False,8867.250247464186,4.4465567e-05,False,-188.4946490434977,-2.1257395898734504,-1.3634242e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 00:00:00,1,+5C,5.0,2.7,7.7,NORMAL,8646.913134658758,2.3836266e-05,False,8867.250247464186,4.4465567e-05,False,-220.33711280542775,-2.4848414858759478,-2.06293e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,-5C,-5.0,2.7,-2.3,NORMAL,8991.826508586188,6.6696426e-05,False,8454.226383170035,4.7154306e-05,False,537.6001254161529,6.358951145268148,1.954212e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8722.072818343213,6.14641e-05,False,8454.226383170035,4.7154306e-05,False,267.8464351731782,3.1681956814686725,1.4309797e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,Baseline,0.0,2.7,2.7,NORMAL,8454.226383170035,4.7154306e-05,False,8454.226383170035,4.7154306e-05,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,+2.5C,2.5,2.7,5.2,NORMAL,8248.241669813444,2.8243152e-05,False,8454.226383170035,4.7154306e-05,False,-205.98471335659087,-2.4364702814990613,-1.8911154e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 01:00:00,2,+5C,5.0,2.7,7.7,NORMAL,8160.9691790508905,2.1921334e-05,False,8454.226383170035,4.7154306e-05,False,-293.25720411914426,-3.468764506980037,-2.5232972e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,-5C,-5.0,2.7,-2.3,NORMAL,8687.815263056338,4.0870993e-05,False,8147.954718737094,2.9230729e-05,False,539.8605443192446,6.625718514092592,1.1640264e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8378.387351415859,3.5028195e-05,False,8147.954718737094,2.9230729e-05,False,230.432632678765,2.8281039921449307,5.7974667e-06,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,Baseline,0.0,2.7,2.7,NORMAL,8147.954718737094,2.9230729e-05,False,8147.954718737094,2.9230729e-05,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,+2.5C,2.5,2.7,5.2,NORMAL,8008.84279237089,1.6979577e-05,False,8147.954718737094,2.9230729e-05,False,-139.111926366204,-1.7073232629324906,-1.2251152e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 02:00:00,3,+5C,5.0,2.7,7.7,NORMAL,7981.668036495261,1.8512372e-05,False,8147.954718737094,2.9230729e-05,False,-166.28668224183275,-2.0408395478614865,-1.0718357e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,-5C,-5.0,2.7,-2.3,NORMAL,8641.425085436775,0.000109275345,False,8161.362185913157,4.832891e-05,False,480.0628995236175,5.882141835982057,6.0946433e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8359.462151838605,7.7581375e-05,False,8161.362185913157,4.832891e-05,False,198.09996592544758,2.4272904622144593,2.9252464e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,Baseline,0.0,2.7,2.7,NORMAL,8161.362185913157,4.832891e-05,False,8161.362185913157,4.832891e-05,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,+2.5C,2.5,2.7,5.2,NORMAL,8055.1447061730505,2.2474325e-05,False,8161.362185913157,4.832891e-05,False,-106.21747974010668,-1.301467540840699,-2.5854586e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 03:00:00,4,+5C,5.0,2.7,7.7,NORMAL,7975.8010401900365,2.1715821e-05,False,8161.362185913157,4.832891e-05,False,-185.56114572312072,-2.2736540971482286,-2.661309e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,-5C,-5.0,2.7,-2.3,NORMAL,9162.826260765532,0.00013294835,False,8529.098358172878,8.5999505e-05,False,633.7279025926546,7.4301863571006255,4.6948844e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,8753.480084073508,0.00010429585,False,8529.098358172878,8.5999505e-05,False,224.38172590063004,2.6307789695685675,1.8296341e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,Baseline,0.0,2.7,2.7,NORMAL,8529.098358172878,8.5999505e-05,False,8529.098358172878,8.5999505e-05,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,+2.5C,2.5,2.7,5.2,NORMAL,8453.048020202532,3.5038887e-05,False,8529.098358172878,8.5999505e-05,False,-76.05033797034594,-0.891657415317199,-5.0960618e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 04:00:00,5,+5C,5.0,2.7,7.7,NORMAL,8415.6838594481,4.032949e-05,False,8529.098358172878,8.5999505e-05,False,-113.41449872477824,-1.3297360865360468,-4.5670015e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,-5C,-5.0,2.7,-2.3,NORMAL,9525.071744115357,0.00036518506,False,9163.077918983287,0.00011538722,False,361.9938251320709,3.9505701941279234,0.00024979783,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,9362.988283779945,0.00023676637,False,9163.077918983287,0.00011538722,False,199.91036479665854,2.1816944760722947,0.00012137915,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,Baseline,0.0,2.7,2.7,NORMAL,9163.077918983287,0.00011538722,False,9163.077918983287,0.00011538722,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,+2.5C,2.5,2.7,5.2,NORMAL,9096.55510423135,5.5591994e-05,False,9163.077918983287,0.00011538722,False,-66.5228147519374,-0.7259876576419926,-5.9795228e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 05:00:00,6,+5C,5.0,2.7,7.7,NORMAL,9037.835208844564,5.6117016e-05,False,9163.077918983287,0.00011538722,False,-125.24271013872203,-1.3668192199834384,-5.9270205e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,-5C,-5.0,2.7,-2.3,NORMAL,10196.895860243752,0.00012691408,False,9868.79231439193,4.351455e-05,False,328.10354585182176,3.324657520387164,8.339953e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,10008.574997921078,0.00010409425,False,9868.79231439193,4.351455e-05,False,139.7826835291471,1.4164112393499069,6.0579703e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,Baseline,0.0,2.7,2.7,NORMAL,9868.79231439193,4.351455e-05,False,9868.79231439193,4.351455e-05,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,+2.5C,2.5,2.7,5.2,NORMAL,9734.039189495328,3.5641428e-05,False,9868.79231439193,4.351455e-05,False,-134.75312489660246,-1.365446962543616,-7.873121e-06,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 06:00:00,7,+5C,5.0,2.7,7.7,NORMAL,9654.467192734584,2.9210523e-05,False,9868.79231439193,4.351455e-05,False,-214.32512165734624,-2.1717461957811195,-1.4304025e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,-5C,-5.0,2.7,-2.3,NORMAL,10620.180842777936,0.00011193131,False,10357.341409271143,4.58001e-05,False,262.8394335067933,2.537711398327745,6.613121e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,-2.5C,-2.5,2.7,0.20000000000000018,NORMAL,10475.284764561886,9.8910605e-05,False,10357.341409271143,4.58001e-05,False,117.94335529074306,1.1387416000902384,5.3110503e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,Baseline,0.0,2.7,2.7,NORMAL,10357.341409271143,4.58001e-05,False,10357.341409271143,4.58001e-05,False,0.0,0.0,0.0,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,+2.5C,2.5,2.7,5.2,NORMAL,10216.136669049147,3.2994754e-05,False,10357.341409271143,4.58001e-05,False,-141.20474022199596,-1.3633299767023195,-1.2805347e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 07:00:00,8,+5C,5.0,2.7,7.7,NORMAL,10188.76586329674,2.9744991e-05,False,10357.341409271143,4.58001e-05,False,-168.5755459744032,-1.6275947592449407,-1.605511e-05,False,No change
L4T,2026-03-25 23:00:00,2026-03-26 08:00:00,9,-5C,-5.0,2.7,-2.3,NORMAL,11097.805814546615,0.00011204109,False,10744.766504984756,5.783667e-05,False,353.0393095618583,3.285686193348872,5.4204418e-05,False,No change
