dataset,field_name,description,source_dtype_observed,unit,analytical_role,nullable_observed,non_null_count,missing_count,missing_pct,unique_count,example_values,source_reference,notes
consumption,FSA,Forward Sortation Area: the first three characters of a Canadian postal code.,string,,Geographic identifier / grouping variable,False,1046461,0,0.0,6,L4T | M5R | M5S,Independent Electricity System Operator. Hourly Electricity Consumption Data by Forward Sortation Area report description.,
consumption,DATE,Source date associated with the IESO hourly record.,datetime64[ns],,Temporal identifier,False,1046461,0,0.0,1826,2021-01-01 | 2021-01-02 | 2021-01-03,Independent Electricity System Operator. Hourly Electricity Consumption Data by Forward Sortation Area report description.,Interpret together with HOUR and the documented hour-ending convention.
consumption,HOUR,"IESO hour-ending number, represented from 1 through 24.",int64,,Temporal identifier,False,1046461,0,0.0,24,1 | 2 | 3,Independent Electricity System Operator. Hourly Electricity Consumption Data by Forward Sortation Area report description.,
consumption,CUSTOMER_TYPE,"Customer category used by IESO for the aggregated record, including Residential and Small General Service below 50 kW where present.",string,,Segmentation dimension,False,1046461,0,0.0,2,Residential | SGS <50kW,Independent Electricity System Operator. Hourly Electricity Consumption Data by Forward Sortation Area report description.,
consumption,PRICE_PLAN,"Electricity price-plan category associated with the aggregated record, such as TOU, Tiered, or Retailer where present.",string,,Segmentation dimension,False,1046461,0,0.0,4,Retailer | TOU | Tiered,Independent Electricity System Operator. Hourly Electricity Consumption Data by Forward Sortation Area report description.,
consumption,TOTAL_CONSUMPTION,Aggregated electricity consumption for the premises represented by the record.,float64,kWh,Primary demand measure / future forecasting target after aggregation,False,1046461,0,0.0,118781,177.5 | 7316.3 | 112.1,Independent Electricity System Operator. Hourly Electricity Consumption Data by Forward Sortation Area report description.,
consumption,PREMISE_COUNT,Number of premises included in the aggregated line record.,int64,premises,Coverage and normalization measure,False,1046461,0,0.0,2389,194 | 7442 | 154,Independent Electricity System Operator. Hourly Electricity Consumption Data by Forward Sortation Area report description.,It is not a population count and may reflect source publication and quality rules.
consumption,SOURCE_PERIOD,Monthly source period extracted during preprocessing.,int64,,Traceability field,False,1046461,0,0.0,60,202101 | 202102 | 202103,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,Expected format: YYYYMM.
consumption,INTERVAL_START_TIMESTAMP,Start of the hourly consumption interval derived from DATE and the IESO hour-ending value.,datetime64[ns],,Primary temporal integration key,False,1046461,0,0.0,43824,2021-01-01 00:00:00 | 2021-01-01 01:00:00 | 2021-01-01 02:00:00,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
consumption,INTERVAL_END_TIMESTAMP,End of the hourly consumption interval derived from DATE and the IESO hour-ending value.,datetime64[ns],,Temporal audit field,False,1046461,0,0.0,43824,2021-01-01 01:00:00 | 2021-01-01 02:00:00 | 2021-01-01 03:00:00,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
consumption,TIMESTAMP,Project-selected timestamp used for integration; currently aligned with the interval start.,datetime64[ns],,Primary temporal integration key,False,1046461,0,0.0,43824,2021-01-01 00:00:00 | 2021-01-01 01:00:00 | 2021-01-01 02:00:00,Project-generated variable. Definition based on the calendar or preprocessing script stored in this repository.,
weather,Longitude (x),Longitude of the climate station.,float64,decimal degrees,Station metadata,False,87648,0,0.0,2,-79.4 | -79.63,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Latitude (y),Latitude of the climate station.,float64,decimal degrees,Station metadata,False,87648,0,0.0,2,43.67 | 43.68,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Station Name,Name of the ECCC/NAVCAN climate station.,string,,Station identifier,False,87648,0,0.0,2,TORONTO CITY | TORONTO INTL A,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Climate ID,Climate station identifier used by ECCC.,Int64,,Station identifier,False,87648,0,0.0,2,6158355 | 6158731,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Date/Time (LST),Date and time of the hourly observation in Local Standard Time as labelled by ECCC.,datetime64[ns],,Primary temporal integration key,False,87648,0,0.0,43824,2021-01-01 00:00:00 | 2021-01-01 01:00:00 | 2021-01-01 02:00:00,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,Do not silently reinterpret as daylight-adjusted Toronto civil time.
weather,Year,Observation year.,int64,,Temporal feature,False,87648,0,0.0,5,2021 | 2022 | 2023,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Month,Observation month.,int64,,Temporal feature,False,87648,0,0.0,12,1 | 2 | 3,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Day,Observation day of month.,int64,,Temporal feature,False,87648,0,0.0,31,1 | 2 | 3,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Time (LST),Time component of the Local Standard Time observation.,object,,Temporal feature,False,87648,0,0.0,24,00:00 | 01:00 | 02:00,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Flag,General source quality/status flag supplied by ECCC.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,Exact code meaning must be verified in the ECCC documentation before interpretation.
weather,Temp (°C),Hourly air temperature.,float64,°C,Core weather predictor,True,87601,47,0.0536,564,-0.9 | -0.8 | -0.3,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Temp Flag,ECCC flag associated with air temperature.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Dew Point Temp (°C),Hourly dew-point temperature.,float64,°C,Weather predictor,True,87600,48,0.0548,541,-5.8 | -5.3 | -5.9,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Dew Point Temp Flag,ECCC flag associated with dew-point temperature.,object,,Data-quality metadata,True,1,87647,99.9989,1,M,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Rel Hum (%),Hourly relative humidity.,float64,%,Core weather predictor,True,87600,48,0.0548,87,69.0 | 71.0 | 74.0,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Rel Hum Flag,ECCC flag associated with relative humidity.,object,,Data-quality metadata,True,1,87647,99.9989,1,M,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Precip. Amount (mm),Hourly precipitation amount.,float64,mm,Weather predictor,True,43783,43865,50.0468,108,0.0 | 0.5 | 0.7,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Precip. Amount Flag,ECCC flag associated with precipitation amount.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Wind Dir (10s deg),Wind direction represented in tens of degrees.,float64,10 degrees,Weather predictor,True,43092,44556,50.8352,36,27.0 | 15.0 | 18.0,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Wind Dir Flag,ECCC flag associated with wind direction.,float64,,Data-quality metadata,True,0,87648,100.0,0,,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
weather,Wind Spd (km/h),Hourly wind speed.,float64,km/h,Weather predictor,True,43818,43830,50.0068,65,3.0 | 5.0 | 4.0,Environment and Climate Change Canada. Historical Climate Data and Technical Documentation.,
