dataset,column,value,count,pct
consumption,FSA,L4T,215697,20.612
consumption,FSA,M9W,212492,20.3058
consumption,FSA,M9R,209729,20.0417
consumption,FSA,M6G,203915,19.4862
consumption,FSA,M5S,103032,9.8458
consumption,FSA,M5R,101596,9.7085
consumption,HOUR,14,43816,4.1871
consumption,HOUR,15,43794,4.185
consumption,HOUR,16,43785,4.1841
consumption,HOUR,13,43781,4.1837
consumption,HOUR,24,43741,4.1799
consumption,HOUR,17,43728,4.1787
consumption,HOUR,12,43712,4.1771
consumption,HOUR,1,43711,4.177
consumption,HOUR,23,43673,4.1734
consumption,HOUR,11,43669,4.173
consumption,HOUR,18,43634,4.1697
consumption,HOUR,19,43605,4.1669
consumption,HOUR,10,43595,4.1659
consumption,HOUR,22,43592,4.1657
consumption,HOUR,2,43538,4.1605
consumption,HOUR,8,43500,4.1569
consumption,HOUR,9,43493,4.1562
consumption,HOUR,21,43478,4.1548
consumption,HOUR,20,43472,4.1542
consumption,HOUR,4,43457,4.1528
consumption,HOUR,5,43451,4.1522
consumption,HOUR,7,43419,4.1491
consumption,HOUR,3,43415,4.1487
consumption,HOUR,6,43402,4.1475
consumption,CUSTOMER_TYPE,Residential,739613,70.6776
consumption,CUSTOMER_TYPE,SGS <50kW,306848,29.3224
consumption,PRICE_PLAN,TOU,439401,41.9892
consumption,PRICE_PLAN,Tiered,342959,32.7732
consumption,PRICE_PLAN,Retailer,209543,20.024
consumption,PRICE_PLAN,ULO,54558,5.2136
weather,Longitude (x),-79.4,43824,50.0
weather,Longitude (x),-79.63,43824,50.0
weather,Latitude (y),43.67,43824,50.0
weather,Latitude (y),43.68,43824,50.0
weather,Station Name,TORONTO CITY,43824,50.0
weather,Station Name,TORONTO INTL A,43824,50.0
weather,Climate ID,6158355,43824,50.0
weather,Climate ID,6158731,43824,50.0
weather,Year,2024,17568,20.0438
weather,Year,2021,17520,19.989
weather,Year,2022,17520,19.989
weather,Year,2023,17520,19.989
weather,Year,2025,17520,19.989
weather,Month,1,7440,8.4885
weather,Month,3,7440,8.4885
weather,Month,7,7440,8.4885
weather,Month,5,7440,8.4885
weather,Month,12,7440,8.4885
weather,Month,10,7440,8.4885
weather,Month,8,7440,8.4885
weather,Month,4,7200,8.2147
weather,Month,9,7200,8.2147
weather,Month,6,7200,8.2147
weather,Month,11,7200,8.2147
weather,Month,2,6768,7.7218
weather,Day,1,2880,3.2859
weather,Day,2,2880,3.2859
weather,Day,3,2880,3.2859
weather,Day,4,2880,3.2859
weather,Day,5,2880,3.2859
weather,Day,6,2880,3.2859
weather,Day,7,2880,3.2859
weather,Day,8,2880,3.2859
weather,Day,9,2880,3.2859
weather,Day,10,2880,3.2859
weather,Day,11,2880,3.2859
weather,Day,12,2880,3.2859
weather,Day,13,2880,3.2859
weather,Day,14,2880,3.2859
weather,Day,15,2880,3.2859
weather,Day,16,2880,3.2859
weather,Day,17,2880,3.2859
weather,Day,18,2880,3.2859
weather,Day,19,2880,3.2859
weather,Day,20,2880,3.2859
weather,Day,21,2880,3.2859
weather,Day,22,2880,3.2859
weather,Day,23,2880,3.2859
weather,Day,24,2880,3.2859
weather,Day,25,2880,3.2859
weather,Day,26,2880,3.2859
weather,Day,27,2880,3.2859
weather,Day,28,2880,3.2859
weather,Day,29,2688,3.0668
weather,Day,30,2640,3.012
weather,Day,31,1680,1.9168
weather,Time (LST),00:00,3652,4.1667
weather,Time (LST),01:00,3652,4.1667
weather,Time (LST),02:00,3652,4.1667
weather,Time (LST),03:00,3652,4.1667
weather,Time (LST),04:00,3652,4.1667
weather,Time (LST),05:00,3652,4.1667
weather,Time (LST),06:00,3652,4.1667
weather,Time (LST),07:00,3652,4.1667
weather,Time (LST),08:00,3652,4.1667
weather,Time (LST),09:00,3652,4.1667
weather,Time (LST),10:00,3652,4.1667
weather,Time (LST),11:00,3652,4.1667
weather,Time (LST),12:00,3652,4.1667
weather,Time (LST),13:00,3652,4.1667
weather,Time (LST),14:00,3652,4.1667
weather,Time (LST),15:00,3652,4.1667
weather,Time (LST),16:00,3652,4.1667
weather,Time (LST),17:00,3652,4.1667
weather,Time (LST),18:00,3652,4.1667
weather,Time (LST),19:00,3652,4.1667
weather,Time (LST),20:00,3652,4.1667
weather,Time (LST),21:00,3652,4.1667
weather,Time (LST),22:00,3652,4.1667
weather,Time (LST),23:00,3652,4.1667
weather,Dew Point Temp Flag,<MISSING>,87647,99.9989
weather,Dew Point Temp Flag,M,1,0.0011
weather,Rel Hum Flag,<MISSING>,87647,99.9989
