dataset,column,count,minimum,p01,p25,median,mean,p75,p99,maximum,standard_deviation,iqr_outlier_count,iqr_outlier_pct
consumption,HOUR,1046461,1.0,1.0,7.0,13.0,12.508679253216316,18.0,24.0,24.0,6.920133277445388,0,0.0
consumption,TOTAL_CONSUMPTION,1046461,4.6,17.4,183.6,559.6,2209.3438595418274,3584.4,12209.480000000005,22747.4,3083.2172885198006,56783,5.4262
consumption,PREMISE_COUNT,1046461,18.0,21.0,118.0,566.0,2189.5971373992916,4871.0,10227.0,10555.0,3214.1008314519268,0,0.0
consumption,SOURCE_PERIOD,1046461,202101.0,202101.0,202206.0,202310.0,202324.84737032722,202412.0,202512.0,202512.0,141.76937579432595,0,0.0
weather,Longitude (x),87648,-79.63,-79.63,-79.63,-79.515,-79.515,-79.4,-79.4,-79.4,0.11500065603883239,0,0.0
weather,Latitude (y),87648,43.67,43.67,43.67,43.675,43.675000000000004,43.68,43.68,43.68,0.005000028523426722,0,0.0
weather,Climate ID,87648,6158355,6158355.0,6158355.0,6158543.0,6158543.0,6158731.0,6158731.0,6158731,188.0010724808822,0,0.0
weather,Year,87648,2021,2021.0,2022.0,2023.0,2023.000547645126,2024.0,2025.0,2025,1.41402788781353,0,0.0
weather,Month,87648,1,1.0,4.0,7.0,6.52354874041621,10.0,12.0,12,3.448552815265125,0,0.0
weather,Day,87648,1,1.0,8.0,16.0,15.727820372398686,23.0,31.0,31,8.799374536827527,0,0.0
weather,Flag,0,,,,,,,,,,0,0.0
weather,Temp (°C),87601,-21.8,-11.9,1.9,10.1,10.210903985114324,19.2,29.4,35.8,10.35248786883395,0,0.0
weather,Temp Flag,0,,,,,,,,,,0,0.0
weather,Dew Point Temp (°C),87600,-30.1,-17.9,-3.2,3.9,4.103065068493151,12.6,21.5,26.0,9.930147581559583,36,0.0411
weather,Rel Hum (%),87600,14.0,28.0,56.0,68.0,68.10827625570776,80.0,100.0,100.0,16.982913928846642,55,0.0628
weather,Precip. Amount (mm),43783,0.0,0.0,0.0,0.0,0.09021309640728137,0.0,2.3,45.0,0.6411219294295518,3597,8.2155
weather,Precip. Amount Flag,0,,,,,,,,,,0,0.0
weather,Wind Dir (10s deg),43092,1.0,1.0,14.0,24.0,21.338717163278567,30.0,36.0,36.0,10.133036400064576,0,0.0
weather,Wind Dir Flag,0,,,,,,,,,,0,0.0
weather,Wind Spd (km/h),43818,0.0,0.0,9.0,14.0,15.726824592633164,21.0,43.0,67.0,9.067134779889717,840,1.917
weather,Wind Spd Flag,0,,,,,,,,,,0,0.0
weather,Visibility (km),43817,0.0,1.6,24.1,24.1,21.971529315106007,24.1,24.1,80.5,5.448903923875162,7311,16.6853
weather,Stn Press (kPa),87601,95.7,97.7,99.31,99.88,99.85742594262622,100.43,101.72,103.25,0.8476775300367797,934,1.0662
weather,Stn Press Flag,0,,,,,,,,,,0,0.0
weather,Hmdx,15430,25.0,25.0,27.0,29.0,29.69883344134802,32.0,40.0,46.0,3.7048181541580565,203,1.3156
weather,Hmdx Flag,0,,,,,,,,,,0,0.0
weather,Wind Chill,8782,-34.0,-26.0,-14.0,-10.0,-10.62662263721248,-7.0,-2.0,-1.0,5.2978981939626735,135,1.5372
weather,Wind Chill Flag,0,,,,,,,,,,0,0.0
weather,SOURCE_PERIOD,87648,202101,202101.0,202204.0,202307.0,202306.578313253,202410.0,202512.0,202512,141.4430829914519,0,0.0
calendar,year,43824,2021.0,2021.0,2022.0,2023.0,2023.000547645126,2024.0,2025.0,2025.0,1.4140359544900154,0,0.0
calendar,quarter,43824,1.0,1.0,2.0,3.0,2.508762322015334,4.0,4.0,4.0,1.117032279437156,0,0.0
calendar,month,43824,1.0,1.0,4.0,7.0,6.52354874041621,10.0,12.0,12.0,3.448572488398974,0,0.0
calendar,week_of_year,43824,1.0,1.0,13.0,26.5,26.501642935377877,40.0,52.0,53.0,15.057791963722089,0,0.0
calendar,day_of_year,43824,1.0,4.0,92.0,183.0,183.10021905805039,274.0,362.0,366.0,105.42534659368899,0,0.0
calendar,day_of_month,43824,1.0,1.0,8.0,16.0,15.727820372398686,23.0,31.0,31.0,8.799424735064969,0,0.0
calendar,hour,43824,0.0,0.0,5.75,11.5,11.5,17.25,23.0,23.0,6.922265530902663,0,0.0
calendar,weekday,43824,0.0,0.0,1.0,3.0,3.0,5.0,6.0,6.0,2.0005703953526077,0,0.0
calendar,is_weekend,43824,0.0,0.0,0.0,0.0,0.2858707557502738,1.0,1.0,1.0,0.4518332936374554,0,0.0
calendar,is_workday,43824,0.0,0.0,0.0,1.0,0.6905805038335159,1.0,1.0,1.0,0.46225961051745,0,0.0
calendar,is_monday,43824,0.0,0.0,0.0,0.0,0.1429353778751369,0.0,1.0,1.0,0.3500109299342125,6264,14.2935
calendar,is_friday,43824,0.0,0.0,0.0,0.0,0.1429353778751369,0.0,1.0,1.0,0.3500109299342125,6264,14.2935
calendar,is_business_hour,43824,0.0,0.0,0.0,0.0,0.29755385177071925,1.0,1.0,1.0,0.45718740862720286,0,0.0
calendar,is_peak_hour_window,43824,0.0,0.0,0.0,0.0,0.375,1.0,1.0,1.0,0.48412844186121906,0,0.0
calendar,is_month_start,43824,0.0,0.0,0.0,0.0,0.03285870755750274,0.0,1.0,1.0,0.17826872429732923,1440,3.2859
calendar,is_month_end,43824,0.0,0.0,0.0,0.0,0.03285870755750274,0.0,1.0,1.0,0.17826872429732923,1440,3.2859
calendar,is_year_start,43824,0.0,0.0,0.0,0.0,0.002738225629791895,0.0,0.0,1.0,0.05225696186015228,120,0.2738
calendar,is_year_end,43824,0.0,0.0,0.0,0.0,0.002738225629791895,0.0,0.0,1.0,0.05225696186015228,120,0.2738
