fsa,lag_hours,autocorrelation
L4T,1,0.9754818557677855
L4T,24,0.9163326846541745
L4T,48,0.8347191747347398
L4T,168,0.7652107323444205
M5R,1,0.9737750198780039
M5R,24,0.9276279269108507
M5R,48,0.8506734253174165
M5R,168,0.740614170033723
M5S,1,0.9717641482292287
M5S,24,0.9361181334838133
M5S,48,0.8711594477627926
M5S,168,0.7850911172133814
M6G,1,0.9749618968484169
M6G,24,0.9344192510742763
M6G,48,0.8610138080889389
M6G,168,0.7593865948620957
M9R,1,0.9731207840584182
M9R,24,0.9049002629229287
M9R,48,0.8066656094795214
M9R,168,0.731192341882188
M9W,1,0.9835740632580426
M9W,24,0.9511481932508701
M9W,48,0.9003107265430452
M9W,168,0.8491498103051187
