month,hour,mean_consumption_kwh
1,0,8430.46559139785
1,1,7842.129354838709
1,2,7468.833870967742
1,3,7274.497419354839
1,4,7259.858709677419
1,5,7465.606129032259
1,6,7853.142688172044
1,7,8503.210537634408
1,8,9137.942473118279
1,9,9632.433440860215
1,10,10064.677956989248
1,11,10461.96505376344
1,12,10701.841290322582
1,13,10646.600430107528
1,14,10549.977096774193
1,15,10617.424731182795
1,16,11025.432473118279
1,17,11857.990537634409
1,18,12189.092258064516
1,19,12032.998387096774
1,20,11680.780215053763
1,21,11100.501720430108
1,22,10247.273225806452
1,23,9284.240322580645
2,0,8380.489834515367
2,1,7809.922813238771
2,2,7455.080023640662
2,3,7277.180969267139
2,4,7278.068085106383
2,5,7503.245508274232
2,6,7937.081087470448
2,7,8627.126004728132
2,8,9167.960756501181
2,9,9573.659929078014
2,10,9925.615484633568
2,11,10251.169621749408
2,12,10427.918321513003
2,13,10323.900236406618
2,14,10178.205791962175
2,15,10213.998108747046
2,16,10532.571394799055
2,17,11202.83817966903
2,18,11837.099763593382
2,19,11817.275059101654
2,20,11498.4195035461
2,21,10936.771040189125
2,22,10100.89243498818
2,23,9164.977895981086
3,0,7220.293333333333
3,1,6777.899139784947
3,2,6533.407849462365
3,3,6471.126774193549
3,4,6635.941075268817
3,5,6962.215376344086
3,6,7525.085913978495
3,7,8111.416666666667
3,8,8536.494301075269
3,9,8892.950537634408
3,10,9220.440215053764
3,11,9433.305698924732
3,12,9416.870860215055
3,13,9263.44494623656
3,14,9171.116451612905
3,15,9276.654731182796
3,16,9593.754301075269
3,17,9987.091935483872
3,18,10477.346451612902
3,19,10635.27430107527
3,20,10270.727634408602
3,21,9577.4
3,22,8679.953978494625
3,23,7838.928172043011
4,0,6122.285444444445
4,1,5763.303777777778
4,2,5581.593888888889
4,3,5594.1106666666665
4,4,5781.293000000001
4,5,6172.2155555555555
4,6,6804.922777777778
4,7,7333.207111111112
4,8,7744.119888888889
4,9,8117.592333333333
4,10,8455.469555555555
4,11,8637.452888888889
4,12,8539.006888888889
4,13,8383.114333333333
4,14,8344.671666666667
4,15,8511.427333333333
4,16,8822.333777777778
4,17,9048.102111111111
4,18,9263.379888888889
4,19,9454.223666666667
4,20,9162.208111111111
4,21,8428.240333333333
4,22,7496.867222222222
4,23,6691.493333333333
5,0,5724.077311827958
5,1,5294.28505376344
5,2,5051.494946236559
5,3,4982.334838709678
5,4,5113.499569892473
5,5,5446.640430107526
5,6,6099.295376344086
5,7,6705.044301075269
5,8,7194.57247311828
5,9,7649.758064516129
5,10,8048.701397849462
5,11,8299.765376344087
5,12,8279.526344086022
5,13,8228.700537634408
5,14,8277.621612903225
5,15,8508.467311827957
5,16,8850.173548387098
5,17,9038.333870967743
5,18,9078.925806451613
5,19,9126.268172043012
5,20,9058.714731182796
5,21,8372.911290322581
5,22,7374.511612903226
5,23,6465.293225806452
6,0,7185.3208888888885
6,1,6549.379777777777
6,2,6127.599222222222
6,3,5911.072444444445
6,4,5913.680666666666
6,5,6160.91988888889
6,6,6863.216666666666
6,7,7700.827333333333
6,8,8449.660777777777
6,9,9166.654111111111
6,10,9826.125777777777
6,11,10348.681333333332
6,12,10547.574777777778
6,13,10673.287666666667
6,14,10865.02611111111
6,15,11196.086222222222
6,16,11567.650777777777
6,17,11679.051888888887
6,18,11531.84011111111
6,19,11265.086666666666
6,20,11088.492888888888
6,21,10432.309888888889
6,22,9282.880333333333
6,23,8142.491333333333
7,0,8548.06376344086
7,1,7766.827849462366
7,2,7221.682150537635
7,3,6900.359032258065
7,4,6816.261075268817
7,5,6936.0272043010755
7,6,7568.944623655914
7,7,8590.893333333333
7,8,9612.987096774194
7,9,10587.990430107526
7,10,11426.263118279569
7,11,12143.20311827957
7,12,12549.544731182796
7,13,12819.060752688172
7,14,13092.937096774194
7,15,13405.594086021505
7,16,13772.060107526882
7,17,13858.876774193548
7,18,13626.333333333334
7,19,13186.178602150538
7,20,12906.083333333334
7,21,12146.82935483871
7,22,10883.38870967742
7,23,9624.055161290324
8,0,8066.086666666666
8,1,7354.290215053764
8,2,6862.291935483871
8,3,6575.9113978494615
8,4,6516.302258064516
8,5,6621.5558064516135
8,6,7109.35
8,7,8032.847311827957
8,8,9012.405806451614
8,9,9981.861612903227
8,10,10837.609354838709
8,11,11532.554301075268
8,12,11894.179032258064
8,13,12116.64935483871
8,14,12352.708494623655
8,15,12627.067956989247
8,16,12974.978817204303
8,17,13021.889032258065
8,18,12734.732043010754
8,19,12489.921075268816
8,20,12210.524623655914
8,21,11347.087311827956
8,22,10154.438494623657
8,23,9003.328494623656
9,0,6168.345555555556
9,1,5662.314888888889
9,2,5337.940111111111
9,3,5193.124444444445
9,4,5266.4004444444445
9,5,5567.871999999999
9,6,6163.580333333333
9,7,6763.390333333333
9,8,7404.5869999999995
9,9,8049.235888888888
9,10,8632.367555555555
9,11,9106.649444444445
9,12,9312.104444444445
9,13,9411.302777777777
9,14,9560.922555555557
9,15,9883.361111111111
9,16,10217.685444444445
9,17,10276.230333333335
9,18,10292.406333333332
9,19,10275.651555555556
9,20,9766.644444444444
9,21,8900.774444444445
9,22,7843.531666666667
9,23,6890.98
10,0,5611.2591397849465
10,1,5227.1032258064515
10,2,5007.741290322581
10,3,4957.991720430107
10,4,5124.426344086021
10,5,5524.86193548387
10,6,6203.22935483871
10,7,6748.552258064516
10,8,7204.100537634408
10,9,7630.673225806451
10,10,7989.751290322581
10,11,8225.244193548388
10,12,8198.721612903226
10,13,8102.966236559139
10,14,8112.460967741936
10,15,8334.915053763441
10,16,8695.142258064516
10,17,9072.213440860214
10,18,9340.456129032258
10,19,9160.005698924731
10,20,8666.033548387097
10,21,7909.205376344086
10,22,7011.470860215054
10,23,6227.504946236559
11,0,6869.283222222222
11,1,6345.103444444444
11,2,6016.733777777778
11,3,5864.227777777778
11,4,5901.0673333333325
11,5,6176.498111111111
11,6,6677.316666666667
11,7,7369.981333333333
11,8,7828.4291111111115
11,9,8181.255666666666
11,10,8505.950444444445
11,11,8783.746333333334
11,12,8917.014444444445
11,13,8841.261555555557
11,14,8758.401666666667
