month,month_name,count,mean,median,maximum
1,January,22320,9722.038163082438,9442.75,20741.6
2,February,20304,9559.227827029157,9361.849999999999,20316.300000000003
3,March,22320,8604.54752688172,8265.7,19194.4
4,April,21600,7677.193148148148,7225.3,17496.3
5,May,22320,7344.538216845878,6699.15,23875.9
6,June,21600,9103.121564814815,8131.4,33712.2
7,July,22320,10666.268534946235,9590.8,31498.5
8,August,22320,10059.607141577062,9151.9,32007.9
9,September,21600,7997.808462962964,7174.75,29812.199999999997
10,October,22320,7261.9179435483875,6681.599999999999,22256.3
11,November,21600,8151.213638888888,7688.099999999999,18999.5
12,December,22320,9362.047867383513,8986.6,20174.8
