fsa,hour,mean,median,maximum
L4T,0,9475.024424972618,9241.6,20225.9
L4T,1,8699.170481927711,8489.0,18677.4
L4T,2,8199.027765607885,8028.299999999999,17704.9
L4T,3,7996.981818181818,7831.75,17137.8
L4T,4,8097.008159912377,7950.299999999999,16877.300000000003
L4T,5,8379.681270536692,8246.650000000001,16923.3
L4T,6,8943.253943044907,8758.15,17923.5
L4T,7,9772.10251916758,9528.95,19844.0
L4T,8,10684.661226725082,10293.0,21533.8
L4T,9,11615.360898138006,11059.800000000001,22983.3
L4T,10,12482.356188389922,11786.5,24248.200000000004
L4T,11,13162.906790799563,12387.7,25623.699999999997
L4T,12,13477.826725082148,12648.4,26406.800000000003
L4T,13,13557.711226725081,12646.05,26746.6
L4T,14,13633.493537787514,12564.75,27011.6
L4T,15,13817.588499452355,12711.95,27578.800000000003
L4T,16,14017.93417305586,12970.899999999998,27570.0
L4T,17,14246.35509309967,13353.0,27729.5
L4T,18,14457.420372398687,13642.5,27796.600000000002
L4T,19,14488.964457831325,13788.1,27400.800000000003
L4T,20,14122.78417305586,13524.1,27129.600000000002
L4T,21,13144.517141292443,12671.45,26122.800000000003
L4T,22,11815.036254107337,11463.650000000001,24347.1
L4T,23,10544.236418400877,10253.25,22219.699999999997
M5R,0,6371.615991237679,6175.799999999999,12070.300000000001
M5R,1,5969.88483023001,5748.85,11376.9
M5R,2,5730.463253012048,5504.5,10860.900000000001
M5R,3,5610.581872946331,5371.5,10517.8
M5R,4,5624.406462212486,5395.9,10332.3
M5R,5,5853.112486308872,5611.200000000001,10467.800000000001
M5R,6,6390.539485213581,6165.65,11254.199999999999
M5R,7,7053.122179627601,6800.75,12441.0
M5R,8,7540.307009857612,7266.85,13334.800000000001
M5R,9,7873.93543263965,7603.1,14236.0
M5R,10,8125.947590361447,7856.25,14847.5
M5R,11,8332.71308871851,8040.050000000001,15321.3
M5R,12,8378.555585980284,8089.0,15567.699999999999
M5R,13,8317.020098576122,8026.4,15994.300000000001
M5R,14,8277.186637458926,8015.299999999999,16317.800000000001
M5R,15,8409.403121577217,8136.6,16543.0
M5R,16,8838.29534501643,8585.85,16658.6
M5R,17,9402.55969331873,9175.2,16999.0
M5R,18,9628.846440306683,9348.149999999998,16854.0
M5R,19,9475.212924424974,9169.599999999999,16479.8
M5R,20,9177.302847754656,8882.0,16106.599999999999
M5R,21,8643.438554216867,8380.55,15302.1
M5R,22,7842.136966046002,7606.85,14216.5
M5R,23,7022.2910733844465,6840.799999999999,13024.099999999999
M5S,0,3637.440416210296,3522.75,6128.0
M5S,1,3355.2411281489594,3246.45,5788.3
M5S,2,3163.5001642935376,3060.65,5551.0
M5S,3,3053.7959474260683,2954.2,5394.1
M5S,4,3018.99704271632,2908.6499999999996,5313.8
M5S,5,3085.479244249726,2963.25,5359.2
M5S,6,3311.503614457831,3205.5,5539.400000000001
M5S,7,3646.9257940854327,3529.05,5923.799999999999
M5S,8,3928.0456736035053,3800.2,6214.5
M5S,9,4124.381982475356,4013.15,6385.7
M5S,10,4285.422836801752,4175.4,6502.9
M5S,11,4424.282475355969,4314.4,6657.2
M5S,12,4453.481599123768,4347.8,6768.099999999999
M5S,13,4408.516429353779,4299.2,6848.9
M5S,14,4380.9158269441405,4270.049999999999,6995.0
M5S,15,4444.604928806133,4347.55,7190.299999999999
M5S,16,4654.786089813801,4564.9,7440.700000000001
M5S,17,4933.790854326397,4840.25,7462.2
M5S,18,5079.639320920044,4967.65,7583.1
M5S,19,5055.983899233297,4941.8,7622.4
M5S,20,4955.071631982476,4837.299999999999,7428.1
M5S,21,4759.860186199342,4644.65,7207.099999999999
M5S,22,4426.705421686746,4311.3,7190.700000000001
M5S,23,4021.6263417305586,3902.2999999999997,6629.3
M6G,0,9501.196276013143,9347.2,19264.9
M6G,1,8800.26516976999,8618.55,18074.399999999998
M6G,2,8347.61582694414,8139.85,17102.4
M6G,3,8105.16182913472,7875.450000000001,16498.600000000002
M6G,4,8094.737404162103,7844.7,16226.300000000001
M6G,5,8402.138116100767,8153.200000000001,16312.199999999999
M6G,6,9174.66286966046,8947.45,17590.0
M6G,7,10141.323932092004,9867.8,19435.4
M6G,8,10910.85317634173,10599.5,20696.3
M6G,9,11563.514841182914,11257.8,22143.0
M6G,10,12151.168346111719,11859.75,23378.0
M6G,11,12629.753012048193,12312.0,24375.9
M6G,12,12798.114676889374,12479.150000000001,24904.3
M6G,13,12785.144414019715,12463.5,25681.9
M6G,14,12812.742059145674,12490.95,26023.2
