fsa,season,mean,median,maximum
L4T,Winter,11735.896960458242,11913.900000000001,17348.1
L4T,Spring,10298.983686594203,10423.05,21973.100000000002
L4T,Summer,14021.92535326087,13494.55,27796.600000000002
L4T,Fall,10404.208644688646,10360.35,25114.0
M5R,Winter,9012.304055801922,8991.7,14814.8
M5R,Spring,6875.0775996376815,6839.6,12716.3
M5R,Summer,8067.281557971015,7850.0,16999.0
M5R,Fall,6709.548424908425,6701.7,14484.0
M5S,Winter,4805.75014781966,4794.0,7622.4
M5S,Spring,3742.383704710145,3727.6000000000004,6602.1
M5S,Summer,4183.585344202899,4125.5,7533.799999999999
M5S,Fall,3712.611721611722,3727.05,7130.2
M6G,Winter,13083.922043606799,13189.95,20662.3
M6G,Spring,10384.202554347827,10401.65,19194.4
M6G,Summer,12445.035842391304,11998.55,27460.100000000002
M6G,Fall,10054.953983516483,10039.3,23652.4
M9R,Winter,5699.404684035477,5610.099999999999,9583.7
M9R,Spring,4799.539510869566,4718.6,11515.400000000001
M9R,Summer,6801.599284420289,6257.9,16243.6
M9R,Fall,4863.196282051282,4657.15,14852.6
M9W,Winter,12947.216010716926,12635.15,20741.6
M9W,Spring,11165.298976449276,10901.55,23875.9
M9W,Summer,14193.341721014493,13594.75,33712.2
M9W,Fall,11041.642655677655,10458.900000000001,29812.199999999997
