weather_variable,pairwise_rows,coverage_pct,pearson_correlation,pearson_strength,spearman_correlation,spearman_strength
Hmdx,46290,17.604509,0.37809556632611524,weak,0.3140408377366172,weak
Wind Spd (km/h),131454,49.993154,0.11168593999975915,very weak,0.12157502479246458,very weak
Stn Press (kPa),262803,99.946376,-0.10969609145054533,very weak,-0.11267642125539463,very weak
Rel Hum (%),262800,99.945235,-0.10544122697989625,very weak,-0.09946570318790755,very weak
Wind Chill,26346,10.019624,-0.07327438564725441,very weak,-0.08026284381755164,very weak
Temp (°C),262803,99.946376,0.08093054978015728,very weak,0.03222906899098427,very weak
Wind Dir (10s deg),129276,49.164841,-0.01978633755430112,very weak,-0.03003593254586486,very weak
Visibility (km),131451,49.992014,0.002784610065178957,very weak,-0.01434788197587506,very weak
Precip. Amount (mm),131349,49.953222,0.002963033596295314,very weak,0.012150760639700935,very weak
Dew Point Temp (°C),262800,99.945235,0.03885998403422559,very weak,-0.00356791616498941,very weak
