index,total_consumption_kwh,Temp (°C),Dew Point Temp (°C),Rel Hum (%),Stn Press (kPa),Wind Spd (km/h),Precip. Amount (mm),Visibility (km),Wind Dir (10s deg),Hmdx,Wind Chill
total_consumption_kwh,1.0,0.08093054978015833,0.038859984034224075,-0.10544122697990314,-0.1096960914504263,0.11168593999976256,0.0029630335962950224,0.0027846100651827883,-0.01978633755430343,0.3780955663261187,-0.07327438564725394
Temp (°C),0.08093054978015833,1.0,0.9197862838697668,-0.16683379014980843,-0.11332922912864914,-0.14089413898749276,0.0025257567622053306,0.14630231978738859,-0.0877677171351842,0.7992552207657199,0.9316101725399448
Dew Point Temp (°C),0.038859984034224075,0.9197862838697668,1.0,0.22607099591492028,-0.2201172219252142,-0.22330394737723905,0.0726768218477509,-0.010202878343995215,-0.11840169547330011,0.6275116008012568,0.8485955610962226
Rel Hum (%),-0.10544122697990314,-0.16683379014980843,0.22607099591492028,1.0,-0.29920156720346713,-0.20777008936784955,0.21510746214789536,-0.46204582011031886,-0.09095857545743417,-0.022536413486285666,0.2886100210769071
Stn Press (kPa),-0.1096960914504263,-0.11332922912864914,-0.2201172219252142,-0.29920156720346713,1.0,-0.27196443133124537,-0.14244403376268855,0.2332085997496171,-0.0710025204694268,-0.118079763951082,-0.1419364736883577
Wind Spd (km/h),0.11168593999976256,-0.14089413898749276,-0.22330394737723905,-0.20777008936784955,-0.27196443133124537,1.0,,0.04371609290021806,0.31367029399326296,0.18778647496393264,-0.3361584888737419
Precip. Amount (mm),0.0029630335962950224,0.0025257567622053306,0.0726768218477509,0.21510746214789536,-0.14244403376268855,,1.0,,,-0.00044778664384553964,
Visibility (km),0.0027846100651827883,0.14630231978738859,-0.010202878343995215,-0.46204582011031886,0.2332085997496171,0.04371609290021806,,1.0,0.16605734666963431,-0.028718996326710485,-0.08406855271846128
Wind Dir (10s deg),-0.01978633755430343,-0.0877677171351842,-0.11840169547330011,-0.09095857545743417,-0.0710025204694268,0.31367029399326296,,0.16605734666963431,1.0,0.0739496172617729,-0.16243184130023025
Hmdx,0.3780955663261187,0.7992552207657199,0.6275116008012568,-0.022536413486285666,-0.118079763951082,0.18778647496393264,-0.00044778664384553964,-0.028718996326710485,0.0739496172617729,1.0,
Wind Chill,-0.07327438564725394,0.9316101725399448,0.8485955610962226,0.2886100210769071,-0.1419364736883577,-0.3361584888737419,,-0.08406855271846128,-0.16243184130023025,,1.0
