assigned_climate_id,assigned_station_name,column,rows,non_null_count,missing_count,coverage_pct
6158355,TORONTO CITY,Temp (°C),131472,131349,123,99.906444
6158355,TORONTO CITY,Dew Point Temp (°C),131472,131349,123,99.906444
6158355,TORONTO CITY,Rel Hum (%),131472,131349,123,99.906444
6158355,TORONTO CITY,Stn Press (kPa),131472,131349,123,99.906444
6158355,TORONTO CITY,Wind Spd (km/h),131472,0,131472,0.0
6158355,TORONTO CITY,Precip. Amount (mm),131472,131349,123,99.906444
6158355,TORONTO CITY,Visibility (km),131472,0,131472,0.0
6158355,TORONTO CITY,Wind Dir (10s deg),131472,0,131472,0.0
6158355,TORONTO CITY,Hmdx,131472,23292,108180,17.71632
6158355,TORONTO CITY,Wind Chill,131472,0,131472,0.0
6158731,TORONTO INTL A,Temp (°C),131472,131454,18,99.986309
6158731,TORONTO INTL A,Dew Point Temp (°C),131472,131451,21,99.984027
6158731,TORONTO INTL A,Rel Hum (%),131472,131451,21,99.984027
6158731,TORONTO INTL A,Stn Press (kPa),131472,131454,18,99.986309
6158731,TORONTO INTL A,Wind Spd (km/h),131472,131454,18,99.986309
6158731,TORONTO INTL A,Precip. Amount (mm),131472,0,131472,0.0
6158731,TORONTO INTL A,Visibility (km),131472,131451,21,99.984027
6158731,TORONTO INTL A,Wind Dir (10s deg),131472,129276,2196,98.329682
6158731,TORONTO INTL A,Hmdx,131472,22998,108474,17.492698
6158731,TORONTO INTL A,Wind Chill,131472,26346,105126,20.039248
