fsa,season,hour,assigned_station_name,peak_hours,mean_peak_consumption_kwh,mean_temperature_c,mean_relative_humidity_pct
L4T,Fall,0,TORONTO INTL A,1,16391.7,24.2,79.0
L4T,Fall,8,TORONTO INTL A,1,16781.4,25.2,78.0
L4T,Fall,9,TORONTO INTL A,3,18082.633333333335,27.03333333333333,65.33333333333333
L4T,Fall,10,TORONTO INTL A,5,18972.32,27.439999999999998,65.4
L4T,Fall,11,TORONTO INTL A,10,18896.370000000003,26.73,63.3
L4T,Fall,12,TORONTO INTL A,18,18396.544444444444,26.522222222222222,60.05555555555556
L4T,Fall,13,TORONTO INTL A,23,18398.808695652177,26.63913043478261,57.65217391304348
L4T,Fall,14,TORONTO INTL A,28,18396.85714285714,26.25714285714286,57.785714285714285
L4T,Fall,15,TORONTO INTL A,34,18362.238235294117,26.294117647058822,55.23529411764706
L4T,Fall,16,TORONTO INTL A,35,18331.231428571427,25.92,54.25714285714286
L4T,Fall,17,TORONTO INTL A,30,18393.136666666665,25.07,58.4
L4T,Fall,18,TORONTO INTL A,29,18244.572413793103,24.082758620689653,63.241379310344826
L4T,Fall,19,TORONTO INTL A,27,18353.41851851852,22.9,69.51851851851852
L4T,Fall,20,TORONTO INTL A,17,18439.988235294117,23.01764705882353,71.11764705882354
L4T,Fall,21,TORONTO INTL A,6,19576.866666666665,24.683333333333334,75.33333333333333
L4T,Fall,22,TORONTO INTL A,4,18582.725,24.825000000000003,76.0
L4T,Fall,23,TORONTO INTL A,2,17672.050000000003,24.35,75.5
L4T,Spring,8,TORONTO INTL A,1,14583.0,26.5,60.0
L4T,Spring,9,TORONTO INTL A,2,15790.0,26.5,54.5
L4T,Spring,10,TORONTO INTL A,8,15729.574999999999,26.7,54.625
L4T,Spring,11,TORONTO INTL A,11,16009.145454545454,26.818181818181817,54.81818181818182
L4T,Spring,12,TORONTO INTL A,14,16165.0,17.928571428571427,53.785714285714285
L4T,Spring,13,TORONTO INTL A,17,16197.970588235294,19.694117647058825,50.88235294117647
L4T,Spring,14,TORONTO INTL A,20,16264.670000000002,22.275,49.4
L4T,Spring,15,TORONTO INTL A,22,16484.822727272727,22.704545454545453,45.63636363636363
L4T,Spring,16,TORONTO INTL A,23,16614.121739130434,22.64782608695652,45.47826086956522
L4T,Spring,17,TORONTO INTL A,25,16540.484,20.224,48.8
L4T,Spring,18,TORONTO INTL A,35,16087.677142857141,13.737142857142857,52.74285714285714
L4T,Spring,19,TORONTO INTL A,45,15823.733333333334,9.055555555555555,55.37777777777778
L4T,Spring,20,TORONTO INTL A,32,16049.43125,11.85625,55.0625
L4T,Spring,21,TORONTO INTL A,14,16408.514285714286,18.928571428571427,58.714285714285715
L4T,Spring,22,TORONTO INTL A,6,15876.183333333332,24.666666666666668,56.666666666666664
L4T,Spring,23,TORONTO INTL A,1,15753.7,25.4,59.0
L4T,Summer,10,TORONTO INTL A,2,24211.15,32.4,55.5
L4T,Summer,11,TORONTO INTL A,9,24814.833333333332,31.355555555555554,57.0
L4T,Summer,12,TORONTO INTL A,20,24874.28,31.360000000000003,53.1
L4T,Summer,13,TORONTO INTL A,26,25076.32307692308,31.49230769230769,51.65384615384615
L4T,Summer,14,TORONTO INTL A,34,25048.188235294117,31.482352941176472,49.705882352941174
L4T,Summer,15,TORONTO INTL A,39,25196.77435897436,31.46923076923077,48.205128205128204
L4T,Summer,16,TORONTO INTL A,40,25209.177499999998,31.4925,48.175
L4T,Summer,17,TORONTO INTL A,35,25276.745714285713,31.311428571428575,47.91428571428571
L4T,Summer,18,TORONTO INTL A,25,25431.804,31.04,49.16
L4T,Summer,19,TORONTO INTL A,23,25103.373913043477,29.82608695652174,54.130434782608695
L4T,Summer,20,TORONTO INTL A,14,25189.092857142856,29.142857142857142,54.285714285714285
L4T,Summer,21,TORONTO INTL A,8,24728.975000000002,28.8125,61.875
L4T,Summer,22,TORONTO INTL A,1,24347.1,29.1,72.0
L4T,Winter,11,TORONTO INTL A,3,15664.666666666666,-15.366666666666667,56.0
L4T,Winter,12,TORONTO INTL A,8,15910.4125,-10.7125,64.0
L4T,Winter,13,TORONTO INTL A,12,15924.358333333332,-8.366666666666667,60.333333333333336
L4T,Winter,14,TORONTO INTL A,10,15847.5,-8.26,58.7
L4T,Winter,15,TORONTO INTL A,10,15770.73,-7.7,61.6
L4T,Winter,16,TORONTO INTL A,11,15861.654545454543,-7.6909090909090905,62.18181818181818
L4T,Winter,17,TORONTO INTL A,41,16047.358536585365,-6.490243902439025,63.292682926829265
L4T,Winter,18,TORONTO INTL A,63,16192.29365079365,-6.40952380952381,67.34920634920636
L4T,Winter,19,TORONTO INTL A,64,16163.6828125,-7.1703125,67.96875
L4T,Winter,20,TORONTO INTL A,41,16034.058536585366,-8.614634146341464,67.65853658536585
L4T,Winter,21,TORONTO INTL A,8,15764.699999999999,-11.399999999999999,63.75
M5R,Fall,8,TORONTO CITY,2,10260.849999999999,24.85,75.5
M5R,Fall,9,TORONTO CITY,2,11113.7,26.6,68.5
M5R,Fall,10,TORONTO CITY,3,11272.0,27.266666666666666,64.0
M5R,Fall,11,TORONTO CITY,4,11684.925,26.9,67.75
M5R,Fall,12,TORONTO CITY,6,11385.216666666667,23.700000000000003,67.0
M5R,Fall,13,TORONTO CITY,8,11154.2375,28.225,57.0
M5R,Fall,14,TORONTO CITY,7,11553.128571428571,28.37142857142857,57.142857142857146
M5R,Fall,15,TORONTO CITY,10,11245.78,19.96,60.9
M5R,Fall,16,TORONTO CITY,15,11140.013333333334,14.706666666666667,63.733333333333334
M5R,Fall,17,TORONTO CITY,46,10614.33695652174,6.852173913043478,64.65217391304348
M5R,Fall,18,TORONTO CITY,64,10648.10625,5.778125,65.765625
M5R,Fall,19,TORONTO CITY,55,10576.42,5.778181818181818,66.98181818181818
M5R,Fall,20,TORONTO CITY,32,10561.696875,5.496875,68.96875
M5R,Fall,21,TORONTO CITY,14,10603.085714285715,5.978571428571429,73.92857142857143
M5R,Fall,22,TORONTO CITY,4,10783.9,17.525,75.0
M5R,Fall,23,TORONTO CITY,1,10425.4,24.2,79.0
M5R,Spring,8,TORONTO CITY,1,10168.4,-13.9,50.0
M5R,Spring,9,TORONTO CITY,2,10462.05,-11.45,52.5
M5R,Spring,10,TORONTO CITY,3,10471.233333333332,2.9,54.333333333333336
M5R,Spring,11,TORONTO CITY,4,10385.325,2.4250000000000003,55.25
M5R,Spring,12,TORONTO CITY,6,10364.683333333332,0.1166666666666667,55.0
M5R,Spring,13,TORONTO CITY,4,10530.35,3.575,57.75
M5R,Spring,14,TORONTO CITY,3,10788.833333333334,7.566666666666667,59.333333333333336
M5R,Spring,15,TORONTO CITY,5,10701.820000000002,8.879999999999999,54.4
M5R,Spring,16,TORONTO CITY,13,10622.215384615383,9.092307692307692,56.69230769230769
M5R,Spring,17,TORONTO CITY,37,10587.591891891892,5.34054054054054,57.21621621621622
M5R,Spring,18,TORONTO CITY,65,10736.923076923076,3.4707692307692306,58.261538461538464
M5R,Spring,19,TORONTO CITY,65,10738.001538461538,2.363076923076923,58.83076923076923
M5R,Spring,20,TORONTO CITY,48,10577.016666666666,1.9083333333333332,59.125
M5R,Spring,21,TORONTO CITY,15,10653.24,1.1,53.53333333333333
M5R,Spring,22,TORONTO CITY,4,10470.5,0.3999999999999999,56.25
M5R,Spring,23,TORONTO CITY,1,10033.1,-10.1,56.0
M5R,Summer,8,TORONTO CITY,1,13334.800000000001,29.9,59.0
M5R,Summer,9,TORONTO CITY,1,14236.0,30.4,59.0
M5R,Summer,10,TORONTO CITY,1,14847.5,32.0,54.0
M5R,Summer,11,TORONTO CITY,4,14006.849999999999,30.375,59.0
M5R,Summer,12,TORONTO CITY,13,13609.176923076922,30.476923076923075,55.23076923076923
M5R,Summer,13,TORONTO CITY,15,13864.933333333332,31.246666666666666,52.666666666666664
M5R,Summer,14,TORONTO CITY,19,13959.43157894737,31.26842105263158,52.1578947368421
M5R,Summer,15,TORONTO CITY,28,13928.867857142857,31.521428571428572,50.07142857142857
M5R,Summer,16,TORONTO CITY,37,14007.416216216217,30.700000000000003,52.37837837837838
M5R,Summer,17,TORONTO CITY,48,14026.370833333334,29.672916666666666,54.729166666666664
M5R,Summer,18,TORONTO CITY,39,14112.56923076923,29.15897435897436,57.256410256410255
M5R,Summer,19,TORONTO CITY,30,14048.106666666667,28.866666666666667,58.2
M5R,Summer,20,TORONTO CITY,24,13979.258333333333,27.866666666666664,60.5
M5R,Summer,21,TORONTO CITY,13,13835.353846153846,27.415384615384614,63.0
M5R,Summer,22,TORONTO CITY,3,13786.566666666666,28.0,65.0
M5R,Winter,9,TORONTO CITY,1,12857.8,-4.8,79.0
M5R,Winter,10,TORONTO CITY,1,13139.0,-4.0,75.0
M5R,Winter,11,TORONTO CITY,5,12717.88,-8.16,67.4
M5R,Winter,12,TORONTO CITY,5,12809.4,-7.220000000000001,67.4
M5R,Winter,13,TORONTO CITY,5,12697.16,-5.84,65.8
M5R,Winter,14,TORONTO CITY,4,12696.575,-4.05,67.25
M5R,Winter,15,TORONTO CITY,3,12877.1,-4.633333333333334,72.66666666666667
M5R,Winter,16,TORONTO CITY,11,12862.363636363636,-3.8,61.36363636363637
M5R,Winter,17,TORONTO CITY,38,13026.165789473684,-5.886842105263158,60.5
M5R,Winter,18,TORONTO CITY,79,13183.944303797469,-6.359493670886076,61.77215189873418
M5R,Winter,19,TORONTO CITY,69,13072.485507246376,-6.781159420289855,62.028985507246375
M5R,Winter,20,TORONTO CITY,38,12944.776315789473,-7.918421052631579,61.71052631578947
M5R,Winter,21,TORONTO CITY,10,13121.0,-9.49,60.4
M5R,Winter,22,TORONTO CITY,2,12685.8,-7.3,60.5
M5S,Fall,9,TORONTO CITY,2,5459.049999999999,26.6,68.5
M5S,Fall,10,TORONTO CITY,3,5593.033333333333,27.266666666666666,64.0
M5S,Fall,11,TORONTO CITY,3,5852.633333333334,27.7,64.33333333333333
M5S,Fall,12,TORONTO CITY,7,5631.7,23.228571428571428,61.42857142857143
M5S,Fall,13,TORONTO CITY,6,5745.150000000001,24.099999999999998,65.33333333333333
M5S,Fall,14,TORONTO CITY,6,5856.166666666667,24.46666666666667,61.5
M5S,Fall,15,TORONTO CITY,9,5831.722222222223,22.022222222222222,59.77777777777778
M5S,Fall,16,TORONTO CITY,15,5835.806666666667,14.553333333333335,63.6
M5S,Fall,17,TORONTO CITY,33,5712.451515151515,7.3999999999999995,65.33333333333333
M5S,Fall,18,TORONTO CITY,61,5660.7163934426235,7.00655737704918,66.57377049180327
M5S,Fall,19,TORONTO CITY,52,5691.471153846154,5.763461538461538,67.3076923076923
M5S,Fall,20,TORONTO CITY,41,5648.119512195121,5.121951219512195,67.63414634146342
M5S,Fall,21,TORONTO CITY,26,5587.369230769231,3.5846153846153848,70.03846153846153
M5S,Fall,22,TORONTO CITY,8,5602.0,7.7749999999999995,69.625
M5S,Fall,23,TORONTO CITY,1,5374.4,24.2,79.0
M5S,Spring,10,TORONTO CITY,2,5501.549999999999,-10.15,56.0
M5S,Spring,11,TORONTO CITY,3,5624.066666666667,-6.866666666666667,53.333333333333336
M5S,Spring,12,TORONTO CITY,5,5565.84,-5.62,55.4
M5S,Spring,13,TORONTO CITY,4,5619.625,-4.85,59.75
M5S,Spring,14,TORONTO CITY,4,5599.65,4.0,56.5
M5S,Spring,15,TORONTO CITY,4,5671.05,3.7249999999999996,60.25
M5S,Spring,16,TORONTO CITY,8,5624.225,0.8375000000000001,61.125
M5S,Spring,17,TORONTO CITY,30,5588.903333333334,3.6233333333333335,61.63333333333333
M5S,Spring,18,TORONTO CITY,56,5727.0142857142855,1.4910714285714286,60.75
M5S,Spring,19,TORONTO CITY,66,5745.854545454546,1.6181818181818184,60.07575757575758
M5S,Spring,20,TORONTO CITY,55,5686.243636363637,0.9763636363636363,60.6
M5S,Spring,21,TORONTO CITY,30,5645.583333333333,-1.3833333333333333,61.0
M5S,Spring,22,TORONTO CITY,7,5651.457142857143,-5.271428571428571,56.42857142857143
M5S,Spring,23,TORONTO CITY,2,5544.4,-7.699999999999999,57.0
M5S,Summer,10,TORONTO CITY,1,6502.4,32.0,54.0
M5S,Summer,11,TORONTO CITY,3,6457.600000000001,31.433333333333334,59.0
M5S,Summer,12,TORONTO CITY,8,6513.7125,31.087500000000002,58.875
M5S,Summer,13,TORONTO CITY,11,6543.027272727273,31.59090909090909,53.90909090909091
M5S,Summer,14,TORONTO CITY,12,6626.25,31.925,51.75
M5S,Summer,15,TORONTO CITY,22,6625.881818181818,31.845454545454547,50.09090909090909
M5S,Summer,16,TORONTO CITY,35,6699.748571428572,30.82857142857143,51.628571428571426
M5S,Summer,17,TORONTO CITY,52,6715.913461538462,29.57884615384615,55.30769230769231
M5S,Summer,18,TORONTO CITY,44,6748.779545454545,29.045454545454547,57.72727272727273
M5S,Summer,19,TORONTO CITY,36,6714.547222222222,28.291666666666668,60.44444444444444
M5S,Summer,20,TORONTO CITY,31,6657.43870967742,27.51290322580645,63.54838709677419
M5S,Summer,21,TORONTO CITY,16,6621.08125,27.23125,63.25
M5S,Summer,22,TORONTO CITY,4,6654.75,27.775000000000002,67.25
M5S,Summer,23,TORONTO CITY,1,6483.200000000001,27.4,63.0
M5S,Winter,11,TORONTO CITY,2,6640.85,-12.85,72.0
M5S,Winter,12,TORONTO CITY,5,6697.9,-9.760000000000002,60.8
M5S,Winter,13,TORONTO CITY,5,6650.42,-9.14,59.4
M5S,Winter,14,TORONTO CITY,1,6674.2,-4.7,70.0
M5S,Winter,15,TORONTO CITY,2,6680.75,-5.75,64.0
M5S,Winter,16,TORONTO CITY,7,6762.728571428571,-4.4714285714285715,67.28571428571429
M5S,Winter,17,TORONTO CITY,31,6839.700000000001,-5.532258064516129,58.483870967741936
M5S,Winter,18,TORONTO CITY,65,6938.555384615384,-6.221538461538462,61.03076923076923
M5S,Winter,19,TORONTO CITY,72,6895.426388888889,-6.788888888888889,61.30555555555556
M5S,Winter,20,TORONTO CITY,45,6860.8,-7.637777777777777,62.0
M5S,Winter,21,TORONTO CITY,26,6814.784615384615,-8.257692307692308,61.0
M5S,Winter,22,TORONTO CITY,9,6794.7444444444445,-10.333333333333334,59.888888888888886
M5S,Winter,23,TORONTO CITY,1,6629.3,-14.3,62.0
M6G,Fall,0,TORONTO CITY,1,14975.4,24.1,79.0
M6G,Fall,8,TORONTO CITY,2,15777.5,24.85,75.5
M6G,Fall,9,TORONTO CITY,2,17315.3,26.6,68.5
M6G,Fall,10,TORONTO CITY,4,17291.300000000003,26.225,67.75
M6G,Fall,11,TORONTO CITY,5,17873.96,26.439999999999998,67.8
M6G,Fall,12,TORONTO CITY,8,17343.6875,24.175,64.625
M6G,Fall,13,TORONTO CITY,10,17280.36,25.630000000000003,57.5
M6G,Fall,14,TORONTO CITY,11,17376.754545454543,25.29090909090909,58.18181818181818
M6G,Fall,15,TORONTO CITY,17,16968.629411764705,25.49411764705882,56.05882352941177
M6G,Fall,16,TORONTO CITY,26,16747.98846153846,19.876923076923074,59.73076923076923
M6G,Fall,17,TORONTO CITY,48,16336.222916666666,13.1875,62.041666666666664
M6G,Fall,18,TORONTO CITY,53,16308.564150943397,11.024528301886791,64.39622641509433
M6G,Fall,19,TORONTO CITY,44,16258.386363636364,10.877272727272727,66.61363636363636
