fsa,season,exploratory_peak_threshold_kwh
L4T,Fall,16207.3
L4T,Spring,14568.322499999998
L4T,Summer,23822.374999999993
L4T,Winter,15546.222499999996
M5R,Fall,9800.822499999998
M5R,Spring,10006.994999999999
M5R,Summer,13102.3525
M5R,Winter,12488.2125
M5S,Fall,5295.3075
M5S,Spring,5386.405
M5S,Summer,6356.262499999999
M5S,Winter,6583.994999999999
M6G,Fall,14973.61
M6G,Spring,15102.6375
M6G,Summer,21037.005
M6G,Winter,17807.224999999995
M9R,Fall,7830.489999999998
M9R,Spring,7050.0075
M9R,Summer,12841.0225
M9R,Winter,7968.4
M9W,Fall,18070.0425
M9W,Spring,16961.9425
M9W,Summer,26843.327499999996
M9W,Winter,18704.164999999997
