fsa,date_analysis,daily_total_kwh,daily_mean_kwh,maximum_hourly_kwh,mean_temperature_c
M9W,2025-06-24,652911.7,27204.654166666664,33712.2,29.95
M9W,2025-06-23,640718.1,26696.587499999998,33203.0,29.945833333333336
M9W,2025-08-11,577356.1,24056.504166666666,32007.9,27.84166666666667
M9W,2025-07-29,576470.2,24019.591666666664,31112.8,26.7375
M9W,2025-06-25,573102.4,23879.266666666666,30101.1,26.28333333333333
M9W,2025-07-28,571828.0,23826.166666666668,31479.300000000003,27.425
M9W,2025-07-06,568133.1,23672.212499999998,30855.1,29.087500000000002
M9W,2025-08-12,568041.0,23668.375,31481.4,27.0125
M9W,2025-06-22,565658.0,23569.083333333332,31248.5,29.858333333333334
M9W,2025-07-12,561707.7,23404.4875,30235.6,28.108333333333334
M9W,2025-07-07,554856.8,23119.033333333336,29024.0,25.825
M9W,2025-07-16,553607.1,23066.962499999998,30583.0,26.641666666666666
M9W,2025-08-10,550025.4,22917.725000000002,30035.100000000002,27.40833333333333
L4T,2025-06-24,548344.2,22847.675,27521.6,29.95
L4T,2025-06-23,547831.9,22826.329166666666,27578.800000000003,29.945833333333336
M9W,2023-07-05,539093.1,22462.212499999998,29045.300000000003,27.270833333333332
M9W,2023-09-05,537415.2,22392.3,29812.199999999997,26.554166666666664
M9W,2024-06-19,537003.9,22375.162500000002,30178.2,27.491666666666664
M9W,2023-09-06,536599.1,22358.295833333334,29740.499999999996,26.1125
M9W,2025-07-13,536559.3,22356.6375,28699.0,26.59166666666667
