fsa,timestamp,total_consumption_kwh,Temp (°C),Rel Hum (%),season,hour,weekday_name,is_weekend,is_public_holiday,assigned_station_name
M9W,2025-06-24 14:00:00,33712.2,34.0,47.0,Summer,14,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-24 15:00:00,33617.200000000004,34.8,43.0,Summer,15,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-24 13:00:00,33566.5,34.7,44.0,Summer,13,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-23 16:00:00,33203.0,35.8,39.0,Summer,16,Monday,0,0,TORONTO INTL A
M9W,2025-06-23 15:00:00,33183.9,35.7,37.0,Summer,15,Monday,0,0,TORONTO INTL A
M9W,2025-06-24 12:00:00,32941.0,34.4,47.0,Summer,12,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-23 17:00:00,32709.0,35.2,36.0,Summer,17,Monday,0,0,TORONTO INTL A
M9W,2025-06-23 14:00:00,32661.299999999996,35.2,42.0,Summer,14,Monday,0,0,TORONTO INTL A
M9W,2025-06-24 16:00:00,32556.8,34.3,44.0,Summer,16,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-23 18:00:00,32295.9,33.6,49.0,Summer,18,Monday,0,0,TORONTO INTL A
M9W,2025-06-24 11:00:00,32288.399999999998,33.7,48.0,Summer,11,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-24 17:00:00,32109.1,33.7,45.0,Summer,17,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-23 13:00:00,32059.3,34.8,45.0,Summer,13,Monday,0,0,TORONTO INTL A
M9W,2025-08-11 14:00:00,32007.9,32.3,47.0,Summer,14,Monday,0,0,TORONTO INTL A
M9W,2025-06-23 12:00:00,31766.7,34.4,46.0,Summer,12,Monday,0,0,TORONTO INTL A
M9W,2025-06-23 19:00:00,31603.4,32.5,52.0,Summer,19,Monday,0,0,TORONTO INTL A
M9W,2025-07-24 16:00:00,31498.5,33.2,54.0,Summer,16,Thursday,0,0,TORONTO INTL A
M9W,2025-08-12 14:00:00,31481.4,32.2,49.0,Summer,14,Tuesday,0,0,TORONTO INTL A
M9W,2025-07-28 15:00:00,31479.300000000003,32.9,42.0,Summer,15,Monday,0,0,TORONTO INTL A
M9W,2025-07-24 15:00:00,31437.100000000002,32.3,57.0,Summer,15,Thursday,0,0,TORONTO INTL A
M9W,2025-06-24 18:00:00,31373.6,32.4,46.0,Summer,18,Tuesday,0,0,TORONTO INTL A
M9W,2025-08-11 13:00:00,31341.5,31.6,50.0,Summer,13,Monday,0,0,TORONTO INTL A
M9W,2025-08-12 13:00:00,31335.699999999997,33.8,45.0,Summer,13,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-22 16:00:00,31248.5,34.5,53.0,Summer,16,Sunday,1,0,TORONTO INTL A
M9W,2025-08-11 15:00:00,31143.5,31.1,48.0,Summer,15,Monday,0,0,TORONTO INTL A
M9W,2025-07-29 14:00:00,31112.8,30.5,49.0,Summer,14,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-24 10:00:00,31054.5,32.8,53.0,Summer,10,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-22 17:00:00,31034.9,34.0,53.0,Summer,17,Sunday,1,0,TORONTO INTL A
M9W,2025-07-29 15:00:00,31008.899999999998,30.7,46.0,Summer,15,Tuesday,0,0,TORONTO INTL A
M9W,2025-06-23 20:00:00,30996.5,30.9,57.0,Summer,20,Monday,0,0,TORONTO INTL A
M9W,2025-06-23 11:00:00,30961.800000000003,33.2,54.0,Summer,11,Monday,0,0,TORONTO INTL A
M9W,2025-07-28 14:00:00,30946.7,31.7,48.0,Summer,14,Monday,0,0,TORONTO INTL A
M9W,2025-07-28 16:00:00,30883.0,32.8,44.0,Summer,16,Monday,0,0,TORONTO INTL A
M9W,2025-07-06 16:00:00,30855.1,34.3,34.0,Summer,16,Sunday,1,0,TORONTO INTL A
M9W,2025-06-22 15:00:00,30841.100000000002,34.2,57.0,Summer,15,Sunday,1,0,TORONTO INTL A
M9W,2025-07-24 14:00:00,30798.7,32.0,60.0,Summer,14,Thursday,0,0,TORONTO INTL A
M9W,2025-06-22 18:00:00,30697.4,33.6,53.0,Summer,18,Sunday,1,0,TORONTO INTL A
M9W,2025-08-11 16:00:00,30684.6,31.8,45.0,Summer,16,Monday,0,0,TORONTO INTL A
M9W,2025-07-06 15:00:00,30670.4,33.9,32.0,Summer,15,Sunday,1,0,TORONTO INTL A
M9W,2025-07-16 15:00:00,30583.0,30.9,48.0,Summer,15,Wednesday,0,0,TORONTO INTL A
M9W,2025-07-24 17:00:00,30582.399999999998,32.7,53.0,Summer,17,Thursday,0,0,TORONTO INTL A
M9W,2025-07-06 17:00:00,30507.0,33.2,38.0,Summer,17,Sunday,1,0,TORONTO INTL A
M9W,2025-08-11 12:00:00,30500.300000000003,30.0,55.0,Summer,12,Monday,0,0,TORONTO INTL A
M9W,2025-07-29 16:00:00,30491.2,31.7,43.0,Summer,16,Tuesday,0,0,TORONTO INTL A
M9W,2025-08-12 12:00:00,30397.199999999997,32.0,53.0,Summer,12,Tuesday,0,0,TORONTO INTL A
M9W,2025-07-29 13:00:00,30326.7,30.7,49.0,Summer,13,Tuesday,0,0,TORONTO INTL A
M9W,2025-07-16 14:00:00,30315.500000000004,32.4,45.0,Summer,14,Wednesday,0,0,TORONTO INTL A
M9W,2025-07-06 14:00:00,30267.700000000004,34.0,31.0,Summer,14,Sunday,1,0,TORONTO INTL A
M9W,2025-07-28 17:00:00,30260.1,32.1,47.0,Summer,17,Monday,0,0,TORONTO INTL A
M9W,2025-07-28 13:00:00,30248.9,32.5,44.0,Summer,13,Monday,0,0,TORONTO INTL A
