hour,total_observations,peak_observations,peak_rate_pct
0,10956,4,0.03650967506389193
1,10956,0,0.0
2,10956,0,0.0
3,10956,0,0.0
4,10956,0,0.0
5,10956,0,0.0
6,10956,0,0.0
7,10956,1,0.009127418765972983
8,10956,15,0.13691128148959475
9,10956,33,0.30120481927710846
10,10956,77,0.7028112449799196
11,10956,182,1.661190215407083
12,10956,269,2.4552756480467326
13,10956,313,2.856882073749544
14,10956,342,3.12157721796276
15,10956,428,3.9065352318364366
16,10956,574,5.239138371668492
17,10956,961,8.771449434100036
18,10956,1226,11.190215407082876
19,10956,1077,9.830230010952903
20,10956,679,6.197517342095655
21,10956,292,2.665206279664111
22,10956,82,0.7484483388097846
23,10956,21,0.19167579408543264
