month,month_name,total_observations,peak_observations,peak_rate_pct
1,January,22320,785,3.5170250896057347
2,February,20304,379,1.8666272655634357
3,March,22320,1033,4.628136200716846
4,April,21600,48,0.2222222222222222
5,May,22320,575,2.576164874551971
6,June,21600,398,1.8425925925925926
7,July,22320,790,3.5394265232974913
8,August,22320,468,2.0967741935483875
9,September,21600,993,4.597222222222222
10,October,22320,141,0.6317204301075269
11,November,21600,504,2.3333333333333335
12,December,22320,462,2.0698924731182795
