fsa,temperature_extreme,count,mean_consumption_kwh,median_consumption_kwh,maximum_consumption_kwh,mean_temperature_c
L4T,coldest_1_percent,576,12095.578993055555,11606.349999999999,17348.1,-14.445138888888888
L4T,hottest_1_percent,543,23175.31123388582,23573.6,27796.600000000002,30.942357274401473
L4T,non_extreme,42699,11464.264526101313,11123.0,25855.000000000004,9.990461134921192
M5R,coldest_1_percent,326,10345.55644171779,10198.2,14039.3,-14.290184049079755
M5R,hottest_1_percent,334,13139.100299401198,13167.4,16999.0,30.79131736526946
M5R,non_extreme,43123,7599.309305938826,7423.400000000001,15302.1,10.523286877072561
M5S,coldest_1_percent,326,5509.378527607361,5398.6,7438.5,-14.290184049079755
M5S,hottest_1_percent,334,6274.352095808384,6294.9,7533.799999999999,30.79131736526946
M5S,non_extreme,43123,4081.5310321638103,4025.2999999999997,7622.4,10.523286877072561
M6G,coldest_1_percent,326,14255.247546012271,14069.75,20236.4,-14.290184049079755
M6G,hottest_1_percent,334,20833.965269461078,20941.85,27460.100000000002,30.79131736526946
M6G,non_extreme,43123,11394.549537369849,11189.2,24579.0,10.523286877072561
M9R,coldest_1_percent,576,5667.550347222223,5468.6,9005.7,-14.445138888888888
M9R,hottest_1_percent,543,12181.298342541437,12405.6,16243.6,30.942357274401473
M9R,non_extreme,42699,5455.7360406566895,5182.400000000001,14652.3,9.990461134921192
M9W,coldest_1_percent,576,11746.207465277777,11112.4,20741.6,-14.445138888888888
M9W,hottest_1_percent,543,23246.62246777164,22521.7,33712.2,30.942357274401473
M9W,non_extreme,42699,12206.375753530529,11847.5,30101.1,9.990461134921192
