feature_name,feature_family,source_columns,description,forecasting_candidate,peak_risk_candidate,computation_scope,leakage_risk
fsa,spatial,fsa,Forward Sortation Area identifier.,True,True,static_dataset,none
timestamp,traceability,timestamp,"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
total_consumption_kwh,target,total_consumption_kwh,Observed electricity consumption target.,False,False,target_only,target_only
reported_premise_count,operational_exogenous,reported_premise_count,"Number of premises represented in the hourly consumption record. Potential predictor, but its availability at forecast time must be confirmed before use in production forecasting.",True,True,availability_review,none
source_segment_count,existing,source_segment_count,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
customer_type_count,existing,customer_type_count,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
price_plan_count,existing,price_plan_count,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
timestamp_utc,traceability,timestamp_utc,"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
timestamp_toronto,traceability,timestamp_toronto,"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
date,traceability,date,"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
year,existing,year,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
quarter,existing,quarter,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
month,existing,month,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
week_of_year,existing,week_of_year,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
day_of_year,existing,day_of_year,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
day_of_month,existing,day_of_month,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
hour,existing,hour,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
hour_group,existing,hour_group,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
weekday,existing,weekday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_weekend,existing,is_weekend,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_workday,existing,is_workday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_monday,existing,is_monday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_friday,existing,is_friday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
season,existing,season,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_business_hour,existing,is_business_hour,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_peak_hour_window,existing,is_peak_hour_window,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_month_start,existing,is_month_start,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_month_end,existing,is_month_end,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_year_start,existing,is_year_start,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_year_end,existing,is_year_end,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_public_holiday,existing,is_public_holiday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
holiday_name,existing,holiday_name,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_day_before_holiday,existing,is_day_before_holiday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_day_after_holiday,existing,is_day_after_holiday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
days_to_holiday,existing,days_to_holiday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
days_after_holiday,existing,days_after_holiday,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_long_weekend,existing,is_long_weekend,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_daylight_saving_time,existing,is_daylight_saving_time,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_dst_transition_day,existing,is_dst_transition_day,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_spring_forward_day,existing,is_spring_forward_day,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
is_fall_back_day,existing,is_fall_back_day,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
utc_offset_hours,existing,utc_offset_hours,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
date_index,existing,date_index,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
hour_sin,existing,hour_sin,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
hour_cos,existing,hour_cos,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
weekday_sin,existing,weekday_sin,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
weekday_cos,existing,weekday_cos,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
month_sin,existing,month_sin,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
month_cos,existing,month_cos,Existing cleaned predictor retained for preliminary modeling review.,True,True,static_dataset,none
assigned_climate_id,traceability,assigned_climate_id,"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
assigned_station_name,traceability,assigned_station_name,"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
Longitude (x),traceability,Longitude (x),"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
Latitude (y),traceability,Latitude (y),"Retained for audit, geographic reference, or alignment, but excluded from the initial predictor set.",False,False,static_dataset,none
