index,total_consumption_kwh,reported_premise_count,source_segment_count,customer_type_count,price_plan_count,year,quarter,month,week_of_year,day_of_year,day_of_month,hour,weekday,is_weekend,is_workday,is_monday,is_friday,is_business_hour,is_peak_hour_window,is_month_start,is_month_end,is_year_start,is_year_end,is_public_holiday,is_day_before_holiday,is_day_after_holiday,days_to_holiday,days_after_holiday,is_long_weekend,is_daylight_saving_time,is_dst_transition_day,is_spring_forward_day,is_fall_back_day,utc_offset_hours,date_index,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,assigned_climate_id,Longitude (x),Latitude (y),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,day_of_year_sin,day_of_year_cos,total_consumption_kwh_lag_1h,total_consumption_kwh_lag_2h,total_consumption_kwh_lag_3h,total_consumption_kwh_lag_24h,total_consumption_kwh_lag_48h,total_consumption_kwh_lag_168h,total_consumption_kwh_rolling_mean_3h,total_consumption_kwh_rolling_std_3h,total_consumption_kwh_rolling_min_3h,total_consumption_kwh_rolling_max_3h,total_consumption_kwh_rolling_mean_6h,total_consumption_kwh_rolling_std_6h,total_consumption_kwh_rolling_min_6h,total_consumption_kwh_rolling_max_6h,total_consumption_kwh_rolling_mean_24h,total_consumption_kwh_rolling_std_24h,total_consumption_kwh_rolling_min_24h,total_consumption_kwh_rolling_max_24h,total_consumption_kwh_rolling_mean_168h,total_consumption_kwh_rolling_std_168h,total_consumption_kwh_rolling_min_168h,total_consumption_kwh_rolling_max_168h,temperature_change_1h,temperature_change_24h,humidity_change_1h,pressure_change_1h,temperature_rolling_mean_6h,temperature_rolling_mean_24h,humidity_rolling_mean_6h,humidity_rolling_mean_24h,heating_degree_c,cooling_degree_c,temperature_x_hour,temperature_x_weekend
total_consumption_kwh,1.0,0.6644773484095802,0.4910557025069659,0.4777998691923064,0.32311630263454616,0.14433385563670087,-0.039324757588092354,-0.03981269858373032,-0.04052935701371377,-0.03859080826688044,0.007981063765257016,0.29896162133727666,0.011617383278027709,0.023679443800922725,-0.020476529480413574,0.002823725756743075,-0.01475069828293851,0.12569466012251354,0.17166615654026124,-0.005736538996006841,-0.0039013965281733736,-0.001997762064727023,0.004942977043300073,-0.0064836869591395185,-0.004384179159178931,-0.002610409625588452,-0.00377934594495435,0.04487508280454533,-0.013561430972139927,-0.07260660703333292,-0.0043660098470494095,0.006249494482311966,-0.012415482236967987,-0.07260660703330535,0.13367949036020796,-0.30919356736393494,-0.19829611053994384,-0.014644437419250776,0.01986388988273674,-0.011356282742110476,-0.009520767016579439,0.24108334952102162,-0.24108334954173688,0.2410833495395747,0.08093054978015833,0.038859984034224075,-0.10544122697990314,0.0029630335962950224,-0.01978633755430343,0.11168593999976256,0.0027846100651827883,-0.1096960914504263,0.3780955663261187,-0.07327438564725394,-0.008264743611608333,-0.013702927963371084,0.9902029928619558,0.9636432125024876,0.9247224349210392,0.9704159106553524,0.9397173560824088,0.9070244623479703,0.9655447082085895,0.37131917649845725,0.9649347675951704,0.9610970216877913,0.9151198509310163,0.3832756493879786,0.9155840260780949,0.9030612844693562,0.883093925667637,0.7699751892820247,0.8610013595928887,0.8808495816242796,0.8508625981862072,0.7209754168228827,0.8101062564083636,0.8255544638774784,-0.003023754061450459,0.0038336588046389303,-0.0016491476538546144,-0.01712877949107997,0.06134453696394063,0.016165717322028594,-0.059479499684187066,0.055154000965022335,0.012479945755808188,0.3536313485314321,0.2035993352138836,0.04280825395483425
reported_premise_count,0.6644773484095802,1.0,0.31078092052892836,0.3372688491089223,0.1674897729764197,0.07193197245694673,0.001633059978062835,0.0023591646790009258,0.0016450128592428565,0.0025210745926399864,0.000968408006552058,0.0001874409858650045,-0.00022776489642053417,-0.00024741157777905865,2.934452610591596e-05,-5.867609270980137e-06,-0.00016365641518672442,0.0003104798007494432,-9.027242259726429e-05,-0.00031706967804940813,0.00017913461614743544,-0.0005144941973168167,0.0020964161042723085,2.1951468511236056e-06,0.0008329174022018443,2.4381314997190323e-06,-0.003238685910732386,0.002096457242059705,0.0001666338634877895,-0.004122533753322465,-1.5225466045642701e-05,0.00011666282955346851,-0.00013816530904522693,-0.004122533753306589,0.07096214847211971,-0.00021114173813605315,-0.00015469396492515144,0.00035870728516388393,6.54048229417909e-05,0.002478381433451225,0.0035654603639731666,-0.15910728154727208,0.15910728144712916,-0.1591072814619532,0.001295214080198557,-0.0022902517133870596,-0.012780694519756358,0.00035880265512663737,-0.0025871848413008113,0.0010665367138716767,-0.004337695805062345,0.06277483711566388,-0.013448580157035218,0.014305313027780268,0.0016949753406151505,0.004123238968303687,0.6644644228076941,0.6644669538505411,0.664463007217737,0.6643241953779204,0.6642463431471154,0.6638123878831768,0.6686326948336571,0.34130626039577544,0.6617368575040189,0.6738930346781292,0.6804444409343607,0.3861301608968281,0.667095156189617,0.6936535705499878,0.7471044338085487,0.5608283206822563,0.7583084210584409,0.723267632404218,0.7663913462046663,0.5508075585036067,0.7781755131418671,0.7042281623903944,1.2396637037378589e-05,0.00013316545974929062,-3.616971051649019e-05,-0.00014041061110180668,0.0012303655058930332,0.0011098348726224234,-0.01349642953720051,-0.016721565951233103,-0.0031204308081428556,-0.005150194804549196,0.00015897527458836534,0.0003781262600895264
source_segment_count,0.4910557025069659,0.31078092052892836,1.0,0.8547924829671245,0.8662850824404398,0.3746582733945038,0.0493768593242884,0.053109047888383686,0.048533654879377774,0.053638033175332646,0.0042624612906699616,0.0036484849785052074,-0.0020390678933696147,-0.0015668605612112585,0.00011691290456095216,0.0008238705561451492,-0.0014403496611387384,0.0055135122720798005,-0.00221062213691341,-0.0005514968068211645,0.001866256310193009,-0.003642180167289429,0.011204024956178307,-2.3643369132640897e-05,0.004209320696534353,-0.0004366154731001111,-0.006173237621325482,0.0205750544005178,-0.0037711512282146884,-0.01726194621848747,0.0004938645120640715,-0.0020990262297247114,0.002796496606687207,-0.017261946218486975,0.3777991261088976,-0.004367852490081746,-0.004257372404235533,0.002169403653236211,0.0008306064798050397,-0.02669976552980507,0.02862345853561379,0.6378176555437556,-0.6378176556139581,0.6378176556069887,-0.025595433137861306,0.0022906861135060914,0.0798443444712692,0.00041120550938385345,-0.010597095073348871,0.01707271587714778,-0.013981472820210337,-0.2771320389297884,0.05033209995942276,0.016331746048016807,-0.03260337723879005,0.021132380308894534,0.4907778146881786,0.49085165380408835,0.49078717788122045,0.49057672679422676,0.49143617483151353,0.49307027907137724,0.4938844423879949,0.2831956436811334,0.4858589026018865,0.5003575363491678,0.5021193006776048,0.32131023408054615,0.48328611172763836,0.5179645071815083,0.5505493508366938,0.5020336762443123,0.5213584822355156,0.5494256583257748,0.5668665141754012,0.4935216929360354,0.5536368714892076,0.5491193094002021,0.0020205103385633324,-0.00019021242669703577,-0.001753831775590168,-0.0019270928382384442,-0.026879205057427708,-0.028679210394298656,0.08723661620840671,0.11089136859117164,0.030508050980831022,0.00033708112357476645,-0.016246344274774446,-0.010419124517459693
customer_type_count,0.4777998691923064,0.3372688491089223,0.8547924829671245,1.0,0.6262949607513414,0.017856620452581726,0.015619016860199455,0.018700231969340435,0.014959749076160784,0.018650412479057278,0.00045295559574260954,-0.0007477240315246139,-0.001226810617149321,-0.0007696094598756107,-0.00032627284503271357,0.0006950810966162579,-0.0005777471896757415,0.000619583645213463,-0.00024678579487347977,-0.00023987767961007942,-1.2690624130041134e-05,-0.0005848749578611345,0.006855345696223885,0.002858146776700485,0.005264082589346831,0.0029082704394639398,-0.010981646916596205,0.014027833017423864,0.003142273863080968,-0.01643701627041147,-0.00082827599629495,-0.0005848749578612993,-0.0005848749578618663,-0.016437016270418117,0.021232584149458122,0.000716791661949251,-0.00047606335014091863,0.001037267178279958,0.0008151237375820348,0.0004622429336346893,0.016785826966527622,0.6970030117775528,-0.6970030118208185,0.697003011817654,-0.033700212008083055,-0.008541013824303154,0.07778055984777495,0.0013883315805620444,0.0024198231308343258,0.001638836697943683,-0.0012030683219267444,-0.2959940560776314,0.05017073822435685,0.0059776860033330485,-0.003909013931404887,0.01613433191696368,0.47774833283659895,0.4777200931745705,0.47771003789349414,0.4776866479190546,0.47757988411447616,0.47682641108499363,0.4807249790461366,0.3121881429157245,0.4696831476398931,0.4901470422497915,0.4892480661145441,0.3545064389676956,0.46330051820169615,0.5122918184840113,0.5374481812780895,0.5421724109828604,0.48597133344521837,0.5565271804076939,0.5512772983607636,0.534849910727278,0.5111097218588819,0.5636363356765473,0.0005858551421946427,-0.001040970134864088,-0.0005266922474497641,-0.00045256416107860095,-0.033991233799325796,-0.034383910618614004,0.08308502189142489,0.10336766614724037,0.040096383277575025,0.00020932279828286224,-0.022906823607232705,-0.014417993924582631
price_plan_count,0.32311630263454616,0.1674897729764197,0.8662850824404398,0.6262949607513414,1.0,0.4696635743464559,0.09057662176229135,0.09510698714082652,0.08872042470224559,0.09554117293499725,0.003152832371965803,0.005457671557363957,-0.003718923521064256,-0.0031458803973699483,0.0014330028734720831,0.0012159369555413085,-0.002152152768356372,0.007990042465276886,-0.006231314360332004,-4.1526613595051506e-05,0.002162763980113695,-0.0058395638220690195,0.011330391454155356,-0.0023434099467397372,0.0026819653791171263,-0.002708154930067941,0.0022815930602166257,0.033856365284186944,-0.01185281354909995,-0.021492139181776226,0.0009594470770478113,-0.005588907540664314,0.0069439065295722425,-0.021492139181783852,0.4793171481272812,-0.0062326137481713215,-0.0049366263035962345,0.004187167919279956,0.0010447097972586812,-0.061466253443786124,0.0426469107061788,0.5389134562809178,-0.538913456395473,0.5389134563776942,-0.019892974182637004,0.004021294495134649,0.06492798000749413,-0.0011053923706398692,-0.0031083097686712574,0.02629454053908261,-0.0005126458879136931,-0.22763506785627222,0.06350376676634634,-0.04791162663132436,-0.07001879362327816,0.026036725145726164,0.32292183457700074,0.3234864414675692,0.32392129723210134,0.32208578124358006,0.3236173911847105,0.32617699686694485,0.3254714489130843,0.1826818318033964,0.3205076421228347,0.32937627424097,0.3311329812950539,0.20773882747101122,0.31881702631889225,0.34051344372045256,0.3622355972360079,0.32723942272925394,0.3452783894642558,0.3595856136063243,0.3747441699488259,0.32469529799635954,0.37101643540128004,0.3609922219201876,0.0019450171751956421,0.00011658000618260754,-0.0022319372099881994,-0.0023095905627958163,-0.02164767868351863,-0.024440095528652797,0.0724633807495836,0.09382027413961365,0.026509003977522372,0.009371348264720691,-0.010874773167058828,-0.0076853950919064315
year,0.14433385563670087,0.07193197245694673,0.3746582733945038,0.017856620452581726,0.4696635743464559,1.0,-0.0005231229716168836,-0.0005080291118811764,-0.004745561758364663,0.0006719188613120957,0.0005841665086367359,-6.299549955584144e-16,-0.002129548482501297,-0.0011022186999460216,0.00025924501260722615,0.0009483762003830511,-0.0023712434965513043,0.0004538794304289316,-2.4013587210067013e-16,-7.138780111615181e-05,-7.138780112657853e-05,-2.029428515628901e-05,-2.0294285193233147e-05,-0.012047511386451049,-0.01204751138646276,-0.012047511386450332,-0.004240825939414738,-0.004240825939367023,-0.018894113298693078,-0.0005296384600957088,-2.873993672301897e-05,-2.0294285163935585e-05,-2.0294285204023805e-05,-0.0005296384600955995,0.979795906288663,3.474259191240024e-16,8.94478154019396e-16,0.002505184253539957,0.0017543262312347202,0.0004779540452019281,0.00027448453936419786,-7.684237059665667e-11,3.332647881706951e-12,-1.6630939647899985e-11,-0.0071610336741467495,0.0041046236787287815,0.017969102966951544,0.0028634254690100003,-0.018627078551543004,0.018888275952830994,-0.004733233915396055,-0.0314041196393342,0.03175546434975515,-0.023703117344608664,7.0644546238267864e-06,0.0005477871401733762,0.14431696898888155,0.14430560239158635,0.14429977432590327,0.14401357548896632,0.1436520423089435,0.1429235510818217,0.14520796643225867,0.018071738067699728,0.14868317657025923,0.1415729437002037,0.147759687042833,0.02270905807553378,0.15605562627426314,0.1395194861934293,0.1621450454181387,0.04678750951814714,0.19770359794415468,0.12838631307693596,0.16559520946295586,0.04389646654107067,0.20588514051471685,0.11181592431915664,-0.0006198361493599474,-0.002418711809311611,-0.00028296994470547687,0.0007442931919576979,-0.00759500867244648,-0.009226702643027114,0.019661930842362674,0.026619690590293173,0.007329135280668568,-0.0038332715133188055,-0.006100266502978499,-0.0008625616650657028
quarter,-0.039324757588092354,0.001633059978062835,0.0493768593242884,0.015619016860199455,0.09057662176229135,-0.0005231229716168836,1.0,0.9713852997594618,0.9402944577046589,0.9682307814413255,0.012528279639261465,-2.1329315330300544e-16,0.001225348377659794,0.00046232141248011167,-0.004825039819545765,-0.0025030994667517574,0.0016991619119996531,-0.00019037798885282402,-1.3023466582630975e-18,-0.0014459015282391,-0.0014459015282390995,-0.070776664376597,0.06995457607893658,0.018417573091319906,0.048756308738365395,0.01841757309131991,0.16280307677123565,0.2454777212235441,0.01855028167490357,0.10239535515994308,-0.0005821039135236127,-0.07077666437659685,0.06995457607893638,0.10239535515994104,0.19313423476918753,-2.4055462311898524e-19,-8.007796120716421e-19,-0.000716260068380515,-0.0017048122593281848,-0.7851898562019304,0.21472865921115028,-1.3287033672847971e-11,2.1546826401865467e-14,-2.7700462107999824e-12,0.2937524425356677,0.3427222748136833,0.1232963965422382,0.005263050646144995,-0.028630576682116306,-0.09084780082795446,0.042812117946769236,0.033196726374913,-0.0330292499974567,0.22600166797073526,-0.8047062307868811,0.0017446028508930087,-0.03942382906537143,-0.039495258129765856,-0.03953786477376542,-0.04043899015460847,-0.041173874265956506,-0.044213243230690834,-0.039743091930569685,0.027021043438375626,-0.04370924731371379,-0.03605184457721843,-0.04053576945520822,0.03700189726099909,-0.05294235975491343,-0.03123661002961286,-0.04497148219477989,0.07793001058127061,-0.10293026244441518,-0.020428452759331688,-0.049025283684081454,0.08072142971617884,-0.11912630516841442,-0.006253964968640242,-0.004055521909398048,-0.02128946858893962,0.0009787470743953593,-0.003058954944965501,0.2971399280819867,0.30919861011038213,0.13038302031758547,0.15952765538544886,-0.3152239234470638,0.1097888559276045,0.2179828658385369,0.12897482149806289
month,-0.03981269858373032,0.0023591646790009258,0.053109047888383686,0.018700231969340435,0.09510698714082652,-0.0005080291118811764,0.9713852997594618,1.0,0.963311575553919,0.9965008919775141,0.010796043083750626,-1.956980293807193e-16,0.0007144279706492823,-0.0008057308631822393,-0.002471794223450939,-0.0025618049666710266,0.0019753976222147873,0.0003317895670601875,-8.45005217541461e-18,-0.0012586748479016532,-0.001258674847901672,-0.0839293415036116,0.08321370365220362,0.015080724196868213,0.06323334416655478,0.01508072419686825,0.05390991364573044,0.30470172055332845,0.01665441358408268,0.0811168931632092,0.010252414428626067,-0.05353969692982657,0.06801888136530944,0.08111689316320912,0.19880302758081925,-2.1592056683029184e-18,-3.324518751516914e-19,0.00037423793655516765,-0.0027456839893390066,-0.7609021034016028,0.20921728453655936,-1.3635303671653214e-11,-7.831409060106762e-16,-2.821690015754617e-12,0.28830315154201025,0.3353619821958725,0.11871722544012851,0.0047159362136475775,-0.033062222665551574,-0.08481336446270986,0.036385667752111536,0.03413060746153719,-0.08267892981208112,0.23420721478561882,-0.7807388862134402,0.003107406382618391,-0.03989011333085649,-0.03993187387692252,-0.03993911341592132,-0.04047919425350956,-0.04081727744378121,-0.04350401996205877,-0.04018249436720729,0.023805164698547893,-0.04387228582380857,-0.036750515971204135,-0.040935758219281526,0.03387283968427277,-0.05279926214036242,-0.03224110888682956,-0.04522677089386185,0.07388552948434565,-0.10072943717906405,-0.02151387892499396,-0.04820890881895392,0.08332847168220166,-0.11747769498204157,3.569110117334903e-05,-0.0035894880737984804,-0.017512906894173313,0.0013010006106400232,-0.0031078157872906228,0.2915298304507109,0.3029223537172799,0.12497496511410357,0.15142332104351497,-0.31123630919520756,0.10169649478091815,0.21379315947198296,0.12496376841796404
week_of_year,-0.04052935701371377,0.0016450128592428565,0.048533654879377774,0.014959749076160784,0.08872042470224559,-0.004745561758364663,0.9402944577046589,0.963311575553919,1.0,0.9641906058245973,0.060161023734131285,-2.030423689474111e-16,0.005672161665484381,0.004197208366424191,-0.011453519847975043,-0.0026943174154746047,0.0027091132277506417,-0.001728356217182418,-1.301134147359027e-17,0.004876367874071083,0.0028361681357212906,0.01843804685819919,0.01774205575630451,0.048932836736793404,0.06626260014424487,0.03790480547750409,0.05292890490687316,0.30236490987729714,0.059771112368747034,0.07851284655663435,0.0024559886722305643,-0.05742498324836376,0.06089350407379706,0.07851284655663145,0.18818982149092323,7.743965172159372e-19,9.327020731728182e-19,-0.0052891095634169955,-0.002519515969653082,-0.7510978939808638,0.21272868998861186,-1.2859363283035848e-11,9.094607625088782e-15,-2.7172530426891513e-12,0.28368718841201584,0.3346110668017972,0.12971680003695027,0.008325626979022087,-0.035921644946259976,-0.09551256986503472,0.026413518069414894,0.04718052247943999,-0.072311083513209,0.2477425896263967,-0.779369885230015,0.009207546742614538,-0.04057246161991804,-0.04060841729249199,-0.04062678432879447,-0.04050359674743282,-0.04038907082015101,-0.043392368588252746,-0.040847719874471944,0.024073807701372907,-0.04458207589691085,-0.037368278494808935,-0.04157066673623317,0.034221831567342036,-0.053518945251592,-0.03272069892143108,-0.04551351722673426,0.07546470146988918,-0.10147500097993205,-0.020909155372025104,-0.04754992585960627,0.08490393791232093,-0.11805631984760474,0.00047408389924896694,-0.003126271368083095,-0.02005678358792926,0.00194793066145569,-0.005554734659385246,0.28735369974664254,0.3005164737942099,0.13599966768078436,0.16317846110371637,-0.30640129522139375,0.09958598274255495,0.2102261014428568,0.1137542223374375
day_of_year,-0.03859080826688044,0.0025210745926399864,0.053638033175332646,0.018650412479057278,0.09554117293499725,0.0006719188613120957,0.9682307814413255,0.9965008919775141,0.9641906058245973,1.0,0.09404328684638533,-1.9529106089167815e-16,0.0009399804739503117,-0.0006014599168493857,-0.0017685498016681025,-0.002703514936380581,0.0019270831396019598,0.00024767342860291516,-6.791882512784539e-18,-0.026983985431137465,0.024477182919183233,-0.09051080240863646,0.09051058464810874,0.011993085177637764,0.06911537277456137,0.01356820734547669,0.04716674879890403,0.3081204010360955,0.015059424003008321,0.08123121268786013,0.004715878404438096,-0.05581752174811874,0.06247761861296142,0.08123121268785835,0.20065753306183534,1.4717291351261242e-19,1.3934302451785237e-18,0.0002809651143937194,-0.002538194954427888,-0.7590912344897496,0.2120283004667789,-1.3768269602375434e-11,1.7475503631508528e-14,-2.870439900946292e-12,0.2845193224902981,0.33343769065159495,0.12359009630566546,0.006211980357496049,-0.03527123550664435,-0.08325483174625124,0.034210013172409015,0.032690336933819224,-0.07799008345980965,0.23002689416198763,-0.7798312173147266,0.00637604579120411,-0.03865909509760923,-0.0386868331089769,-0.03867608206151327,-0.03901716316121765,-0.0392716870104258,-0.0422551844586861,-0.03892925718388763,0.023565032432494838,-0.04255201079999491,-0.03556040586743591,-0.03963315135215922,0.03359254189200816,-0.051315691383762456,-0.031081099513167745,-0.043689339268810676,0.07367731778669766,-0.09847303912472796,-0.02040325095928958,-0.04653389340842696,0.08298748949976152,-0.1152871167822437,0.00031947938422965407,-0.0036275006437722595,-0.01742647476836658,0.0012338919721144915,-0.004012729348674763,0.28770012087330504,0.2989350907417059,0.1302215137583998,0.15759459043952137,-0.3071445393826885,0.10038442504246732,0.2108418745678897,0.12338783883683607
