index,total_consumption_kwh,reported_premise_count,source_segment_count,customer_type_count,price_plan_count,year,quarter,month,week_of_year,day_of_year,day_of_month,hour,weekday,is_weekend,is_workday,is_monday,is_friday,is_business_hour,is_peak_hour_window,is_month_start,is_month_end,is_year_start,is_year_end,is_public_holiday,is_day_before_holiday,is_day_after_holiday,days_to_holiday,days_after_holiday,is_long_weekend,is_daylight_saving_time,is_dst_transition_day,is_spring_forward_day,is_fall_back_day,utc_offset_hours,date_index,hour_sin,hour_cos,weekday_sin,weekday_cos,month_sin,month_cos,assigned_climate_id,Longitude (x),Latitude (y),Temp (°C),Dew Point Temp (°C),Rel Hum (%),Precip. Amount (mm),Wind Dir (10s deg),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Hmdx,Wind Chill,day_of_year_sin,day_of_year_cos,total_consumption_kwh_lag_1h,total_consumption_kwh_lag_2h,total_consumption_kwh_lag_3h,total_consumption_kwh_lag_24h,total_consumption_kwh_lag_48h,total_consumption_kwh_lag_168h,total_consumption_kwh_rolling_mean_3h,total_consumption_kwh_rolling_std_3h,total_consumption_kwh_rolling_min_3h,total_consumption_kwh_rolling_max_3h,total_consumption_kwh_rolling_mean_6h,total_consumption_kwh_rolling_std_6h,total_consumption_kwh_rolling_min_6h,total_consumption_kwh_rolling_max_6h,total_consumption_kwh_rolling_mean_24h,total_consumption_kwh_rolling_std_24h,total_consumption_kwh_rolling_min_24h,total_consumption_kwh_rolling_max_24h,total_consumption_kwh_rolling_mean_168h,total_consumption_kwh_rolling_std_168h,total_consumption_kwh_rolling_min_168h,total_consumption_kwh_rolling_max_168h,temperature_change_1h,temperature_change_24h,humidity_change_1h,pressure_change_1h,temperature_rolling_mean_6h,temperature_rolling_mean_24h,humidity_rolling_mean_6h,humidity_rolling_mean_24h,heating_degree_c,cooling_degree_c,temperature_x_hour,temperature_x_weekend
total_consumption_kwh,1.0,0.6800691143158147,0.5075082572377162,0.5069532699892373,0.3291969304493824,0.12249293900660826,-0.04996440476851526,-0.047952553325418985,-0.048878093857819584,-0.04697485695193916,0.007751827897399735,0.30077480169203663,0.012941916568746402,0.02329661029693612,-0.02145174032144651,0.002397562255954955,-0.01146357414681672,0.11919992991846956,0.17950817717849138,-0.003779593698202907,-0.002322066428703441,0.001276759066424676,0.007206798382804604,-0.0021684371836054625,0.0006107460655739051,0.00011676514675419701,-0.0009898039934698795,0.04250764484990238,-0.007397039465139949,-0.1036714202765618,-0.00125552088579946,0.008947227864809598,-0.01072036321694033,-0.1036714202765618,0.11060905028929496,-0.2923626524732342,-0.20452408562227384,-0.01624082387821642,0.01246962127211587,0.026970940348510063,0.023562967154254648,0.23467965485643238,-0.23467965485643238,0.23467965485643238,0.032229068990984266,-0.00356791616498941,-0.09946570318790758,0.012150760639700935,-0.03003593254586486,0.12157502479246458,-0.014347881975875056,-0.11267642125539463,0.3140408377366171,-0.08026284381755165,0.01597397000660708,0.026404416035030562,0.9909249497900904,0.9664929526113277,0.9312393532972939,0.9802105862046209,0.9599242374561875,0.9417188418660614,0.9682154056743668,0.37016285338912547,0.969595720877303,0.9628410476110203,0.9232747466887239,0.3745801117874062,0.9338678761408742,0.9069630465720449,0.9017182299415085,0.8104255194219753,0.8903240044726406,0.8983095175683516,0.8812792520022515,0.7821774641066576,0.8615453504093288,0.8584689820308092,0.009701657335528167,-0.00022553792669803576,-0.010396552010822135,-0.01661389313840145,0.01628907455453699,-0.01855278015767191,-0.055259899983809084,0.05118002871830239,0.0012192570036695044,0.2064826726439107,0.10069376963213071,-0.03136775191998565
reported_premise_count,0.6800691143158147,1.0,0.34711653917819174,0.3679687383511695,0.24192855915699105,0.10036657196600117,-0.007482103128108955,-0.00456623393998432,-0.00608775521820947,-0.004280900442818973,0.0020612920248989667,0.001235255060589151,-0.0006051897898868549,-0.0006753803808423623,0.00016665447808180583,5.2656919837873674e-05,-0.00024041039261436136,0.0013414537726769839,-0.0003440907173335861,-0.0007717838924796252,0.0009273568450662832,1.2683058658861252e-05,0.005034687694562975,0.0007885343010424085,0.002483671107660348,0.0009808895426781355,-0.009095129599461975,0.0033843742176693278,0.0008161330450467678,-0.01599178351375926,0.0008714162892943291,0.0019472339845194025,-0.0007165582972834383,-0.01599178351375926,0.09747334261735821,-0.001178701601884455,-0.0009910974227385586,0.0008883531767567128,0.0003783617136527045,0.018089465511314663,0.012719520131838156,-0.13810360957212403,0.13810360957212403,-0.13810360957212403,-0.015248897336234983,-0.018891461909823593,-0.012308030535929545,0.0050360941346725505,0.000842600663884316,0.00795095105841428,-0.012500009810279931,0.05537793083554082,-0.015384342558567072,0.012948797615647618,0.016615299758419976,0.015508667256671613,0.6800279288447039,0.6800167626398328,0.6799295590564677,0.6798661495568876,0.6799223461770434,0.679858410231517,0.6834858716151457,0.3385117979426623,0.6807596466857188,0.6852330767580941,0.6926927919086399,0.4077822604949933,0.6880581503592761,0.6986155432807418,0.7315878356810324,0.6387386075130622,0.7358905389470609,0.7190571439840089,0.7394160317498553,0.6358314900632438,0.7452383328893712,0.7031665518663983,0.002016595928851799,0.0012249154646204233,-0.00025926956186443563,-7.682356204836616e-05,-0.015753964181564974,-0.016936921047719013,-0.012839902528956625,-0.015296166994921742,0.01457985953976718,-0.01287842886893013,-0.011335482220368613,-0.005257308922540412
source_segment_count,0.5075082572377162,0.34711653917819174,1.0,0.827252078979253,0.8518118703528075,0.39829819008648853,0.04962803452754558,0.0527910939154352,0.04850666385165264,0.053426586864972134,0.005494380770966664,0.004428107393842442,-0.001772893693130147,-0.001290095491364033,-0.00011457463758369923,0.0007718078253596194,-0.0013672142507164023,0.005230774272116196,-0.001681606012938541,-0.000633256233518801,0.0020190078497845,-0.0031036091472271517,0.011468629744609844,-5.0651158263279686e-05,0.004215564395284429,-0.00018618714146585854,-0.006203087555236217,0.015256193806882184,-0.003610769349985713,-0.018003561646014337,0.00019023162316590886,-0.0024073841866303946,0.002676042733010452,-0.018003561646014337,0.4008938563901627,-0.004665065902713919,-0.004456026904849927,0.0016865592457208022,0.0011911126850181143,-0.030380197272417305,0.029001293665070618,0.6299295857542317,-0.6299295857542317,0.6299295857542317,-0.025028944274427666,0.002717740197102924,0.07539903045518512,-0.0018206990439412498,-0.013408573541282708,0.01172663278010207,-0.021797964316716125,-0.2784482321760697,0.03889014683257324,0.007426574495628495,-0.032375835916117576,0.022630054268466898,0.5073053851292683,0.5072511923516366,0.5068788196550295,0.5068815259925492,0.5073151666580955,0.5079819444645173,0.5105339441320836,0.2750550201345658,0.5027772698376013,0.5168327925600057,0.5192127390503379,0.32197291539659534,0.5008280839811561,0.535613482114358,0.5670867206117323,0.5610451579476333,0.5265876364204385,0.5731489499546727,0.5800883729684359,0.5528598894115612,0.5579428330765394,0.5743344281030401,0.0004179512005824345,0.00041892546596388825,-0.003335499122828646,-0.0010716792489756288,-0.02612202419949244,-0.02899890117589615,0.08249719954329873,0.10190646815690908,0.02669605308664497,-0.008985492967474496,-0.02272183423827197,-0.016275769220595253
customer_type_count,0.5069532699892373,0.3679687383511695,0.827252078979253,1.0,0.6437066636315882,0.01786124869780557,0.015656879775555944,0.018729833202404764,0.014957447103085704,0.01865050283150229,0.0004470081478631672,-0.000747724031523717,-0.001226623130798417,-0.0007696094598730433,-0.0003262728450265371,0.0006950810966193004,-0.0005777471896741198,0.000619583645214511,-0.0002467857948713018,-0.0002398776796097421,-1.2690624128731169e-05,-0.0005848749578615705,0.006855345696224196,0.0028581467767008007,0.005264082589346272,0.002908270439464248,-0.011630090251366137,0.01012441005626205,0.0031422738630802545,-0.01643701627040735,-0.0008282759962953344,-0.0005848749578615705,-0.0005848749578615705,-0.01643701627040735,0.021232584149458198,0.0007300630340600433,-0.00042377756100018063,0.0010437459587143403,0.001038824313111942,-0.0012193409075821656,0.018974613455027683,0.6970030118199362,-0.6970030118199362,0.6970030118199362,-0.03346823567024165,-0.008485614525552078,0.07425020744479505,0.004659723986013147,0.003128137412282739,0.001180527677728357,-0.0031980576004096463,-0.30481295211611253,0.04497120424196844,0.007686662816587919,-0.0029660745906910585,0.017262107874356895,0.5068821551433124,0.506847354502467,0.5068362317672933,0.5068476580723342,0.5067507645938438,0.5059480300896703,0.5101479287355621,0.31709553565179877,0.4991042611075005,0.5195453967805121,0.5194610892422294,0.37541259306815405,0.4930373752678634,0.543110163846697,0.5639878187266435,0.6289791472336815,0.4997935562054741,0.5923377557331493,0.5753859336250546,0.6212864053301503,0.5244551915070303,0.6042298129615516,-0.001940263475131667,-0.0006150083197753017,-0.0018113234002890375,-0.000585609509174865,-0.033365132181875076,-0.0335601527287005,0.07974311239956368,0.09783945792029565,0.03601278571623862,-0.011184088038619934,-0.032753528662241876,-0.020099732432301932
price_plan_count,0.3291969304493824,0.24192855915699105,0.8518118703528075,0.6437066636315882,1.0,0.4583518890212015,0.08957902931863383,0.09409126324387175,0.08799353269763055,0.09445207950082816,0.0029658445832266857,0.005523643393425379,-0.003950518295233987,-0.003419009998000217,0.0018765324310963212,0.0013221999000463806,-0.0020959970265914934,0.008507953155202664,-0.005581463759668738,0.00023509015679414432,0.0019850682778637116,-0.005816735678706247,0.010515766179765731,-0.0026183925250108714,0.0021758726911762036,-0.0028748948821406147,0.00184674914778658,0.029991491396761934,-0.01183535397093698,-0.015986025249414598,0.0004412081667965832,-0.005907474010265126,0.0065305793739785034,-0.015986025249414598,0.46793782571803266,-0.005215856605782233,-0.005718568347819746,0.004298046657799886,0.001997321512500564,-0.06536378857179392,0.03153327625552043,0.5563648192154821,-0.5563648192154821,0.5563648192154821,-0.014636388392826799,0.009725207672586701,0.06116326536755114,-0.002481971862575314,-0.005960980041776542,0.02153578411890555,-0.0054119721060755,-0.23920249060450055,0.053742808496297687,-0.0662868615642704,-0.06706479717451296,0.019099500772300423,0.3289258751649823,0.32913035566900106,0.3289700263724867,0.3281996240600862,0.3291820448870346,0.3302631237265072,0.3312432834600605,0.1806810359984643,0.32568249393151805,0.3357275642750637,0.33672813528226364,0.21123682908600935,0.322926004917336,0.3481308564192597,0.36827657642857536,0.3736464262617717,0.3367335112757367,0.3754872864211448,0.3783029511498541,0.3742588207452772,0.35917606953839165,0.3822884410546502,2.025824721129014e-05,0.000979693387582139,-0.0027938457103618836,-0.0023672961005685696,-0.016368409307877207,-0.02020338117401584,0.0685690085300129,0.08512551011885001,0.017158515438760857,0.002375119510210109,-0.01566642604665515,-0.017818987053633648
year,0.12249293900660826,0.10036657196600117,0.39829819008648853,0.01786124869780557,0.4583518890212015,1.0,-0.000521631899705071,-0.0005068311151687533,-0.004679743436488525,0.0006703608018926102,0.0005843469675858328,0.0,-0.0021290974972205242,-0.0011030065124062417,0.000259209516615061,0.0009482463481123432,-0.002370615870280858,0.00045420384142955204,0.0,-7.137802665696359e-05,-7.137802665696359e-05,-2.0291506467996725e-05,-2.0291506467996725e-05,-0.012047174161898374,-0.012047174161898374,-0.012047174161898374,0.0010892596465916975,0.0010892596465916975,-0.018900796450113104,-0.000529565941663446,-2.8736001619154837e-05,-2.0291506467996725e-05,-2.0291506467996725e-05,-0.000529565941663446,0.979795970536975,0.0,0.0,0.002517507642902192,0.0023226135680551934,0.0003969839933764824,0.0002252104573449898,0.0,0.0,0.0,-0.00910843968637782,0.0018555077751311638,0.009328369223546044,-0.0009431432150961937,-0.020028238620487564,0.014006546457658552,-0.008311829423699325,-0.021657857982853832,0.024248957847336158,-0.04141884763880156,5.5098148100762485e-06,0.0006666875920192261,0.1224778390829581,0.1224695414040312,0.1224675378888043,0.12219137819269803,0.12185143831710352,0.12124383399385662,0.12332788896159086,0.0026001580690055213,0.12697507328705954,0.11983045872391818,0.1260189475060251,0.002032566928311353,0.13470522933215714,0.11886146143645722,0.14370687185454795,0.024782178275210374,0.175620306162767,0.11379274339340813,0.14604955279559273,0.02682488733188424,0.1852288718992347,0.09967222252073839,0.00030581430091871406,-0.0004458798191389574,-0.0011850011428995533,0.0018194387505873746,-0.009772390830682398,-0.013373717535660197,0.009736737761079013,0.009705856241398846,0.009840664521757194,-0.010396563772273914,-0.008934595575449887,-0.0075880847826590575
quarter,-0.04996440476851526,-0.007482103128108955,0.04962803452754558,0.015656879775555944,0.08957902931863383,-0.000521631899705071,1.0,0.971625998055936,0.9404253435858563,0.96823727105785,0.012448635970536411,0.0,0.0012281358523345337,0.000466654744519847,-0.0048572547052760096,-0.0025046774750090636,0.001696865339556324,-0.00019216239904137244,0.0,-0.001444599449692696,-0.001444599449692696,-0.07058459220356862,0.07012258396369071,0.018545406620562123,0.048856821308305085,0.018545406620562123,0.10556142122636937,0.19783501653053476,0.01865995667932843,0.09986634321754943,-0.0003271385875201856,-0.07058459220356862,0.07012258396369071,0.09986634321754943,0.19313678075048765,0.0,0.0,-0.0008556651216955637,-0.0019615432669121795,-0.7890491941366191,0.16729709867634215,0.0,0.0,0.0,0.28315577267712466,0.3299887128950151,0.12053121856584091,-0.0016729031433115997,-0.03376629213543693,-0.0830840918024717,0.03858791848845518,0.024705124322515322,-0.012793472459384427,0.24392830772017512,-0.773321870100357,0.0029967745752938666,-0.0500787079045346,-0.050158605601341534,-0.05020599177417907,-0.05133009801038616,-0.052359192310663154,-0.05787303818220477,-0.05041157783992032,0.020477124013501935,-0.05447864832941917,-0.04674630402575352,-0.05116216459753521,0.030053233404732184,-0.0629560088501676,-0.04251118013504458,-0.053426069982275594,0.06199453230784229,-0.10112059371734865,-0.03458103388424184,-0.057129490850383643,0.06194681414016252,-0.10816085879967512,-0.02664804145645018,-0.007410084380045977,-0.029650243452256458,0.0045714077348392645,-0.003116888738198219,0.2860223196010945,0.29691264781665616,0.12699286680807273,0.15373143395673772,-0.2869219952495109,0.1396027051046055,0.2582340908141551,0.14903429604935597
month,-0.047952553325418985,-0.00456623393998432,0.0527910939154352,0.018729833202404764,0.09409126324387175,-0.0005068311151687533,0.971625998055936,1.0,0.9635621401727722,0.996512031382739,0.010746621467319237,0.0,0.0007136378553933377,-0.0007995313489844847,-0.002531692106237439,-0.002546800902694782,0.001976377074781272,0.00032923668715235564,0.0,-0.0012574009672967714,-0.0012574009672967714,-0.08334562132335298,0.08334562132335298,0.015322448313823837,0.06332203376849725,0.015322448313823837,0.005289107150345339,0.25228780878891643,0.01684938850153759,0.07820797300188793,0.010136086038305334,-0.053818028370974186,0.06813292562998215,0.07820797300188793,0.19880630320969497,0.0,0.0,0.0002701617247963488,-0.0026865696283727095,-0.769763764611068,0.16065245138011985,0.0,0.0,0.0,0.27613824228853945,0.3216390975191769,0.11611358508760374,-0.0004000835608649932,-0.038549218920690596,-0.0799480125452807,0.03420842409398815,0.026278576749459194,-0.07636542413305715,0.2497896521581536,-0.7521112516754394,0.005469723978456514,-0.04804450811245405,-0.048097888931530976,-0.048117664669312825,-0.04892920492968431,-0.049580090215038085,-0.05481376147002465,-0.04833726937535304,0.018718075836783345,-0.052281647249414046,-0.04478980730085051,-0.04901342525109311,0.029267627699174042,-0.060702135667892704,-0.040565711947042254,-0.050804106918256035,0.06301347696749665,-0.09795483647474035,-0.03180953772128188,-0.05326013496788508,0.07048575337556207,-0.10660767970411567,-0.01610585557249607,-0.006304448350134169,-0.02545787898471032,0.005499170320810918,-0.0033494769470013975,0.2786386917587372,0.2872483276501207,0.12171008672005819,0.14575825314404584,-0.2822580594738423,0.13882746396526086,0.2500186564623764,0.14163704135374575
week_of_year,-0.048878093857819584,-0.00608775521820947,0.04850666385165264,0.014957447103085704,0.08799353269763055,-0.004679743436488525,0.9404253435858563,0.9635621401727722,1.0,0.9643438105627781,0.06038761986390534,0.0,0.0056261252059889655,0.004158092910895259,-0.011371291623939305,-0.0026764437275937163,0.002683865923177726,-0.0017122489775962702,0.0,0.004785661674229754,0.0028387542452495617,0.018065698870094075,0.017687880181561564,0.04880883491200109,0.06626054138076744,0.03777130574706467,0.0046557319938809755,0.24900551875165683,0.05960960647019785,0.0786610053247402,0.0024640523868870038,-0.05741849805987523,0.060898407033201,0.0786610053247402,0.18828394236773832,0.0,0.0,-0.005163176167884707,-0.003743455825580428,-0.7591820880894043,0.1597789061027824,0.0,0.0,0.0,0.27331420578077836,0.3218980999306949,0.12615134764976318,0.005140245828509943,-0.04043118802032816,-0.0874342092150848,0.027004555404394753,0.03588917157887886,-0.064830486905167,0.2590765295381908,-0.7492444228852297,0.008879101497930766,-0.0489488878882268,-0.04901202727993662,-0.04905860411006287,-0.04941978936703246,-0.04978389431164254,-0.05542937176144455,-0.04924751208615539,0.019104961332503702,-0.05320730284810832,-0.045675646470831686,-0.049929343672786994,0.02973765377905031,-0.06163273251988828,-0.041379046853011026,-0.051660587660130486,0.06459576238437814,-0.09901770707031994,-0.03178504390756906,-0.053518084219982325,0.07141665785654133,-0.10747766829938236,-0.016430504091102558,-0.0050663439000533045,-0.027992385633890345,0.005242415947077728,-0.0047099659332172795,0.2763199034364101,0.2870464270105889,0.13163371464019752,0.1559243111008612,-0.2793953886029828,0.13700203431040484,0.24842257178429014,0.13699787607326505
day_of_year,-0.04697485695193916,-0.004280900442818973,0.053426586864972134,0.01865050283150229,0.09445207950082816,0.0006703608018926102,0.96823727105785,0.996512031382739,0.9643438105627781,1.0,0.09400122201727797,0.0,0.000941802663211146,-0.0006001474114703841,-0.0017699470428568045,-0.002702676109264403,0.0019279386413698296,0.00024713295583286165,0.0,-0.026983699597759522,0.024465998037018245,-0.09051101945480154,0.09047125623922557,0.011993473408829537,0.06910310851503848,0.013568601248638295,-0.00174798114485899,0.2556855914210159,0.015059925909298026,0.08123434675687669,0.004716049578514096,-0.05581761386476778,0.06247795247374274,0.08123434675687669,0.20065609740874216,0.0,0.0,0.0002053021493679825,-0.002563437631840273,-0.7670810807199482,0.1600909666425718,0.0,0.0,0.0,0.27459851698722576,0.3214106906036303,0.11996196584897001,0.002704431706218383,-0.04091038285898392,-0.07874577953264164,0.032873213225879945,0.024744888695025655,-0.0695361098509946,0.23091938489070465,-0.7495642767197545,0.0057448592719166,-0.047058605766698444,-0.04709993873243062,-0.04710557202519057,-0.04779590244588453,-0.04841613194273102,-0.053838638739515006,-0.04733419823835864,0.018543014992740452,-0.05122807710338064,-0.04383268129191356,-0.04797377291938845,0.028890740091893782,-0.05953528463013321,-0.03962693261105993,-0.04955794231961584,0.06287647141050479,-0.09639203544821812,-0.030940063242785486,-0.05205268142813232,0.07038843316500577,-0.10538077702989256,-0.015761381988052107,-0.00588612672563745,-0.02531274887468471,0.00559393644457896,-0.004392326934933798,0.2771237406385079,0.2858262332572555,0.12589027426210064,0.15039238313340636,-0.28073807579877885,0.13827150068263966,0.24884094891889838,0.1407695516308935
