feature_1,feature_2,pearson_correlation,absolute_correlation
Longitude (x),Latitude (y),-1.0000000000000178,1.0000000000000178
assigned_climate_id,Longitude (x),-1.0000000000000058,1.0000000000000058
is_daylight_saving_time,utc_offset_hours,1.0000000000000004,1.0000000000000004
assigned_climate_id,Latitude (y),0.9999999999999907,0.9999999999999907
total_consumption_kwh_lag_2h,total_consumption_kwh_rolling_mean_3h,0.9997030304366831,0.9997030304366831
total_consumption_kwh_rolling_mean_3h,total_consumption_kwh_rolling_max_3h,0.9968169745057763,0.9968169745057763
month,day_of_year,0.9965008919775141,0.9965008919775141
total_consumption_kwh_rolling_mean_3h,total_consumption_kwh_rolling_min_3h,0.996479212617255,0.996479212617255
total_consumption_kwh_lag_2h,total_consumption_kwh_rolling_min_3h,0.9961579604362668,0.9961579604362668
total_consumption_kwh_lag_2h,total_consumption_kwh_rolling_max_3h,0.9961071806038021,0.9961071806038021
total_consumption_kwh_lag_3h,total_consumption_kwh_rolling_mean_6h,0.9954858848526535,0.9954858848526535
total_consumption_kwh_lag_1h,total_consumption_kwh_rolling_mean_3h,0.990794304236792,0.990794304236792
total_consumption_kwh_lag_3h,total_consumption_kwh_rolling_mean_3h,0.99079396847011,0.99079396847011
total_consumption_kwh_lag_1h,total_consumption_kwh_lag_2h,0.9902029192682035,0.9902029192682035
total_consumption_kwh_lag_2h,total_consumption_kwh_lag_3h,0.9902028430972086,0.9902028430972086
total_consumption_kwh_rolling_mean_24h,total_consumption_kwh_rolling_max_24h,0.989689998684763,0.989689998684763
total_consumption_kwh_lag_3h,total_consumption_kwh_rolling_max_3h,0.98907238953522,0.98907238953522
total_consumption_kwh_lag_1h,total_consumption_kwh_rolling_min_3h,0.9886368040539465,0.9886368040539465
total_consumption_kwh_rolling_min_3h,total_consumption_kwh_rolling_max_3h,0.9868529068623344,0.9868529068623344
total_consumption_kwh_lag_1h,total_consumption_kwh_rolling_max_3h,0.9866222323461072,0.9866222323461072
total_consumption_kwh_rolling_mean_6h,total_consumption_kwh_rolling_max_6h,0.9860082685824666,0.9860082685824666
total_consumption_kwh_lag_3h,total_consumption_kwh_rolling_min_3h,0.9860000191391186,0.9860000191391186
total_consumption_kwh_rolling_mean_6h,total_consumption_kwh_rolling_min_6h,0.9831192606592346,0.9831192606592346
total_consumption_kwh_rolling_max_3h,total_consumption_kwh_rolling_mean_6h,0.9830532733079621,0.9830532733079621
total_consumption_kwh_rolling_mean_3h,total_consumption_kwh_rolling_mean_6h,0.9826054059372865,0.9826054059372865
total_consumption_kwh_lag_2h,total_consumption_kwh_rolling_mean_6h,0.9808573554962577,0.9808573554962577
year,date_index,0.979795906288663,0.979795906288663
total_consumption_kwh_lag_3h,total_consumption_kwh_rolling_min_6h,0.9787409782321771,0.9787409782321771
Temp (°C),temperature_rolling_mean_6h,0.9775370338254499,0.9775370338254499
total_consumption_kwh_rolling_min_3h,total_consumption_kwh_rolling_mean_6h,0.9765563585332626,0.9765563585332626
total_consumption_kwh_rolling_min_3h,total_consumption_kwh_rolling_min_6h,0.9758136038854375,0.9758136038854375
total_consumption_kwh_lag_3h,total_consumption_kwh_rolling_max_6h,0.9753540753934234,0.9753540753934234
Temp (°C),heating_degree_c,-0.9751506391819245,0.9751506391819245
total_consumption_kwh_rolling_max_3h,total_consumption_kwh_rolling_max_6h,0.9728307525122869,0.9728307525122869
total_consumption_kwh_rolling_mean_3h,total_consumption_kwh_rolling_min_6h,0.9718985182175537,0.9718985182175537
quarter,month,0.9713852997594618,0.9713852997594618
total_consumption_kwh_rolling_mean_24h,total_consumption_kwh_rolling_min_24h,0.9707330349527996,0.9707330349527996
total_consumption_kwh_lag_24h,total_consumption_kwh_lag_48h,0.9703972769405118,0.9703972769405118
total_consumption_kwh_lag_2h,total_consumption_kwh_rolling_min_6h,0.970095319221578,0.970095319221578
temperature_rolling_mean_6h,temperature_rolling_mean_24h,0.9692298090849988,0.9692298090849988
quarter,day_of_year,0.9682307814413255,0.9682307814413255
total_consumption_kwh_rolling_mean_24h,total_consumption_kwh_rolling_mean_168h,0.9642913355930307,0.9642913355930307
week_of_year,day_of_year,0.9641906058245973,0.9641906058245973
total_consumption_kwh_rolling_mean_3h,total_consumption_kwh_rolling_max_6h,0.9636753887985242,0.9636753887985242
total_consumption_kwh_lag_1h,total_consumption_kwh_lag_3h,0.9636429677394217,0.9636429677394217
month,week_of_year,0.963311575553919,0.963311575553919
total_consumption_kwh_rolling_max_3h,total_consumption_kwh_rolling_min_6h,0.9632140602477115,0.9632140602477115
total_consumption_kwh_lag_1h,total_consumption_kwh_lag_24h,0.9623846847321645,0.9623846847321645
total_consumption_kwh_rolling_mean_168h,total_consumption_kwh_rolling_max_168h,0.9623049352401291,0.9623049352401291
temperature_rolling_mean_6h,heating_degree_c,-0.9613180135072694,0.9613180135072694
total_consumption_kwh_lag_2h,total_consumption_kwh_rolling_max_6h,0.9611238273968158,0.9611238273968158
month_sin,day_of_year_sin,0.9539933011184998,0.9539933011184998
month_cos,day_of_year_cos,0.9536275610860966,0.9536275610860966
total_consumption_kwh_lag_1h,total_consumption_kwh_rolling_mean_6h,0.9530902079695799,0.9530902079695799
Temp (°C),temperature_rolling_mean_24h,0.9526167397265269,0.9526167397265269
total_consumption_kwh_rolling_min_24h,total_consumption_kwh_rolling_min_168h,0.951642217453729,0.951642217453729
total_consumption_kwh_rolling_max_24h,total_consumption_kwh_rolling_mean_168h,0.9515368818224512,0.9515368818224512
