feature,vif
utc_offset_hours,inf
total_consumption_kwh_lag_1h,inf
total_consumption_kwh_lag_2h,inf
Temp (°C),inf
total_consumption_kwh_lag_3h,inf
total_consumption_kwh_rolling_mean_3h,inf
cooling_degree_c,inf
heating_degree_c,inf
is_fall_back_day,inf
is_spring_forward_day,inf
is_dst_transition_day,inf
is_daylight_saving_time,inf
date_index,5113594.283537158
year,4936553.119920104
day_of_year,155922.52706069415
total_consumption_kwh_rolling_max_3h,62438.0132360197
month,57942.87366063333
total_consumption_kwh_rolling_min_3h,53824.96168605443
total_consumption_kwh_rolling_max_6h,3408.260444944297
total_consumption_kwh_rolling_mean_6h,2790.8157710767205
total_consumption_kwh_rolling_min_6h,2248.0997731202897
total_consumption_kwh_rolling_std_3h,1542.4033866240243
total_consumption_kwh_rolling_mean_24h,529.8011746924753
day_of_month,411.9179956735631
total_consumption_kwh_rolling_min_24h,327.4032751024181
total_consumption_kwh_rolling_std_6h,321.6454468995366
total_consumption_kwh_rolling_max_24h,311.96850647738864
temperature_rolling_mean_6h,230.34208646482813
Dew Point Temp (°C),202.1542526546119
total_consumption_kwh_rolling_mean_168h,196.27753494986385
is_weekend,143.62103433055978
total_consumption_kwh_rolling_std_24h,120.8843348517622
total_consumption_kwh_rolling_max_168h,111.5606953973193
temperature_rolling_mean_24h,108.23929610395041
is_workday,97.76084968321781
total_consumption_kwh_rolling_std_168h,97.50216395424495
total_consumption_kwh_rolling_min_168h,92.95715699742485
day_of_year_cos,54.301085527478996
total_consumption_kwh_lag_24h,52.81752750024151
day_of_year_sin,51.258152521134285
month_sin,50.615011877711865
month_cos,47.07119891225276
Rel Hum (%),40.991112786278244
weekday_sin,35.64744198174361
week_of_year,27.759392691449317
total_consumption_kwh_lag_48h,27.683051533413742
quarter,27.48890049653824
weekday,17.70590657076571
source_segment_count,17.05510807596293
humidity_rolling_mean_6h,16.619887038448475
total_consumption_kwh_lag_168h,14.276038666229407
is_public_holiday,12.44330802337654
is_monday,11.40739408725397
is_friday,10.875042782104302
customer_type_count,7.934661705387393
hour_sin,7.7791502242762816
temperature_x_hour,7.306823032610764
price_plan_count,6.156083725646047
hour_cos,6.01882597544074
hour,5.836321776672668
weekday_cos,5.126714291493065
reported_premise_count,4.513223222330837
temperature_change_24h,4.289003652466376
temperature_change_1h,4.179797386479733
is_long_weekend,4.16980234289307
humidity_rolling_mean_24h,3.88711700908675
days_after_holiday,3.4476776688068376
days_to_holiday,3.4391089534367087
is_business_hour,3.0310554303362083
humidity_change_1h,2.9580863464002762
temperature_x_weekend,2.481005235386966
is_day_before_holiday,2.1913114724768388
is_peak_hour_window,2.0106311119166262
Stn Press (kPa),1.628426097868743
is_year_start,1.4199198621045155
is_year_end,1.416936760030497
pressure_change_1h,1.3958449845653174
is_day_after_holiday,1.2975037299086534
is_month_end,1.217806542237241
is_month_start,1.2143648746277664
