fold,horizon,target,mae,rmse,mape,wape,bias,n_observations
fold_2023,1,target_h01,512.5110060876248,966.3545235320075,4.779305298763009,5.679783683297065,-346.98062254002843,52416
fold_2023,2,target_h02,539.2330326617339,1002.3025322761526,4.996002423588108,5.975873729336893,-365.7908852378807,52416
fold_2023,3,target_h03,569.7471491284842,1037.789284109376,5.280238634929826,6.313992497595902,-375.0206347906022,52416
fold_2023,4,target_h04,586.6050732080416,1056.4251763519935,5.481560466807302,6.500770216113261,-377.59306450088366,52416
fold_2023,5,target_h05,594.8532321482355,1071.3561426577112,5.545410151654946,6.592128176720674,-372.3445882146463,52416
fold_2023,6,target_h06,621.1312569839847,1126.025594905981,5.790333027397064,6.8832820298334,-373.3246233226975,52416
fold_2023,7,target_h07,649.4159845391351,1189.9877870052073,6.024446981957474,7.196661917457591,-391.4291533266533,52416
fold_2023,8,target_h08,666.7652347299369,1219.1364240401283,6.173096349989353,7.388848330131263,-410.49845649363044,52416
fold_2023,9,target_h09,684.3472002918587,1238.652878615226,6.374824897495222,7.5835939496711395,-416.3675690276123,52416
fold_2023,10,target_h10,705.9805307573635,1257.921752003994,6.621013008651729,7.823206765405913,-413.48237826083493,52416
fold_2023,11,target_h11,714.0756335650395,1272.974964745211,6.677409328197527,7.912789574612843,-426.1839070283944,52416
fold_2023,12,target_h12,732.6708341717782,1306.467790705238,6.823729705447916,8.118727634672398,-439.69517785790896,52416
fold_2023,13,target_h13,738.3974508063136,1325.7859452376745,6.866994973836674,8.18206691072809,-438.0097931837336,52416
fold_2023,14,target_h14,777.6813631933632,1403.3872185716014,7.169355290318247,8.617239716517433,-460.5542826550268,52416
fold_2023,15,target_h15,772.8469038707376,1382.5274502960735,7.156861842652072,8.563543848699846,-449.1440987489811,52416
fold_2023,16,target_h16,755.5065439063636,1344.5999170931022,7.084993150419175,8.371262839214975,-414.7275982440444,52416
fold_2023,17,target_h17,754.4000060913493,1320.4922566705657,7.145509214827679,8.358843244438942,-385.01971633428116,52416
fold_2023,18,target_h18,773.4022150893707,1361.3705618228753,7.309725850939544,8.56924148986155,-395.42345742077725,52416
fold_2023,19,target_h19,757.8231494595914,1334.2975472282567,7.214838456763396,8.396495147764673,-368.53645866332306,52416
fold_2023,20,target_h20,755.8137364810709,1320.6862110059342,7.243516684314614,8.374125809894197,-352.5739941812862,52416
fold_2023,21,target_h21,728.5760312071989,1280.0458383633297,7.064075691135735,8.072267040849686,-302.20239848799963,52416
fold_2023,22,target_h22,737.2576774211292,1295.431488214668,7.133079230179083,8.168390372111192,-330.2509851924845,52416
fold_2023,23,target_h23,728.5329104428158,1278.7542855396027,7.122294651171979,8.071666779753643,-288.7007117005679,52416
fold_2023,24,target_h24,727.6239182584807,1269.1777370855848,7.123429161521957,8.06152453109091,-292.04339686466744,52416
fold_2024,1,target_h01,289.35128955651356,436.62174004636404,3.2122605369433948,3.154113988860304,-68.36688141297482,52560
fold_2024,2,target_h02,309.47429344865435,471.42313314130536,3.3989109776025392,3.373486596136463,-64.93231416501268,52560
fold_2024,3,target_h03,331.1125279670764,517.6074170924596,3.585787721610697,3.6093855049027255,-58.08651751250917,52560
fold_2024,4,target_h04,355.3736924169089,564.9705523752602,3.810386460480397,3.87387877858631,-57.74419082471429,52560
fold_2024,5,target_h05,379.64796929040426,613.338621114492,4.030571618044309,4.138511319918681,-57.3451126457235,52560
fold_2024,6,target_h06,401.29547212992014,656.7969454388325,4.2331225797755,4.374502347421756,-60.84709277792002,52560
fold_2024,7,target_h07,421.51324938204624,696.46207456475,4.438769019533629,4.594896387860616,-62.713126597990374,52560
fold_2024,8,target_h08,439.638802387398,733.8036083598638,4.604532072288315,4.792462366349091,-68.27323119712787,52560
fold_2024,9,target_h09,451.61335347680915,757.1490917830736,4.739597142244314,4.922961223459369,-52.52332974549153,52560
fold_2024,10,target_h10,465.8848266790678,786.9649934785614,4.8865251087079935,5.0785014469714875,-54.52791671101608,52560
fold_2024,11,target_h11,478.0285630301531,811.2668343071792,4.99682543047393,5.210853198413632,-55.72497067594613,52560
fold_2024,12,target_h12,491.70754641185584,835.3232250336529,5.133010311297124,5.359950414589809,-56.51701350659676,52560
fold_2024,13,target_h13,498.52913693146434,848.6025658181775,5.2129521140311095,5.434305401332102,-49.90388111206961,52560
fold_2024,14,target_h14,508.48688490890913,864.664546036511,5.311666174697948,5.542866208104188,-42.45111553014408,52560
fold_2024,15,target_h15,515.6205414464124,871.2225745431319,5.398785330147438,5.6206481088134215,-43.14066043759813,52560
fold_2024,16,target_h16,522.553844248891,883.7343288741312,5.476875499167568,5.696238649365615,-44.304781044074446,52560
fold_2024,17,target_h17,533.7887097524795,905.046603542717,5.588965700296114,5.818713115849712,-38.68347117042323,52560
fold_2024,18,target_h18,539.8440309058074,910.6236677768864,5.658577328562982,5.884739016576022,-31.41719826906238,52560
fold_2024,19,target_h19,545.3657502599762,919.0968912066605,5.721825774627708,5.944961102447091,-33.564626810917375,52560
fold_2024,20,target_h20,552.3508383451264,927.4877433641581,5.817485235060218,6.02114920542779,-27.96965031859302,52560
fold_2024,21,target_h21,563.3262804036508,945.5530741377579,5.925290584751304,6.140861187087063,-15.954103081372477,52560
fold_2024,22,target_h22,569.5650825338247,949.4795914960247,5.983967774453109,6.208943206942407,2.2219070496377324,52560
fold_2024,23,target_h23,570.3125450196163,957.4737259433597,5.991392240832097,6.217149070418328,-10.396852803665459,52560
fold_2024,24,target_h24,567.7903509526424,951.9256963907468,5.976960375915223,6.18968715038121,1.962172733238415,52560
