fold,year,month_number,month_name,fsa,observations,mae,mape,mean_residual,actual_mean,predicted_mean
fold_2023,2023,1,Ene.,L4T,17856,300.9779499710966,2.686218855287477,66.3356859725201,11266.489829749104,11200.154143776585
fold_2023,2023,2,Feb.,L4T,16128,400.7101712916897,3.477177092619137,26.787368569574493,11317.397371031746,11290.610002462172
fold_2023,2023,3,Mar.,L4T,17856,368.96839516835297,3.3891285403007174,67.58693080946207,10798.958204525088,10731.371273715627
fold_2023,2023,4,Abr.,L4T,17280,384.10838898555136,3.8304187260967812,207.942796317287,9954.833657407407,9746.890861090122
fold_2023,2023,5,May.,L4T,17856,471.08803350244216,4.412138992359413,307.4809580846154,9962.615540994624,9655.134582910008
fold_2023,2023,6,Jun.,L4T,17280,917.3053332877147,7.228863132000137,181.2344051406196,12019.116024305556,11837.881619164937
fold_2023,2023,7,Jul.,L4T,17856,1371.8158574070578,9.409593446434371,27.318943502709722,14512.347278225807,14485.028334723096
fold_2023,2023,8,Ago.,L4T,17856,1133.3377381435066,8.799910182351711,78.8569302763163,12565.72422155018,12486.867291273864
fold_2023,2023,9,Set.,L4T,17280,947.3141688626681,6.884345746388592,573.2750050409383,11511.567204861112,10938.292199820173
fold_2023,2023,10,Oct.,L4T,17856,402.0824304583837,3.809623079044008,130.8009872518136,10010.141969086022,9879.340981834208
fold_2023,2023,11,Nov.,L4T,17280,324.2269181984603,3.049188872501613,150.05222578837737,10584.115023148148,10434.062797359771
fold_2023,2023,12,Dic.,L4T,17280,313.85878736841113,2.817722734845618,139.444851358403,11120.335358796296,10980.890507437894
fold_2023,2023,1,Ene.,M5R,17856,323.8719597349756,3.7786498822300305,11.972658966144758,8673.548207885306,8661.57554891916
fold_2023,2023,2,Feb.,M5R,16128,561.2098505388575,6.47519288649994,-177.98107197597096,8712.58728918651,8890.568361162479
fold_2023,2023,3,Mar.,M5R,17856,439.11844856661133,5.5533900873108495,-158.35163586846826,7979.833954973118,8138.185590841587
fold_2023,2023,4,Abr.,M5R,17280,301.33429296823243,4.577335659793639,-73.01043458682588,6643.057459490741,6716.067894077567
fold_2023,2023,5,May.,M5R,17856,246.65494122917963,3.840252938687604,-18.240574857166788,6147.907879704301,6166.1484545614685
fold_2023,2023,6,Jun.,M5R,17280,427.76293488877985,5.7384460194923665,-121.71711043071105,7078.183958333333,7199.901068764045
fold_2023,2023,7,Jul.,M5R,17856,642.1073560073922,7.469463573247619,-6.224056277303456,8470.01807235663,8476.242128633934
