feature,type,availability
target_hour,numeric,forecast_origin_or_historical
target_weekday,numeric,forecast_origin_or_historical
target_month,numeric,forecast_origin_or_historical
target_is_weekend,numeric,forecast_origin_or_historical
target_hour_sin,numeric,forecast_origin_or_historical
target_hour_cos,numeric,forecast_origin_or_historical
target_weekday_sin,numeric,forecast_origin_or_historical
target_weekday_cos,numeric,forecast_origin_or_historical
target_month_sin,numeric,forecast_origin_or_historical
target_month_cos,numeric,forecast_origin_or_historical
target_lag_24h,numeric,forecast_origin_or_historical
target_lag_48h,numeric,forecast_origin_or_historical
target_lag_168h,numeric,forecast_origin_or_historical
origin_rolling_mean_24h,numeric,forecast_origin_or_historical
origin_rolling_std_24h,numeric,forecast_origin_or_historical
origin_rolling_mean_168h,numeric,forecast_origin_or_historical
origin__Temp (°C),numeric,forecast_origin_or_historical
origin__Rel Hum (%),numeric,forecast_origin_or_historical
origin__Stn Press (kPa),numeric,forecast_origin_or_historical
origin__reported_premise_count,numeric,forecast_origin_or_historical
fsa,categorical,known_at_prediction_time
target_season,categorical,known_at_prediction_time
