parameter_id,fold,horizon,n_estimators,max_depth,min_samples_leaf,max_features,mae,rmse,mape,wape,bias,n_observations
1,fold_2023,1,120,12.0,1,sqrt,527.5004654313879,926.2855989748101,5.135878729038137,5.8459008702274735,-262.52620301578014,52416
1,fold_2023,12,120,12.0,1,sqrt,637.9471189912617,1115.156837962215,6.322233698250863,7.069093872514763,-230.5844860350168,52416
1,fold_2023,24,120,12.0,1,sqrt,681.2709244056615,1202.1940611486996,6.819006379810906,7.547968300107772,-228.43103397720435,52416
1,fold_2024,1,120,12.0,1,sqrt,428.530418183943,642.1642902925288,4.6182500271582105,4.671255444265581,-91.5053301726423,52560
1,fold_2024,12,120,12.0,1,sqrt,561.5874338719839,913.7730363563668,5.894730828624546,6.121689245926913,-80.15266453163692,52560
1,fold_2024,24,120,12.0,1,sqrt,602.9933434758249,974.6874464158265,6.377601393384766,6.573447653021175,-84.81759491158043,52560
2,fold_2023,1,120,20.0,1,sqrt,502.0319405564819,920.7418604958103,4.715762949327465,5.563651883759067,-288.5503947183476,52416
2,fold_2023,12,120,20.0,1,sqrt,634.7700722790847,1123.1081838392458,6.180623924497055,7.033889008699003,-249.88974872275455,52416
2,fold_2023,24,120,20.0,1,sqrt,694.4663616548213,1230.2340314203757,6.861218397173798,7.694163798102362,-233.61114877653483,52416
2,fold_2024,1,120,20.0,1,sqrt,356.98864952899174,553.3881063178256,3.7938923070359594,3.891404441533771,-92.67309301575975,52560
2,fold_2024,12,120,20.0,1,sqrt,520.9588048464437,874.5224312534882,5.386271646897846,5.678809248296663,-80.6724602740074,52560
2,fold_2024,24,120,20.0,1,sqrt,571.73564365596,943.5782408250184,6.002527401547632,6.232696207349588,-72.55479512838139,52560
3,fold_2023,1,160,16.0,3,0.7,519.541000413056,932.0206297847831,4.963071996083351,5.757691955683374,-308.47475875974885,52416
3,fold_2023,12,160,16.0,3,0.7,594.1711291739457,1032.5803453041174,5.94083617161073,6.584012002609656,-180.97925651857796,52416
3,fold_2023,24,160,16.0,3,0.7,603.9337279607594,1037.9519747211757,6.241229250002102,6.691130460309193,-102.34177651444594,52416
3,fold_2024,1,160,16.0,3,0.7,379.5813500697585,574.7181574195937,4.128985215605229,4.137679317069953,-91.65700823509819,52560
3,fold_2024,12,160,16.0,3,0.7,545.9630487226847,909.1589236219745,5.689326031770362,5.951372702546977,-62.98615469070369,52560
3,fold_2024,24,160,16.0,3,0.7,572.186230646505,945.7740530274235,6.032653531597795,6.237608218448097,-39.420081380919,52560
4,fold_2023,1,160,,5,0.7,511.7824768125458,924.2453400761957,4.86368867532379,5.671709927533291,-313.0922775690284,52416
4,fold_2023,12,160,,5,0.7,588.9919317836041,1025.5356496031966,5.880336209658667,6.526621301332565,-184.41154066210999,52416
4,fold_2023,24,160,,5,0.7,597.8071767266265,1028.3999177080402,6.179369432678246,6.623252890831877,-100.36039583187417,52416
4,fold_2024,1,160,,5,0.7,366.45146775440793,562.2269833300043,3.958939779576974,3.9945552081488893,-95.4489588623741,52560
4,fold_2024,12,160,,5,0.7,538.2876501783783,903.1995775631118,5.594592580707815,5.8677055798641815,-65.35290041736135,52560
4,fold_2024,24,160,,5,0.7,569.016915988516,944.4798467856255,5.989243531973557,6.203058377681772,-43.96066406302475,52560
