fold,horizon,target,mae,rmse,mape,wape,bias,n_observations
fold_2023,1,target_h01,511.7824768125458,924.2453400761958,4.863688675323789,5.671709927533291,-313.0922775690284,52416
fold_2023,2,target_h02,532.5848780876108,963.780599553257,5.036174225358007,5.902197730535471,-320.9688442344741,52416
fold_2023,3,target_h03,518.7232713864212,921.999034783458,4.998489052112653,5.748540995549009,-283.41094136868344,52416
fold_2023,4,target_h04,512.4292004965758,895.7385583286334,5.021800017264033,5.678751576826977,-248.66979820648018,52416
fold_2023,5,target_h05,507.8927416048706,873.5534617174113,5.0484988752461835,5.62843718709264,-215.4997264481657,52416
fold_2023,6,target_h06,525.4596897417573,907.3491580477736,5.214523245100464,5.823064286546652,-213.035745537288,52416
fold_2023,7,target_h07,535.9780808422864,927.5825129186635,5.342120113438323,5.939572069090707,-198.31947013217933,52416
fold_2023,8,target_h08,548.6867329277592,949.3788736722983,5.4742502534433735,6.080345583705378,-191.71306129988514,52416
fold_2023,9,target_h09,563.9046236063838,982.0821341959044,5.618652743127193,6.248909456996617,-190.69806392376208,52416
fold_2023,10,target_h10,576.0724418105193,1003.2157515398736,5.738789310182803,6.383651712464668,-189.3551157294571,52416
fold_2023,11,target_h11,582.4900835671884,1013.8325492158061,5.808354691204899,6.454668446750751,-188.64199711803582,52416
fold_2023,12,target_h12,588.9919317836041,1025.5356496031966,5.880336209658667,6.526621301332565,-184.41154066210996,52416
fold_2023,13,target_h13,597.156619757715,1039.2674393278653,5.952672534326705,6.616999305328666,-187.3501658332044,52416
fold_2023,14,target_h14,598.5466104340562,1036.1109974432502,5.990306725752777,6.632304524361854,-179.5875751506417,52416
fold_2023,15,target_h15,599.6432614470253,1031.713638988513,6.029702014948873,6.644357811696497,-170.6047200810285,52416
fold_2023,16,target_h16,602.9863355839334,1031.2933293009883,6.088175856501693,6.681288394311781,-160.28326675440545,52416
fold_2023,17,target_h17,603.7065810357079,1026.7569628180909,6.129798043766531,6.689141881982712,-150.77307366906814,52416
fold_2023,18,target_h18,606.9445154029958,1034.7733053202535,6.174993998884407,6.724902026346349,-146.15236005124714,52416
fold_2023,19,target_h19,605.4581820588562,1033.678110367753,6.185101290728332,6.708328574360449,-135.85925279173534,52416
fold_2023,20,target_h20,608.1415219416533,1036.811709424887,6.222684007863739,6.737974409767136,-130.87974078178797,52416
fold_2023,21,target_h21,605.6452091693612,1032.7776471495536,6.216183567838425,6.710253495885307,-122.59107559914668,52416
fold_2023,22,target_h22,607.096475027284,1037.9438699498253,6.231834731199488,6.726279228317724,-119.80177657081242,52416
fold_2023,23,target_h23,602.5611705684405,1029.7624480788947,6.214212339323856,6.675982530824198,-109.2916934192339,52416
fold_2023,24,target_h24,597.8071767266266,1028.3999177080402,6.179369432678246,6.623252890831877,-100.36039583187423,52416
fold_2024,1,target_h01,366.45146775440793,562.2269833300043,3.958939779576973,3.9945552081488893,-95.4489588623741,52560
fold_2024,2,target_h02,382.0063492243868,589.759776843862,4.105564711273121,4.16413681532907,-89.12757110171532,52560
fold_2024,3,target_h03,400.18392209025126,625.7947642642056,4.271204883457897,4.362317718861116,-81.31958086303764,52560
fold_2024,4,target_h04,421.23827515466246,667.7643743917713,4.462562946066155,4.591859357263735,-77.18256381259813,52560
fold_2024,5,target_h05,442.29449706430125,712.0488151347406,4.647828430878696,4.821415971905782,-72.4908927776336,52560
fold_2024,6,target_h06,462.25984939561465,754.3983040548461,4.8307903946657405,5.0390720472551624,-68.16172458569166,52560
fold_2024,7,target_h07,480.74443221242024,793.5536653771363,5.007939905187513,5.240572765613853,-65.67761114321303,52560
fold_2024,8,target_h08,497.32509749638996,829.6510161342463,5.168015745242084,5.4212953921481715,-63.99232591980867,52560
fold_2024,9,target_h09,511.8892871242289,858.3657259422158,5.307313673179233,5.580019040216984,-62.15839563034983,52560
fold_2024,10,target_h10,522.9671244776853,880.4094628790115,5.419293775263418,5.700742214143827,-63.96098346840177,52560
fold_2024,11,target_h11,531.145806583899,892.6884388529061,5.511198476211219,5.789869139863753,-64.8485773017263,52560
fold_2024,12,target_h12,538.2876501783783,903.1995775631116,5.594592580707815,5.8677055798641815,-65.35290041736135,52560
fold_2024,13,target_h13,543.1857500599219,911.234121650337,5.64515634067593,5.921092744240281,-69.00778157290239,52560
fold_2024,14,target_h14,546.6452923443485,916.7048782970808,5.690835662023332,5.958819801807707,-66.2822106480599,52560
fold_2024,15,target_h15,551.6014675056083,922.836738321388,5.753659361582124,6.012867013515442,-66.3241473286279,52560
fold_2024,16,target_h16,555.7083032310876,929.044755970033,5.816880576537684,6.057647741905453,-62.72411277814334,52560
fold_2024,17,target_h17,559.906223905314,935.053728958664,5.870232267283107,6.103414383182545,-60.68929824272542,52560
fold_2024,18,target_h18,563.6375768095157,940.8561948160909,5.916965871597506,6.144108019299469,-59.00085081889904,52560
fold_2024,19,target_h19,567.3224848402907,946.5010023544089,5.953218790522099,6.184308609976672,-60.71290201712421,52560
fold_2024,20,target_h20,568.7942185858234,947.083440257525,5.97374865331821,6.200397681210779,-55.9688276717552,52560
fold_2024,21,target_h21,569.5911336349744,947.8211694066546,5.98794766738343,6.209154812627604,-55.03474876426369,52560
fold_2024,22,target_h22,568.3456979119128,946.1491784977217,5.983028388477739,6.195650450597183,-50.803948872778534,52560
fold_2024,23,target_h23,568.9968046012744,945.4457613808587,5.989829446645298,6.202805787265537,-47.35707209951017,52560
fold_2024,24,target_h24,569.016915988516,944.4798467856255,5.989243531973557,6.203058377681772,-43.960664063024744,52560
