feature,importance
target_lag_24h,0.6908834343723087
target_lag_48h,0.17239473806622385
target_lag_168h,0.07584628467648959
origin_rolling_mean_24h,0.015772986859663413
origin__Temp (°C),0.011859178963341923
origin_rolling_std_24h,0.005080642218600081
origin_rolling_mean_168h,0.004402292063335298
origin__reported_premise_count,0.0037691031339173084
origin__Stn Press (kPa),0.003359826395455696
origin__Rel Hum (%),0.0022570041086632272
target_weekday_sin,0.0018844639345465028
target_hour,0.0017441516889345244
target_hour_cos,0.0017197759423613502
target_weekday,0.0016902059958925006
target_hour_sin,0.0010302578084623681
target_month_cos,0.0010161721215939921
target_weekday_cos,0.0009697175324685994
target_month_sin,0.0009167715573237166
target_month,0.0008583081506280164
fsa_M9W,0.0006060503828016763
target_is_weekend,0.00040730392101735345
fsa_L4T,0.00031271056196563544
target_season_Summer,0.0003009414317056324
fsa_M5R,0.0002570795610582339
fsa_M9R,0.00019606773061988007
fsa_M6G,0.0001256798810519653
target_season_Fall,0.00011528593497982593
target_season_Spring,9.98635898973789e-05
target_season_Winter,6.603374142208833e-05
fsa_M5S,5.766767326971978e-05
