specification_id,fold,fsa,horizon,order,seasonal_order,trend,mae,rmse,mape,wape,bias,n_observations
1,fold_2023,L4T,1,"(1, 0, 1)","(1, 0, 0, 24)",c,1529.899259710195,2249.0362138198184,12.670404242564127,13.533665073887576,-314.58529506429113,8736
1,fold_2023,L4T,12,"(1, 0, 1)","(1, 0, 0, 24)",c,1682.8266587825012,2255.3508229063664,15.158296547498406,14.88524880101115,538.6974702375068,8736
1,fold_2023,L4T,24,"(1, 0, 1)","(1, 0, 0, 24)",c,1612.9743654402394,2235.3614843170094,14.09886396702244,14.265727666258565,246.80647948760034,8736
1,fold_2023,M9W,1,"(1, 0, 1)","(1, 0, 0, 24)",c,29595.284427381794,30254.244307214878,217.22816431403785,207.59532418729773,-29595.04222615873,8736
1,fold_2023,M9W,12,"(1, 0, 1)","(1, 0, 0, 24)",c,21816.41972998544,22279.80649368301,159.10737231280422,153.00231544446973,-21814.28119662582,8736
1,fold_2023,M9W,24,"(1, 0, 1)","(1, 0, 0, 24)",c,24957.520271065125,25519.33140690576,182.5858978220402,174.98747425331365,-24957.35794998232,8736
1,fold_2024,L4T,1,"(1, 0, 1)","(1, 0, 0, 24)",c,3714.352338741368,4522.581102324492,30.405321999096437,31.932761909634454,-3696.9499986037104,8760
1,fold_2024,L4T,12,"(1, 0, 1)","(1, 0, 0, 24)",c,1780.3040568669085,2498.7011667752554,14.545901097224334,15.305318638340982,-303.23472790766823,8760
1,fold_2024,L4T,24,"(1, 0, 1)","(1, 0, 0, 24)",c,1829.0541613681933,2697.598182596029,14.163847618779664,15.725457587643307,-916.1461014108786,8760
1,fold_2024,M9W,1,"(1, 0, 1)","(1, 0, 0, 24)",c,27346.157041941886,28227.75120946312,198.4804175365042,188.52661049662373,-27343.442093179965,8760
1,fold_2024,M9W,12,"(1, 0, 1)","(1, 0, 0, 24)",c,23119.167931583666,23609.49795862427,166.97684045489996,159.38045160857897,-23118.46901072729,8760
1,fold_2024,M9W,24,"(1, 0, 1)","(1, 0, 0, 24)",c,25774.743336239037,26436.908948950582,186.67985925542658,177.69083918942076,-25774.743336239037,8760
2,fold_2023,L4T,1,"(2, 0, 1)","(1, 0, 0, 24)",c,1564.3630448644012,2314.3870574563925,12.643314228677324,13.838535687096318,-741.9534953583233,8736
2,fold_2023,L4T,12,"(2, 0, 1)","(1, 0, 0, 24)",c,1624.2245305101605,2218.142037406687,14.38601251186227,14.366890445413397,338.29834416041007,8736
2,fold_2023,L4T,24,"(2, 0, 1)","(1, 0, 0, 24)",c,1636.2763583495368,2256.1035962227593,14.353779289166516,14.471818904933892,304.38244023914393,8736
2,fold_2023,M9W,1,"(2, 0, 1)","(1, 0, 0, 24)",c,7361.089218715673,7836.282865255573,50.99360227349186,51.63416173547791,-7360.884682733364,8736
2,fold_2023,M9W,12,"(2, 0, 1)","(1, 0, 0, 24)",c,5999.680123967062,6531.350787909768,41.125438247012276,42.07679180426807,-5997.324652594514,8736
2,fold_2023,M9W,24,"(2, 0, 1)","(1, 0, 0, 24)",c,5569.205355599637,6191.476983329614,37.65567139738102,39.04799708423985,-5568.60640149647,8736
2,fold_2024,L4T,1,"(2, 0, 1)","(1, 0, 0, 24)",c,1820.1873627276896,2746.3756408105833,13.978356448389862,15.64838345535209,-874.7069442372858,8760
2,fold_2024,L4T,12,"(2, 0, 1)","(1, 0, 0, 24)",c,1785.6592798850618,2489.614508772777,14.701821402544105,15.351357624971424,-220.68854422841002,8760
2,fold_2024,L4T,24,"(2, 0, 1)","(1, 0, 0, 24)",c,1789.2829762920403,2589.474922723859,14.366677183448356,15.383521248449544,-395.43477466341255,8760
2,fold_2024,M9W,1,"(2, 0, 1)","(1, 0, 0, 24)",c,6329.511085415015,6937.801577449179,42.749834636488096,43.63615952339905,-6327.637007859443,8760
2,fold_2024,M9W,12,"(2, 0, 1)","(1, 0, 0, 24)",c,2806.767462917141,3798.551843877653,17.38754652178053,19.349479493544912,-2690.651873486478,8760
2,fold_2024,M9W,24,"(2, 0, 1)","(1, 0, 0, 24)",c,8593.413288060287,9040.523766615142,59.42079987876577,59.24291073385961,-8593.413288060287,8760
3,fold_2023,L4T,1,"(1, 0, 2)","(1, 0, 1, 24)",c,2053.2135447086334,2510.097324685498,19.931929834971044,18.162963517297122,1352.671529768269,8736
3,fold_2023,L4T,12,"(1, 0, 2)","(1, 0, 1, 24)",c,1632.823823667382,2358.2162524776613,13.331271300246517,14.442954499598681,-1027.893537846658,8736
3,fold_2023,L4T,24,"(1, 0, 2)","(1, 0, 1, 24)",c,1801.5650676482805,2572.2053403297064,14.592829607636764,15.93369192888594,-1427.9945969547314,8736
3,fold_2023,M9W,1,"(1, 0, 2)","(1, 0, 1, 24)",c,4116.091654054331,4854.779873530396,27.30163488704896,28.872213862471497,-4112.430595358619,8736
3,fold_2023,M9W,12,"(1, 0, 2)","(1, 0, 1, 24)",c,2807.149050647407,3649.444960749542,18.00679390777078,19.687020595614698,-2634.2434235994206,8736
3,fold_2023,M9W,24,"(1, 0, 2)","(1, 0, 1, 24)",c,3149.1521009285057,3975.195327286108,20.288686491346887,22.080004992317992,-3076.8677714665264,8736
