fold,year,month_number,month_name,fsa,observations,mae,mape,mean_residual,actual_mean,predicted_mean
fold_2023,2023,1,Jan,L4T,17856,518.3964352590756,4.5078680260707475,162.85213284603998,11266.489829749104,11103.637696903064
fold_2023,2023,2,Feb,L4T,16128,577.7179377679981,5.023114386352277,119.05594148934844,11317.397371031746,11198.341429542397
fold_2023,2023,3,Mar,L4T,17856,551.9249155540952,5.056046998365977,-36.565632638724026,10798.958204525088,10835.523837163813
fold_2023,2023,4,Apr,L4T,17280,602.3885963425221,6.0806895659652715,-297.9855107243443,9954.833657407407,10252.819168131751
fold_2023,2023,5,May,L4T,17856,709.0025351292289,7.020372466491236,-283.70085146188256,9962.615540994624,10246.316392456507
fold_2023,2023,6,Jun,L4T,17280,986.8369002918189,8.043808030019258,-43.2953691250903,12019.116024305556,12062.411393430646
fold_2023,2023,7,Jul,L4T,17856,1285.8035923513053,8.630908847064761,365.0319753346916,14512.347278225807,14147.315302891115
fold_2023,2023,8,Aug,L4T,17856,1073.7096251536202,8.407178530265245,71.22249656178487,12565.72422155018,12494.501724988395
fold_2023,2023,9,Sep,L4T,17280,896.6767950569775,7.482626469667834,-48.69776026509025,11511.567204861112,11560.264965126202
fold_2023,2023,10,Oct,L4T,17856,623.0708596190202,6.206554422069523,-280.28964773897866,10010.141969086022,10290.431616825
fold_2023,2023,11,Nov,L4T,17280,507.61866083895296,4.724398875641583,-55.05447245651384,10584.115023148148,10639.169495604661
fold_2023,2023,12,Dec,L4T,17280,518.0172136992979,4.569545367662479,121.05497643558265,11120.335358796296,10999.280382360714
fold_2023,2023,1,Jan,M5R,17856,360.18729991276376,4.105435085565296,83.11695854457406,8673.548207885306,8590.43124934073
fold_2023,2023,2,Feb,M5R,16128,517.0231580233229,5.903229202368027,25.57253266675398,8712.58728918651,8687.014756519753
fold_2023,2023,3,Mar,M5R,17856,449.5368628407528,5.638170954857864,-14.972893774699909,7979.833954973118,7994.806848747818
fold_2023,2023,4,Apr,M5R,17280,360.93367144481573,5.526462462603761,-113.33636904374241,6643.057459490741,6756.393828534483
fold_2023,2023,5,May,M5R,17856,323.8751705735434,5.189738605386773,-71.97733458900447,6147.907879704301,6219.885214293306
fold_2023,2023,6,Jun,M5R,17280,397.203036792159,5.401270214074343,-21.22342665528945,7078.183958333333,7099.407384988623
fold_2023,2023,7,Jul,M5R,17856,596.4634462236407,6.9152312255121835,124.32058383508867,8470.01807235663,8345.697488521542
fold_2023,2023,8,Aug,M5R,17856,471.0964725493656,6.433556057109738,-1.2623903455146304,7163.340260976703,7164.602651322217
fold_2023,2023,9,Sep,M5R,17280,407.10557882216193,5.676066750516037,-42.69704587164793,6820.7644386574075,6863.461484529055
fold_2023,2023,10,Oct,M5R,17856,309.1623096480125,4.7965242776675385,-97.12067653265031,6441.30571796595,6538.4263944986
fold_2023,2023,11,Nov,M5R,17280,371.97457570099016,5.019784004075922,-36.43538672754202,7481.561892361111,7517.997279088653
fold_2023,2023,12,Dec,M5R,17280,345.74047020959773,4.431428380315253,-23.88452921072528,7858.64152199074,7882.5260512014665
fold_2023,2023,1,Jan,M5S,17856,179.53430077603292,3.7908166777678916,40.896743890028965,4650.859951836917,4609.963207946888
fold_2023,2023,2,Feb,M5S,16128,254.5923923949329,5.394872796959046,13.45716094484421,4679.443303571428,4665.986142626584
fold_2023,2023,3,Mar,M5S,17856,218.6638046404704,4.995068744224894,-0.8068276511186789,4377.815955421147,4378.6227830722655
fold_2023,2023,4,Apr,M5S,17280,181.88443546036808,5.0842902630960625,-68.18561119486347,3651.4397800925926,3719.6253912874563
fold_2023,2023,5,May,M5S,17856,165.66347573853508,5.022043357332623,-58.84077020937084,3299.039096102151,3357.8798663115217
fold_2023,2023,6,Jun,M5S,17280,195.01178062802165,5.0865665771281305,-14.143190987366568,3728.96453125,3743.1077222373665
fold_2023,2023,7,Jul,M5S,17856,268.54706189998194,6.103614433800826,60.71263497764617,4329.749176747312,4269.036541769666
fold_2023,2023,8,Aug,M5S,17856,222.62011694658307,5.8007017679037975,-4.218789016821889,3794.6927587365594,3798.9115477533805
fold_2023,2023,9,Sep,M5S,17280,213.43906572163638,5.615698272805401,-27.108054695805304,3706.5295428240743,3733.6375975198794
fold_2023,2023,10,Oct,M5S,17856,163.64174390866293,4.776914023103161,-72.5344194888975,3491.2449596774195,3563.7793791663166
fold_2023,2023,11,Nov,M5S,17280,184.58775310804558,4.633431197133619,-30.5339343159488,4047.474508101852,4078.0084424178003
fold_2023,2023,12,Dec,M5S,17280,173.35954452797313,4.262920152469499,-41.97901618259929,4131.396979166667,4173.375995349265
fold_2023,2023,1,Jan,M6G,17856,463.8321542597857,3.4848608120866587,229.74182636759085,13119.502032930108,12889.760206562518
fold_2023,2023,2,Feb,M6G,16128,649.4797430777334,4.812895929123039,169.39259663910676,13279.307056051586,13109.914459412481
fold_2023,2023,3,Mar,M6G,17856,561.8104381556461,4.503533643068419,106.82861973898501,12383.180488351256,12276.35186861227
fold_2023,2023,4,Apr,M6G,17280,471.6506319303753,4.587362809606247,-69.21842263951147,10412.371979166668,10481.59040180618
fold_2023,2023,5,May,M6G,17856,464.96380751349704,4.731289583522806,-28.168628402203897,9593.109184587813,9621.277812990018
fold_2023,2023,6,Jun,M6G,17280,686.1188724918857,5.8009800589879035,91.94524100311475,11262.53634837963,11170.591107376515
fold_2023,2023,7,Jul,M6G,17856,1024.2870489196275,7.376978237970119,339.0329473805256,13622.771102150538,13283.738154770012
fold_2023,2023,8,Aug,M6G,17856,799.4475650621607,6.757027288899206,134.4369105103499,11520.954217069893,11386.517306559543
fold_2023,2023,9,Sep,M6G,17280,647.200380867724,5.625106110474916,43.32800369318543,10769.38038773148,10726.052384038296
fold_2023,2023,10,Oct,M6G,17856,435.98682513566945,4.389608777081812,-65.93630147644029,9929.511211917563,9995.447513394003
