fold,fsa,training_observations,validation_origins,forecast_rows,specification,requested_trend,implemented_trend,explicit_intercept_in_exog,converged,fit_seconds,iterations,convergence_warning_count,aic,bic,task_seconds,resumed_from_checkpoint
fold_2023,L4T,17520,8736,209664,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,117.146456699993,64,0,240016.30263779545,240117.3076099672,188.08875459997216,False
fold_2023,M5R,17520,8736,209664,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,68.57917459998862,32,0,225559.4880452085,225660.49301738024,137.15336069997284,False
fold_2023,M5S,17520,8736,209664,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,45.40066499999375,23,0,203643.1455593924,203744.15053156414,114.38100600001053,False
fold_2023,M6G,17520,8736,209664,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,54.847964800021145,32,0,235779.16395761076,235880.1689297825,125.11081780001405,False
fold_2023,M9R,17520,8736,209664,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,99.72125520001282,67,0,228145.45844134229,228246.46341351402,168.0574626000016,False
fold_2023,M9W,17520,8736,209664,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,93.06696799999918,58,0,239950.2299032027,240051.23487537444,171.55029670000658,False
fold_2024,L4T,26280,8760,210240,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,125.74405609999667,56,0,358601.81387821515,358708.0963355009,218.0674519999884,False
fold_2024,M5R,26280,8760,210240,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,137.9416130000027,54,0,338670.9755875701,338777.25804485584,216.184814200009,False
fold_2024,M5S,26280,8760,210240,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,100.96409900000435,26,0,305306.7699355044,305413.05239279015,245.1044641000044,False
fold_2024,M6G,26280,8760,210240,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,158.08748170000035,28,0,353715.32693932566,353821.6093966114,261.56720449999557,False
fold_2024,M9R,26280,8760,210240,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,124.64431689999765,54,0,340461.3460810958,340567.62853838154,202.3250751000014,False
fold_2024,M9W,26280,8760,210240,"{'order': [2, 0, 1], 'seasonal_order': [1, 0, 0, 24], 'trend': 'c'}",c,n,True,True,100.72410269998363,34,0,363685.06729774165,363791.3497550274,176.2680076000106,False
