parameter_id,fold,horizon,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,mae,rmse,mape,wape,bias,n_observations
1,fold_2023,1,300,4,0.05,0.8,0.8,3,1.0,550.6216820014703,913.6218170198345,5.436640737071826,6.102136359910363,-384.41665282010746,52416
1,fold_2023,12,300,4,0.05,0.8,0.8,3,1.0,736.6654878180833,1257.0742244557573,7.051695524657023,8.162992403292353,-440.48415554358695,52416
1,fold_2023,24,300,4,0.05,0.8,0.8,3,1.0,737.5450498569289,1286.1020627477033,7.237422910038161,8.17144319064858,-306.7121620262062,52416
1,fold_2024,1,300,4,0.05,0.8,0.8,3,1.0,378.2862469222303,550.2953552532939,4.307957254256241,4.123561865024391,-73.06606376473762,52560
1,fold_2024,12,300,4,0.05,0.8,0.8,3,1.0,534.943203993613,864.5607811145032,5.730815639134205,5.831248816396918,-53.21383894503752,52560
1,fold_2024,24,300,4,0.05,0.8,0.8,3,1.0,580.3782713756823,934.0726381395785,6.2116777175738545,6.326912605448884,-29.09206293347038,52560
2,fold_2023,1,400,6,0.05,0.8,0.8,5,1.0,516.5638401147938,950.9286460065949,4.831500025930664,5.7246982710916745,-385.6553623502217,52416
2,fold_2023,12,400,6,0.05,0.8,0.8,5,1.0,791.145993373624,1440.1692612511226,7.221364378572913,8.766691043084242,-511.2004538809714,52416
2,fold_2023,24,400,6,0.05,0.8,0.8,5,1.0,772.7053905994755,1366.8958969860657,7.474720437837501,8.56099326219648,-298.618672510876,52416
2,fold_2024,1,400,6,0.05,0.8,0.8,5,1.0,301.99822373202943,445.6106997409462,3.4038684837706974,3.2919736543911853,-73.31059572542094,52560
2,fold_2024,12,400,6,0.05,0.8,0.8,5,1.0,492.1795203240567,822.9896200215197,5.1608786404493925,5.36509525482022,-64.35416744609583,52560
2,fold_2024,24,400,6,0.05,0.8,0.8,5,1.0,558.9954531716357,933.69100261315,5.913513601009024,6.093810801491735,-18.109766268795493,52560
3,fold_2023,1,300,6,0.08,0.9,0.9,5,2.0,524.3127182966332,957.0458137202999,4.915921251869223,5.810573406139102,-390.92254747756385,52416
3,fold_2023,12,300,6,0.08,0.9,0.9,5,2.0,801.963100881425,1450.4249083516104,7.290895131987185,8.886555442695673,-514.830603852697,52416
3,fold_2023,24,300,6,0.08,0.9,0.9,5,2.0,805.7383966941971,1414.6552696038848,7.794548396303035,8.926974069432225,-310.390767228123,52416
3,fold_2024,1,300,6,0.08,0.9,0.9,5,2.0,300.94712575973443,443.44466439553605,3.3849464361858317,3.2805160147063583,-73.25326665265737,52560
3,fold_2024,12,300,6,0.08,0.9,0.9,5,2.0,491.8885984488709,831.1160831160612,5.136993291812441,5.361924006306965,-65.16017097833131,52560
3,fold_2024,24,300,6,0.08,0.9,0.9,5,2.0,559.3787021166657,937.4228897305711,5.911278353158931,6.097988736298956,-18.08311886768545,52560
4,fold_2023,1,500,4,0.03,0.9,0.9,3,2.0,548.7418886382648,918.6191429050734,5.401330113289795,6.081303988418852,-379.36845620217053,52416
4,fold_2023,12,500,4,0.03,0.9,0.9,3,2.0,734.9657289088136,1270.2073651546189,7.013572740058952,8.144157369897624,-433.5375611842042,52416
4,fold_2023,24,500,4,0.03,0.9,0.9,3,2.0,726.9496548691076,1268.2389373090937,7.13349991664642,8.05405420099668,-288.6917904202901,52416
4,fold_2024,1,500,4,0.03,0.9,0.9,3,2.0,380.92242292569654,557.0753119928675,4.314983242322217,4.15229786831774,-78.50198961510506,52560
4,fold_2024,12,500,4,0.03,0.9,0.9,3,2.0,531.9251495993047,862.7155513156482,5.675404318803792,5.7983499479128495,-51.3080445813044,52560
4,fold_2024,24,500,4,0.03,0.9,0.9,3,2.0,577.7588609492797,935.600917599125,6.174571144225526,6.298357468802627,-26.30556444885161,52560
