fold,mae,rmse,mape,wape,bias,n_observations,model_key,model,family
fold_2023,603.7913732607093,980.376646551626,6.509759449202073,6.690512760802927,-2.411334245904557,1257984,seasonal_naive,Seasonal Naive,Baseline
fold_2024,620.2832206050228,1007.9789244345488,6.669318677308943,6.761628833170155,0.7317063039066471,1261440,seasonal_naive,Seasonal Naive,Baseline
fold_2023,572.5287421592158,992.6013293314874,5.735862998136394,6.3440966946189175,-185.47298661515563,1257984,random_forest,Random Forest Regressor,Bagging
fold_2024,512.0644011739672,854.8266088352783,5.368999660822078,5.58194918772863,-65.31619378173856,1261440,random_forest,Random Forest Regressor,Bagging
fold_2023,598.3442957605583,953.983323521321,6.190621604045172,6.630154592174196,-196.00780407382933,1257984,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2024,568.9669119548695,904.39650513951,5.9895664118908725,6.202236251435814,-133.32164363815136,1261440,sarimax,SARIMAX Rolling,Statistical Time Series
fold_2023,741.7277716328858,1351.143366358355,6.864397242726371,8.218963272615328,-447.92360884713406,1257984,xgboost,XGBoost Regressor,Gradient Boosting
fold_2024,471.17511243836645,791.1650926367047,4.997896587456982,5.136220229571772,-54.70836708303033,1261440,xgboost,XGBoost Regressor,Gradient Boosting
fold_2023,691.0499197708751,1242.0473236908972,6.508418519706652,7.657410342930689,-382.7457480116228,1257984,lightgbm,LightGBM Regressor,Gradient Boosting
fold_2024,470.9239825785671,799.9789783139455,4.963960129647706,5.133482694773985,-43.80016494033614,1261440,lightgbm,LightGBM Regressor,Gradient Boosting
