fold,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc,model_key,model,family,predicted_positive_rate_pct,brier_score
fold_2023,0.8987041911318081,0.3217825012142872,0.4738884648029424,0.6586578542107553,1257984,10.9652428011803,0.744155330004096,0.9415525853617888,logistic_regression,Logistic Regression,Baseline,,
fold_2024,0.7001254705144291,0.2647896235368554,0.3842534144381958,0.6300262551014527,1261440,4.0093860984271945,0.5387863750038755,0.9545398965296128,logistic_regression,Logistic Regression,Baseline,,
fold_2023,0.9031464637089288,0.1410820568213946,0.2440419088463781,0.5696093677512405,1257984,10.9652428011803,0.6245287179111179,0.9005187847337135,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2024,0.7562456760704128,0.3890382790256248,0.5137739248505104,0.6919003483025692,1261440,4.0093860984271945,0.682029468010248,0.9800393980301982,hist_gradient_boosting,HistGradientBoosting,Gradient Boosting,,
fold_2023,0.7591705786605647,0.2333026438839794,0.3569194596632877,0.6120939076284321,1257984,10.9652428011803,0.6283987197282958,0.9330957959239498,random_forest,Random Forest Classifier,Bagging,3.36975669006919,0.0666386070446679
fold_2024,0.6028965923462052,0.6880931667193926,0.6426836812897626,0.8345814411141592,1261440,4.0093860984271945,0.6727035039951333,0.9799094857822982,random_forest,Random Forest Classifier,Bagging,4.5759608066971085,0.0227007558270627
fold_2023,0.7384893267651889,0.3260379437585634,0.4523614345130028,0.6559094234065892,1257984,10.9652428011803,0.6124227869287926,0.915251134916879,xgboost,XGBoost Classifier,Gradient Boosting,4.84107905982906,0.071860873155421
fold_2024,0.4935348666009665,0.8218522619424233,0.6167199566755937,0.8933126747944651,1261440,4.0093860984271945,0.6709036161191065,0.978509831871488,xgboost,XGBoost Classifier,Gradient Boosting,6.676575976661593,0.0293523667618021
fold_2023,0.7170590862685043,0.3258712058053805,0.4481007232254559,0.6550176033258883,1257984,10.9652428011803,0.5931870927257977,0.9100502422856496,lightgbm,LightGBM Classifier,Gradient Boosting,4.983211233211233,0.0731807728122226
fold_2024,0.4507442992041565,0.8645207212907308,0.5925464155034558,0.9102595413956396,1261440,4.0093860984271945,0.6658520188994655,0.9786718533842949,lightgbm,LightGBM Classifier,Gradient Boosting,7.68994165398275,0.0335686515965986
