parameter_id,fold,horizon,learning_rate,max_iter,max_leaf_nodes,min_samples_leaf,l2_regularization,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,pr_auc,roc_auc
1,fold_2023,1,0.05,160,15,20,0.0,0.9565619223659889,0.1802193975274247,0.3032967032967033,0.589606195667704,52416,10.956578144078144,0.6927153247449117,0.916967948195812
1,fold_2023,12,0.05,160,15,20,0.0,0.9186602870813397,0.13370473537604458,0.23343465045592704,0.566123879515242,52416,10.958485958485959,0.6012645279882912,0.8848593381757166
1,fold_2023,24,0.05,160,15,20,0.0,0.8624813153961136,0.1002258120548897,0.17958294428882665,0.5491270297763464,52416,10.983287545787546,0.5340072099997605,0.8642784919965804
1,fold_2024,1,0.05,160,15,20,0.0,0.890728476821192,0.5106786900806835,0.6491704374057315,0.7540311968628299,52560,4.00875190258752,0.8303939303636719,0.9898099676353217
1,fold_2024,12,0.05,160,15,20,0.0,0.7184466019417476,0.280968201233982,0.40395769361992495,0.6381849310928794,52560,4.00875190258752,0.617647063712265,0.9750335806666119
1,fold_2024,24,0.05,160,15,20,0.0,0.7109181141439206,0.2718216318785579,0.39327385037748797,0.6336016904338481,52560,4.010654490106545,0.6115821112674996,0.9753297364500437
2,fold_2023,1,0.05,200,31,30,0.5,0.9616639477977161,0.2052934006616751,0.33835557468790356,0.6021431972348291,52416,10.956578144078144,0.7278872924768846,0.927633608496731
2,fold_2023,12,0.05,200,31,30,0.5,0.8802083333333334,0.11768802228412256,0.2076167076167076,0.5578584094965351,52416,10.958485958485959,0.5891374798947395,0.8862376936318699
2,fold_2023,24,0.05,200,31,30,0.5,0.8967452300785634,0.13878756296682299,0.24037304452466907,0.5684079052323131,52416,10.983287545787546,0.5777449153138954,0.8803558466686683
2,fold_2024,1,0.05,200,31,30,0.5,0.9030303030303031,0.565733270052207,0.6956521739130435,0.7815981277024557,52560,4.00875190258752,0.8623327019692795,0.9925407464752823
2,fold_2024,12,0.05,200,31,30,0.5,0.7247311827956989,0.3198860939724727,0.44385907145209086,0.6574060323389408,52560,4.00875190258752,0.6201632444039417,0.9760322310432268
2,fold_2024,24,0.05,200,31,30,0.5,0.6851851851851852,0.29838709677419356,0.4157303370786517,0.6463294399275709,52560,4.010654490106545,0.6073224777017384,0.9762833924397452
3,fold_2023,1,0.08,160,31,40,1.0,0.9593432369038312,0.21365140170642521,0.3494730845912845,0.6062686335980544,52416,10.956578144078144,0.7400160768313786,0.9335436295363
3,fold_2023,12,0.08,160,31,40,1.0,0.8720200752823086,0.1209958217270195,0.21250573306833817,0.5594051786043394,52416,10.958485958485959,0.5925792626410383,0.8947300701696567
3,fold_2023,24,0.08,160,31,40,1.0,0.8994307400379506,0.16466909848879624,0.27837321979151375,0.5811986483463935,52416,10.983287545787546,0.6042618630092769,0.8904074812588413
3,fold_2024,1,0.08,160,31,40,1.0,0.8994252873563219,0.5942097769340294,0.7156330380108602,0.795717458581775,52560,4.00875190258752,0.867893512933726,0.9928529911032623
3,fold_2024,12,0.08,160,31,40,1.0,0.7125867195242814,0.3412434741338396,0.4614890885750963,0.6677477751617804,52560,4.00875190258752,0.616287224794742,0.9756558216634181
3,fold_2024,24,0.08,160,31,40,1.0,0.691089108910891,0.33111954459203036,0.4477228992944195,0.6624677244089145,52560,4.010654490106545,0.6046693060219336,0.9757214703181907
4,fold_2023,1,0.1,120,15,30,1.0,0.9613168724279836,0.20337802542225317,0.3357286576602472,0.6011855096151182,52416,10.956578144078144,0.7486087584484831,0.9430338666619879
4,fold_2023,12,0.1,120,15,30,1.0,0.8940397350993378,0.11751392757660167,0.20772426527158025,0.5578999188791476,52416,10.958485958485959,0.6122338513529754,0.8984426644266919
4,fold_2023,24,0.1,120,15,30,1.0,0.9023861171366594,0.14451971512940767,0.2491390926785447,0.5712954134060206,52416,10.983287545787546,0.5588980843762014,0.8715157004707499
4,fold_2024,1,0.1,120,15,30,1.0,0.8888888888888888,0.5429520645467489,0.6741308190925162,0.7700588717477368,52560,4.00875190258752,0.8422054082713352,0.9910061073536597
4,fold_2024,12,0.1,120,15,30,1.0,0.7177508269018743,0.3089700996677741,0.43198407431984076,0.6519480351865916,52560,4.00875190258752,0.6086617556267241,0.9746844890465614
4,fold_2024,24,0.1,120,15,30,1.0,0.693579766536965,0.3382352941176471,0.45471938775510207,0.6659958679420392,52560,4.010654490106545,0.6125066667330594,0.9758844796361574
