feature,importance
target_lag_24h,0.2950794510433629
origin__Temp (°C),0.2211148191576765
target_month_cos,0.1282599991809433
target_hour,0.12771666033030912
origin_rolling_mean_24h,0.09712395971793257
target_hour_sin,0.0773445920263967
origin__reported_premise_count,0.06368883447428876
fsa,0.05266648769395846
origin_rolling_std_24h,0.04345265619032391
target_month_sin,0.038681689321157474
target_lag_168h,0.02570978859944602
origin__Rel Hum (%),0.012933662153715948
target_month,0.00980811365948664
target_hour_cos,0.008966608744777647
target_weekday,0.008452932532292031
target_lag_48h,0.005409588073105524
origin__Stn Press (kPa),0.005309052228700417
target_season,0.0031901802254157897
target_weekday_cos,0.0021213276416459773
origin_rolling_mean_168h,0.0013149340552083032
target_is_weekend,0.0
target_weekday_sin,-0.004040839459768569
