parameter_id,fold,horizon,class_ratio,task_seconds,n_estimators,num_leaves,learning_rate,max_depth,min_child_samples,subsample,colsample_bytree,reg_lambda,imbalance_multiplier,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
1,fold_2023,1,38.82397572078907,4.54076069999428,300,31,0.05,-1,20,0.8,0.8,0.0,1.0,0.8777881040892194,0.32892216611527075,0.4785307156428119,0.6616436082863544,52416,10.956578144078144,4.105616605616605,0.06839104539292357,0.7394848060078264,0.9539181131280936
1,fold_2023,12,38.82397572078907,4.082361699998728,300,31,0.05,-1,20,0.8,0.8,0.0,1.0,0.7043870438704387,0.29909470752089135,0.4198949040694122,0.6418232365167021,52416,10.958485958485959,4.653159340659341,0.07497658743641178,0.5670477915581172,0.9019303683240021
1,fold_2023,24,38.77870405456613,3.545541899991804,300,31,0.05,-1,20,0.8,0.8,0.0,1.0,0.6413286489939316,0.3487927740142435,0.45184518451845185,0.6623622671159968,52416,10.983287545787546,5.973366910866911,0.07604436615757396,0.5428375973096983,0.8881105078295394
1,fold_2024,1,38.94320486815416,4.199642399995355,300,31,0.05,-1,20,0.8,0.8,0.0,1.0,0.6216922574322117,0.9031798766018035,0.7364551083591331,0.940113911107276,52560,4.00875190258752,5.8238203957382035,0.018655014916149553,0.8440347744175741,0.9916562634510453
1,fold_2024,12,38.94320486815416,5.004292700003134,300,31,0.05,-1,20,0.8,0.8,0.0,1.0,0.43292978208232447,0.8485999050783104,0.5733525733525734,0.9010902326017878,52560,4.00875190258752,7.857686453576865,0.03617847587689457,0.5746911406693298,0.9740457764941985
1,fold_2024,24,38.90273556231003,4.817189199995482,300,31,0.05,-1,20,0.8,0.8,0.0,1.0,0.39354424967935014,0.8733396584440227,0.542587680518715,0.9085539963511639,52560,4.010654490106545,8.900304414003044,0.041152766912959084,0.5866254025609386,0.9732880368677779
2,fold_2023,1,38.82397572078907,5.166330299995025,400,63,0.05,-1,30,0.8,0.8,0.5,1.0,0.9106109324758842,0.24656103082012884,0.38805152096464784,0.6217914317856992,52416,10.956578144078144,2.966651404151404,0.07791566774018549,0.7326097526133509,0.9470363302365035
2,fold_2023,12,38.82397572078907,5.057290299999295,400,63,0.05,-1,30,0.8,0.8,0.5,1.0,0.7515657620041754,0.18802228412256267,0.30079376131458013,0.590186579154185,52416,10.958485958485959,2.741529304029304,0.08581632100186604,0.5281341794098673,0.8775028501517853
2,fold_2023,24,38.77870405456613,4.8523022000008496,400,63,0.05,-1,30,0.8,0.8,0.5,1.0,0.7527733755942948,0.24752475247524752,0.37254901960784315,0.618747266612471,52416,10.983287545787546,3.611492673992674,0.08003963458881513,0.5598272167599124,0.8895419850911782
2,fold_2024,1,38.94320486815416,6.91996040000231,400,63,0.05,-1,30,0.8,0.8,0.5,1.0,0.7388224878264719,0.7921214997626957,0.7645442052221714,0.890213723936409,52560,4.00875190258752,4.297945205479452,0.014151418355030638,0.8523187470724847,0.992062845597529
2,fold_2024,12,38.94320486815416,6.135423999992781,400,63,0.05,-1,30,0.8,0.8,0.5,1.0,0.5260454878943507,0.6805885144755577,0.5934202358783365,0.8274902614397093,52560,4.00875190258752,5.186453576864536,0.026956540148782463,0.5850090827012531,0.9741299309979163
2,fold_2024,24,38.90273556231003,5.990387699988787,400,63,0.05,-1,30,0.8,0.8,0.5,1.0,0.5011616329239961,0.7163187855787476,0.5897285686389377,0.8432640467178603,52560,4.010654490106545,5.732496194824962,0.02802605713828011,0.5857635843357845,0.9728364315242954
3,fold_2023,1,38.82397572078907,4.036742399999639,300,63,0.08,-1,40,0.9,0.9,1.0,0.75,0.9161512027491409,0.23210865401358174,0.3703806612948041,0.614747361523535,52416,10.956578144078144,2.775869963369963,0.07961800576741061,0.7246619793181962,0.9445483342695573
3,fold_2023,12,38.82397572078907,4.53253300000506,300,63,0.08,-1,40,0.9,0.9,1.0,0.75,0.774818401937046,0.1671309192200557,0.2749534583989689,0.580576515489356,52416,10.958485958485959,2.363782051282051,0.08719874445437995,0.5484321780144876,0.8892765493533726
3,fold_2023,24,38.77870405456613,4.064221000007819,300,63,0.08,-1,40,0.9,0.9,1.0,0.75,0.7638418079096045,0.23484453708528746,0.3592400690846287,0.6129429612278706,52416,10.983287545787546,3.376831501831502,0.08136476187886457,0.5611585063343648,0.8831476456772027
3,fold_2024,1,38.94320486815416,5.384436599997571,300,63,0.08,-1,40,0.9,0.9,1.0,0.75,0.7658862876254181,0.760797342192691,0.7633333333333333,0.8755426664980064,52560,4.00875190258752,3.982115677321157,0.01389578074982079,0.848564311909195,0.9918486118989295
3,fold_2024,12,38.94320486815416,5.209700200008228,300,63,0.08,-1,40,0.9,0.9,1.0,0.75,0.5489539748953974,0.6226862838158519,0.5835001111852346,0.80065993179158,52560,4.00875190258752,4.547184170471842,0.025901257364914273,0.5899311798486356,0.9729298968055633
3,fold_2024,24,38.90273556231003,5.150303699992946,300,63,0.08,-1,40,0.9,0.9,1.0,0.75,0.5165434021019852,0.6295066413662239,0.5674577720761171,0.8024445915940768,52560,4.010654490106545,4.887747336377473,0.027310646599374783,0.5608931621630988,0.9712368782035823
