fold,horizon,observations,actual_peaks,actual_peak_rate_pct
fold_2023,1,52416,5743,10.956578144078144
fold_2023,2,52416,5743,10.956578144078144
fold_2023,3,52416,5743,10.956578144078144
fold_2023,4,52416,5743,10.956578144078144
fold_2023,5,52416,5743,10.956578144078144
fold_2023,6,52416,5743,10.956578144078144
fold_2023,7,52416,5743,10.956578144078144
fold_2023,8,52416,5743,10.956578144078144
fold_2023,9,52416,5743,10.956578144078144
fold_2023,10,52416,5743,10.956578144078144
fold_2023,11,52416,5743,10.956578144078144
fold_2023,12,52416,5744,10.958485958485959
fold_2023,13,52416,5745,10.960393772893774
fold_2023,14,52416,5746,10.962301587301587
fold_2023,15,52416,5747,10.964209401709402
fold_2023,16,52416,5748,10.966117216117215
fold_2023,17,52416,5750,10.969932844932845
fold_2023,18,52416,5752,10.973748473748474
fold_2023,19,52416,5754,10.977564102564102
fold_2023,20,52416,5755,10.979471916971917
fold_2023,21,52416,5756,10.98137973137973
fold_2023,22,52416,5757,10.983287545787546
fold_2023,23,52416,5757,10.983287545787546
fold_2023,24,52416,5757,10.983287545787546
fold_2024,1,52560,2107,4.00875190258752
fold_2024,2,52560,2107,4.00875190258752
fold_2024,3,52560,2107,4.00875190258752
fold_2024,4,52560,2107,4.00875190258752
fold_2024,5,52560,2107,4.00875190258752
fold_2024,6,52560,2107,4.00875190258752
fold_2024,7,52560,2107,4.00875190258752
fold_2024,8,52560,2107,4.00875190258752
fold_2024,9,52560,2107,4.00875190258752
fold_2024,10,52560,2107,4.00875190258752
fold_2024,11,52560,2107,4.00875190258752
fold_2024,12,52560,2107,4.00875190258752
fold_2024,13,52560,2107,4.00875190258752
fold_2024,14,52560,2107,4.00875190258752
fold_2024,15,52560,2107,4.00875190258752
fold_2024,16,52560,2107,4.00875190258752
fold_2024,17,52560,2108,4.010654490106545
fold_2024,18,52560,2108,4.010654490106545
fold_2024,19,52560,2108,4.010654490106545
fold_2024,20,52560,2108,4.010654490106545
fold_2024,21,52560,2108,4.010654490106545
fold_2024,22,52560,2108,4.010654490106545
fold_2024,23,52560,2108,4.010654490106545
fold_2024,24,52560,2108,4.010654490106545
