feature,importance
target_hour_sin,0.21386055983035357
origin__Temp (°C),0.16676532252474127
target_hour,0.1288463381035663
target_lag_24h,0.10538908305427873
target_hour_cos,0.03368208815966905
origin_rolling_mean_24h,0.03230476795338894
target_month_cos,0.032053868953853676
target_month_sin,0.03185131248489759
origin_rolling_std_24h,0.029007447446862945
target_lag_48h,0.023762450055910222
origin__reported_premise_count,0.023682354151618314
origin__Stn Press (kPa),0.02167274272834312
origin__Rel Hum (%),0.020214205848024837
target_lag_168h,0.01973509708989799
origin_rolling_mean_168h,0.018086223760701205
target_season_Summer,0.016158831462413255
target_month,0.014050886888294865
fsa_M9W,0.011170762821983204
target_weekday_sin,0.011014886498849116
target_weekday,0.010874317068617816
target_weekday_cos,0.006139164481330006
fsa_L4T,0.004805897387762693
target_season_Winter,0.00479455584731566
fsa_M9R,0.004464405157515806
target_is_weekend,0.004199565084443764
fsa_M5R,0.0034446295787197573
target_season_Spring,0.003096141510918665
target_season_Fall,0.0021045354056408493
fsa_M5S,0.001472380149329851
fsa_M6G,0.0012951785107569375
