parameter_id,fold,horizon,class_ratio,task_seconds,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,imbalance_multiplier,precision,recall,f1,balanced_accuracy,n_observations,positive_rate_pct,predicted_positive_rate_pct,brier_score,pr_auc,roc_auc
1,fold_2023,1,38.82397572078907,6.8925060000037774,300,4,0.05,0.8,0.8,3,1.0,1.0,0.7514910536779325,0.4607348075918509,0.5712435233160622,0.7209936759447053,52416,10.956578144078144,6.71741452991453,0.0588813224258599,0.69952431750915,0.9380808990156242
1,fold_2023,12,38.82397572078907,5.860883600005764,300,4,0.05,0.8,0.8,3,1.0,1.0,0.59,0.4314066852367688,0.498390989541432,0.6972554509488609,52416,10.958485958485959,8.012820512820513,0.0727349159432539,0.546273532233286,0.8908657939590032
1,fold_2023,24,38.77870405456613,4.5638034000003245,300,4,0.05,0.8,0.8,3,1.0,1.0,0.5489667565139263,0.5306583289907938,0.5396573043631867,0.7384318885143428,52416,10.983287545787546,10.616987179487179,0.07411353448437215,0.5719818911834961,0.8998563033486968
1,fold_2024,1,38.94320486815416,5.428079699995578,300,4,0.05,0.8,0.8,3,1.0,1.0,0.48507462686567165,0.9563360227812056,0.6436671458233509,0.9569700647868329,52560,4.00875190258752,7.903348554033486,0.03058791091493948,0.8259941761461758,0.9901774968618207
1,fold_2024,12,38.94320486815416,7.263591900002211,300,4,0.05,0.8,0.8,3,1.0,1.0,0.3297907671869811,0.9425723777883246,0.4886209865912166,0.9312885673453941,52560,4.00875190258752,11.45738203957382,0.05530449193498773,0.626717709061934,0.975835212048607
1,fold_2024,24,38.90273556231003,4.969299899996258,300,4,0.05,0.8,0.8,3,1.0,1.0,0.30027214998488055,0.9421252371916509,0.45540013758312314,0.925197241603833,52560,4.010654490106545,12.583713850837139,0.06224216793469066,0.5858923016783166,0.972908418334687
2,fold_2023,1,38.82397572078907,7.356139299998176,400,6,0.05,0.8,0.8,5,1.0,1.0,0.8796610169491526,0.3614835451854431,0.5124028137726768,0.6776993283530113,52416,10.956578144078144,4.502442002442002,0.06354622410096808,0.7605913850636806,0.9556289391271975
2,fold_2023,12,38.82397572078907,10.184573399994406,400,6,0.05,0.8,0.8,5,1.0,1.0,0.704225352112676,0.29596100278551535,0.41676881588624665,0.640331375578565,52416,10.958485958485959,4.6054639804639805,0.07527436711340696,0.5729733741351025,0.9070841080657237
2,fold_2023,24,38.77870405456613,10.053207800010568,400,6,0.05,0.8,0.8,5,1.0,1.0,0.6752255378209576,0.3380232760118117,0.45051510591503646,0.6589814187556005,52416,10.983287545787546,5.498321123321123,0.07431093084834496,0.5631911701934673,0.8994481815096675
2,fold_2024,1,38.94320486815416,10.758471799999825,400,6,0.05,0.8,0.8,5,1.0,1.0,0.6666666666666666,0.8666350261034647,0.7536112257531985,0.9242694881572762,52560,4.00875190258752,5.211187214611872,0.016577183727010454,0.8479359605792464,0.9915707308303147
2,fold_2024,12,38.94320486815416,5.637087299997802,400,6,0.05,0.8,0.8,5,1.0,1.0,0.4674457429048414,0.7973421926910299,0.5893702859147518,0.8797029477715947,52560,4.00875190258752,6.837899543378996,0.03181116369921059,0.6036124877963772,0.9739127247056241
2,fold_2024,24,38.90273556231003,6.332237800001167,400,6,0.05,0.8,0.8,5,1.0,1.0,0.42516588842467434,0.8206831119544592,0.5601424639792779,0.8871611072338697,52560,4.010654490106545,7.741628614916286,0.036722627790492436,0.5852606313619677,0.9723860485273845
3,fold_2023,1,38.82397572078907,3.906086500006495,300,6,0.08,0.9,0.9,5,2.0,0.75,0.8931723176962378,0.3348424168553021,0.4870820668693009,0.6649572571067589,52416,10.956578144078144,4.10752442002442,0.06628883163307178,0.7573887858149218,0.9546385664579782
3,fold_2023,12,38.82397572078907,4.103974300000118,300,6,0.08,0.9,0.9,5,2.0,0.75,0.7241058987459359,0.27141364902506965,0.39483348106876026,0.629343266062072,52416,10.958485958485959,4.10752442002442,0.07672094305413873,0.5731430220945197,0.9020156363844929
3,fold_2023,24,38.77870405456613,4.122214499991969,300,6,0.08,0.9,0.9,5,2.0,0.75,0.7126391096979332,0.3114469341671009,0.43345823764051733,0.647975765675462,52416,10.983287545787546,4.800061050061051,0.07431523283178675,0.5818398978747618,0.9001266224549068
3,fold_2024,1,38.94320486815416,5.4950397000066005,300,6,0.08,0.9,0.9,5,2.0,0.75,0.6973632428177883,0.8410061699098244,0.7624784853700516,0.9128821307995596,52560,4.00875190258752,4.834474885844749,0.015101122320043455,0.8523874985498185,0.9917462267414886
3,fold_2024,12,38.94320486815416,5.411803199996939,300,6,0.08,0.9,0.9,5,2.0,0.75,0.5045811518324608,0.7318462268628382,0.5973271353864033,0.850919050243898,52560,4.00875190258752,5.814307458143075,0.028442770934951338,0.59515497331187,0.9733022800141681
3,fold_2024,24,38.90273556231003,5.310108100005891,300,6,0.08,0.9,0.9,5,2.0,0.75,0.4604880883207437,0.7518975332068312,0.5711711711711712,0.8575451354292303,52560,4.010654490106545,6.548706240487062,0.03231473232343173,0.564550329284394,0.9705130515773085
