threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.02,0.3140478406844544,0.7963684972708032,0.4504577218623324,0.8278433899053022,150129,327916,38388,2002991,20.363150272919682,14.068171746019898,18.97437668292435,7.4825436290199665,2519424
0.03,0.3372801565620033,0.7642759008471385,0.4680199319144513,0.8214105168537185,144079,283100,44438,2047807,23.572409915286155,12.145486713970142,16.955423144337754,7.4825436290199665,2519424
0.04,0.35473555235824356,0.7402409331784401,0.47962632947415634,0.815669988728027,139548,253838,48969,2077069,25.975906682155987,10.890095572238618,15.614124498298024,7.4825436290199665,2519424
0.05,0.3691143665090832,0.7214840040951214,0.4883743058784666,0.8108751476428161,136012,232470,52505,2098437,27.851599590487865,9.973370880948918,14.625644591779707,7.4825436290199665,2519424
0.06,0.3813600845862238,0.7059946848294849,0.4952168331751967,0.8066846838659458,133092,215901,55425,2115006,29.400531517051515,9.262531709759333,13.852094764517602,7.4825436290199665,2519424
0.07,0.3923399802756597,0.6921709978410435,0.5008088643084546,0.8027337049622043,130486,202098,58031,2128809,30.782900215895648,8.670358791663503,13.200795102372606,7.4825436290199665,2519424
0.08,0.4022817335908304,0.6806547950582706,0.5056898233445324,0.7994306564751165,128315,190653,60202,2140254,31.93452049417294,8.179348210803777,12.660354112686074,7.4825436290199665,2519424
0.09,0.4113250401049073,0.6705389964830758,0.5098782662009212,0.7964625016517983,126408,180911,62109,2149996,32.94610035169242,7.761399317947906,12.197986523903877,7.4825436290199665,2519424
0.1,0.4195441582011455,0.6609483494857228,0.5132789296115805,0.7934952219146276,124600,172389,63917,2158518,33.90516505142772,7.395790565646763,11.787972171416959,7.4825436290199665,2519424
0.11,0.427259428110764,0.6522382596794984,0.5163048498845265,0.7907627213687121,122958,164825,65559,2166082,34.776174032050164,7.071281694207449,11.422571190875374,7.4825436290199665,2519424
0.12,0.4344481282389674,0.6443609860118716,0.5189823122276339,0.7882602207685621,121473,158130,67044,2172777,35.56390139881284,6.784054447474738,11.097893804298126,7.4825436290199665,2519424
0.13,0.4412367800210197,0.6369292955012015,0.5213234543887566,0.7858477308165489,120072,152054,68445,2178853,36.30707044987985,6.52338338681037,10.801119620992734,7.4825436290199665,2519424
0.14,0.44770290849328287,0.6300333656911579,0.5234448854033305,0.7835868574600102,118772,146520,69745,2184387,36.99666343088422,6.285965077113759,10.529867144236142,7.4825436290199665,2519424
0.15,0.45388577412162917,0.6231109130741525,0.5252034337834213,0.7812376446295226,117467,141336,71050,2189571,37.688908692584754,6.0635623815107165,10.27230827363715,7.4825436290199665,2519424
0.16,0.45965315908273346,0.6168037895786587,0.5267573603692982,0.7790804761312704,116278,136691,72239,2194216,38.31962104213413,5.8642837316117715,10.040747408931566,7.4825436290199665,2519424
0.17,0.4651551958997078,0.6104383159078491,0.527984877751116,0.7768355716503955,115078,132319,73439,2198588,38.95616840921509,5.676717260705811,9.819585746583346,7.4825436290199665,2519424
0.18,0.4701701379429902,0.6042425882015946,0.5288411317785191,0.7745860899935549,113910,128364,74607,2202543,39.57574117984055,5.507040821448475,9.61624561804603,7.4825436290199665,2519424
0.19,0.47521657060033035,0.5982802611966029,0.529694519000688,0.7724230629503859,112786,124550,75731,2206357,40.171973880339706,5.3434135295831195,9.420248437738149,7.4825436290199665,2519424
0.2,0.48033800831266626,0.5928059538397068,0.530678531913176,0.7704682227662127,111754,120903,76763,2210004,40.71940461602932,5.186950830728124,9.234531384951481,7.4825436290199665,2519424
0.21,0.4850245101260333,0.5873104282372412,0.5312891384150291,0.7684386353361982,110718,117555,77799,2213352,41.268957176275876,5.043315756484493,9.06052335771986,7.4825436290199665,2519424
0.22,0.48976567068897015,0.5819528212309765,0.5318943658216126,0.7664595594498261,109708,114293,78809,2216614,41.804717876902345,4.903370233132424,8.890960791037951,7.4825436290199665,2519424
0.23,0.4942958345269112,0.5766535644000276,0.5323079785723379,0.764469545510605,108709,111218,79808,2219689,42.33464355999724,4.771447337881778,8.729257163542142,7.4825436290199665,2519424
