threshold,precision,recall,f1,balanced_accuracy,true_positive,false_positive,false_negative,true_negative,missed_peak_rate_pct,false_alarm_rate_pct,predicted_peak_rate_pct,actual_peak_rate_pct,n_observations
0.02,0.8945442206548874,0.6849020190023754,0.7758100623246135,0.7997472563604842,73816,8702,33960,93186,31.50979809976247,8.540750628140703,39.35725732600733,51.4041514041514,209664
0.03,0.9079769183029407,0.6380084619952494,0.749421003013509,0.7848049141006398,68762,6969,39014,94919,36.19915380047506,6.839863379396985,36.12017322954823,51.4041514041514,209664
0.04,0.9176769458753793,0.6033068586698337,0.7280035380197166,0.7730288611816505,65022,5833,42754,96055,39.66931413301663,5.724913630653266,33.794547466422465,51.4041514041514,209664
0.05,0.9254774034021509,0.5764827048693587,0.7104339374535475,0.7636898841557849,62131,5003,45645,96885,42.351729513064136,4.9102936557788945,32.01980311355312,51.4041514041514,209664
0.06,0.930824467670836,0.5544648159144893,0.6949614769588603,0.7554388699547321,59758,4441,48018,97447,44.55351840855107,4.3587076005025125,30.61994429181929,51.4041514041514,209664
0.07,0.9354666147935613,0.5354438836104513,0.681060986044316,0.7481857844559794,57708,3981,50068,97907,46.45561163895487,3.907231469849246,29.422790750915752,51.4041514041514,209664
0.08,0.9395500226498666,0.5195961995249406,0.6691400952329742,0.7421169204282995,56000,3603,51776,98285,48.040380047505934,3.536235866834171,28.42786553724054,51.4041514041514,209664
0.09,0.9428779019478947,0.5057155581947743,0.658332427437765,0.7366537118863319,54504,3302,53272,98586,49.42844418052256,3.2408134422110555,27.570779914529915,51.4041514041514,209664
0.1,0.9461386279786835,0.49254936163895485,0.6478402274793603,0.7314446713973669,53085,3022,54691,98866,50.74506383610451,2.9660018844221105,26.760435744810746,51.4041514041514,209664
0.11,0.9492261196080227,0.4808398901425178,0.638328272905876,0.7268167729607061,51823,2772,55953,99116,51.916010985748215,2.7206344221105527,26.039281898656895,51.4041514041514,209664
0.12,0.9518945510533628,0.4703830166270784,0.629631009600457,0.722618879544695,50696,2562,57080,99326,52.96169833729216,2.514525753768844,25.401594932844933,51.4041514041514,209664
0.13,0.9546188444239418,0.4608168794536817,0.6215817073628616,0.7188221881564891,49665,2361,58111,99527,53.91831205463183,2.317250314070352,24.813988095238095,51.4041514041514,209664
0.14,0.956803583004302,0.451937351543943,0.6139031906379385,0.7151774147795091,48708,2199,59068,99689,54.8062648456057,2.1582521984924625,24.280277014652015,51.4041514041514,209664
0.15,0.9590361445783132,0.4431413301662708,0.6061836827943342,0.7115596726208238,47760,2040,60016,99848,55.685866983372925,2.0021984924623117,23.752289377289376,51.4041514041514,209664
0.16,0.9607497695380518,0.43515253859857483,0.5989999425254325,0.7081737881435085,46899,1916,60877,99972,56.48474614014252,1.880496231155779,23.28249007936508,51.4041514041514,209664
0.17,0.9622811050277928,0.42726581057007124,0.5917753646469189,0.7047751398955884,46049,1805,61727,100083,57.27341894299287,1.7715530778894473,22.82413766788767,51.4041514041514,209664
0.18,0.9635434412265758,0.41983372921615203,0.5848412780477716,0.7015154826985283,45248,1712,62528,100176,58.0166270783848,1.6802763819095476,22.397741147741147,51.4041514041514,209664
0.19,0.9651190553710577,0.4125593824228028,0.5780288208414853,0.698393580972708,44464,1607,63312,100281,58.74406175771971,1.5772220477386936,21.973729395604398,51.4041514041514,209664
0.2,0.966556956992335,0.40599948040380046,0.5718112736610322,0.6955700134431062,43757,1514,64019,100374,59.40005195961995,1.485945351758794,21.592166514041512,51.4041514041514,209664
0.21,0.9672525397824328,0.39930040083135393,0.5652533690598156,0.6925001925639181,43035,1457,64741,100431,60.06995991686461,1.4300015703517588,21.22061965811966,51.4041514041514,209664
0.22,0.9683991493837606,0.3929539043942993,0.5590558976694454,0.6896949955388582,42351,1382,65425,100506,60.70460956057006,1.3563913316582914,20.858611874236875,51.4041514041514,209664
0.23,0.9691975079040357,0.38683009204275537,0.5529603692503581,0.6869128082701214,41691,1325,66085,100563,61.31699079572447,1.3004475502512562,20.51663614163614,51.4041514041514,209664
0.24,0.9702331734744502,0.38105886282660334,0.5472036241297759,0.6843461713630504,41069,1260,66707,100628,61.89411371733967,1.2366520100502514,20.188969017094017,51.4041514041514,209664
0.25,0.9711321389115711,0.3751855700712589,0.5412611937301726,0.6816941512416596,40436,1202,67340,100686,62.481442992874115,1.17972675879397,19.859394078144078,51.4041514041514,209664
0.26,0.9719530353699319,0.36945145486935865,0.5353932622039357,0.6790871831507598,39818,1149,67958,100739,63.05485451306413,1.1277088567839195,19.539358211233214,51.4041514041514,209664
0.27,0.9728012705975779,0.36371733966745845,0.5294721486844238,0.6764802150598599,39200,1096,68576,100792,63.62826603325416,1.0756909547738693,19.219322344322347,51.4041514041514,209664
0.28,0.9733635448136959,0.35872550475059384,0.5242447252806856,0.6741707768727844,38662,1058,69114,100830,64.12744952494062,1.0383951005025125,18.94459706959707,51.4041514041514,209664
0.29,0.9740737899823579,0.3534831502375297,0.5187252786155344,0.6717655229830864,38097,1014,69679,100874,64.65168497624703,0.9952104271356784,18.654132326007325,51.4041514041514,209664
0.3,0.9744141435089174,0.34876967042755347,0.5136793484202471,0.6695412815077466,37589,987,70187,100901,65.12303295724465,0.9687107412060301,18.39896214896215,51.4041514041514,209664
0.31,0.9749770009199632,0.34416753266033256,0.5087470254627249,0.6674119698477542,37093,952,70683,100936,65.58324673396675,0.9343592964824121,18.145699786324787,51.4041514041514,209664
0.32,0.9757567675690092,0.33946333135391926,0.5036930977276951,0.6652708852121355,36586,909,71190,100979,66.05366686460808,0.892156092964824,17.883375305250304,51.4041514041514,209664
0.33,0.9763713536456784,0.33509315617577196,0.4989465685766587,0.6632575548466799,36115,874,71661,101014,66.4906843824228,0.8578046482412061,17.642036782661783,51.4041514041514,209664
