fold,role,fsa,train_rows,evaluation_rows,status
fold_2023,validation,L4T,17496,8736,PASS
fold_2023,validation,M5R,17496,8736,PASS
fold_2023,validation,M5S,17496,8736,PASS
fold_2023,validation,M6G,17496,8736,PASS
fold_2023,validation,M9R,17496,8736,PASS
fold_2023,validation,M9W,17496,8736,PASS
fold_2024,validation,L4T,26256,8760,PASS
fold_2024,validation,M5R,26256,8760,PASS
fold_2024,validation,M5S,26256,8760,PASS
fold_2024,validation,M6G,26256,8760,PASS
fold_2024,validation,M9R,26256,8760,PASS
fold_2024,validation,M9W,26256,8760,PASS
test_2025,test,L4T,35040,8736,PASS
test_2025,test,M5R,35040,8736,PASS
test_2025,test,M5S,35040,8736,PASS
test_2025,test,M6G,35040,8736,PASS
test_2025,test,M9R,35040,8736,PASS
test_2025,test,M9W,35040,8736,PASS
