target,available_count,missing_count,coverage_pct
target_h01,262938,6,99.997718
target_h02,262932,12,99.995436
target_h03,262926,18,99.993154
target_h04,262920,24,99.990873
target_h05,262914,30,99.988591
target_h06,262908,36,99.986309
target_h07,262902,42,99.984027
target_h08,262896,48,99.981745
target_h09,262890,54,99.979463
target_h10,262884,60,99.977181
target_h11,262878,66,99.9749
target_h12,262872,72,99.972618
target_h13,262866,78,99.970336
target_h14,262860,84,99.968054
target_h15,262854,90,99.965772
target_h16,262848,96,99.96349
target_h17,262842,102,99.961208
target_h18,262836,108,99.958927
target_h19,262830,114,99.956645
target_h20,262824,120,99.954363
target_h21,262818,126,99.952081
target_h22,262812,132,99.949799
target_h23,262806,138,99.947517
target_h24,262800,144,99.945235
