fsa,season,peak_threshold_kwh,evaluation_year,training_year_start,training_year_end
L4T,Fall,14434.442500000001,2022,2021,2021
L4T,Spring,14997.012499999999,2022,2021,2021
L4T,Summer,23769.5,2022,2021,2021
L4T,Winter,15253.3325,2022,2021,2021
M5R,Fall,9531.862499999996,2022,2021,2021
M5R,Spring,10031.58,2022,2021,2021
M5R,Summer,12772.5425,2022,2021,2021
M5R,Winter,12095.502500000002,2022,2021,2021
M5S,Fall,5241.002499999994,2022,2021,2021
M5S,Spring,5326.099999999997,2022,2021,2021
M5S,Summer,6312.8825,2022,2021,2021
M5S,Winter,6419.81,2022,2021,2021
M6G,Fall,13502.55249999999,2022,2021,2021
M6G,Spring,14424.644999999999,2022,2021,2021
M6G,Summer,19187.92,2022,2021,2021
M6G,Winter,16647.235,2022,2021,2021
M9R,Fall,6915.327499999999,2022,2021,2021
M9R,Spring,7071.749999999997,2022,2021,2021
M9R,Summer,12551.47,2022,2021,2021
M9R,Winter,7429.005000000003,2022,2021,2021
M9W,Fall,11302.6975,2022,2021,2021
M9W,Spring,12038.602499999997,2022,2021,2021
M9W,Summer,19435.6,2022,2021,2021
M9W,Winter,12556.972500000002,2022,2021,2021
L4T,Fall,15170.377499999997,2023,2021,2022
L4T,Spring,15154.175,2023,2021,2022
L4T,Summer,23617.475,2023,2021,2022
L4T,Winter,15617.247499999998,2023,2021,2022
M5R,Fall,9712.237499999997,2023,2021,2022
M5R,Spring,10199.05,2023,2021,2022
M5R,Summer,12681.275,2023,2021,2022
M5R,Winter,12417.589999999998,2023,2021,2022
M5S,Fall,5331.1975,2023,2021,2022
M5S,Spring,5496.7,2023,2021,2022
M5S,Summer,6267.799999999999,2023,2021,2022
M5S,Winter,6572.612499999996,2023,2021,2022
M6G,Fall,13846.465,2023,2021,2022
M6G,Spring,14594.1875,2023,2021,2022
M6G,Summer,19006.6,2023,2021,2022
M6G,Winter,17111.327499999996,2023,2021,2022
M9R,Fall,7247.769999999999,2023,2021,2022
M9R,Spring,6953.8875,2023,2021,2022
M9R,Summer,12415.9,2023,2021,2022
M9R,Winter,7683.0499999999965,2023,2021,2022
M9W,Fall,11865.2675,2023,2021,2022
M9W,Spring,12037.4625,2023,2021,2022
M9W,Summer,19306.4125,2023,2021,2022
M9W,Winter,15241.259999999997,2023,2021,2022
L4T,Fall,15910.444999999996,2024,2021,2023
L4T,Spring,14726.185000000001,2024,2021,2023
L4T,Summer,23107.302499999998,2024,2021,2023
L4T,Winter,15450.9225,2024,2021,2023
M5R,Fall,9986.5675,2024,2021,2023
M5R,Spring,10097.97,2024,2021,2023
M5R,Summer,12496.265,2024,2021,2023
M5R,Winter,12150.169999999995,2024,2021,2023
M5S,Fall,5370.602499999997,2024,2021,2023
M5S,Spring,5436.0675,2024,2021,2023
M5S,Summer,6151.4425,2024,2021,2023
M5S,Winter,6479.019999999998,2024,2021,2023
M6G,Fall,14782.934999999996,2024,2021,2023
M6G,Spring,14900.3425,2024,2021,2023
M6G,Summer,19082.40750000001,2024,2021,2023
M6G,Winter,17156.879999999997,2024,2021,2023
M9R,Fall,7652.8475,2024,2021,2023
M9R,Spring,7020.0825,2024,2021,2023
M9R,Summer,12136.07,2024,2021,2023
M9R,Winter,7695.3375,2024,2021,2023
M9W,Fall,17276.63249999999,2024,2021,2023
M9W,Spring,16582.427499999998,2024,2021,2023
M9W,Summer,22176.507500000007,2024,2021,2023
M9W,Winter,17829.9975,2024,2021,2023
L4T,Fall,16401.8625,2025,2021,2024
L4T,Spring,14691.667500000001,2025,2021,2024
L4T,Summer,23057.007500000003,2025,2021,2024
L4T,Winter,15430.0525,2025,2021,2024
M5R,Fall,9817.3625,2025,2021,2024
M5R,Spring,9986.990000000002,2025,2021,2024
M5R,Summer,12535.800000000003,2025,2021,2024
M5R,Winter,12079.314999999993,2025,2021,2024
M5S,Fall,5310.400000000001,2025,2021,2024
M5S,Spring,5383.56,2025,2021,2024
M5S,Summer,6154.1050000000005,2025,2021,2024
M5S,Winter,6418.724999999999,2025,2021,2024
M6G,Fall,14881.95,2025,2021,2024
M6G,Spring,14918.632500000003,2025,2021,2024
M6G,Summer,19418.1825,2025,2021,2024
M6G,Winter,17187.667499999992,2025,2021,2024
M9R,Fall,7910.712500000001,2025,2021,2024
M9R,Spring,7043.28,2025,2021,2024
M9R,Summer,12252.78,2025,2021,2024
M9R,Winter,7788.147499999998,2025,2021,2024
M9W,Fall,17878.2125,2025,2021,2024
M9W,Spring,16904.070000000003,2025,2021,2024
M9W,Summer,24388.287500000002,2025,2021,2024
M9W,Winter,18293.71,2025,2021,2024
