fsa,year,observations,mean,median,minimum,maximum,p90,p95,p975,p99
L4T,2021,8760,11526.92439497717,11147.55,5965.4,25152.4,15623.930000000004,18625.679999999986,21135.859999999997,23165.724
L4T,2022,8760,11563.73810502283,11133.099999999999,5864.4,26563.9,15771.75,17985.409999999978,19878.037499999995,22368.31
L4T,2023,8760,11305.241038812785,10980.95,5996.900000000001,25114.0,15225.97,17278.01,19346.98499999999,21323.750999999997
L4T,2024,8784,11630.045525956284,11149.4,5900.0,24923.6,16093.96,18638.705000000005,20743.949999999997,22432.64
L4T,2025,8760,12063.893607305936,11498.25,6207.8,27796.600000000002,16423.410000000003,20188.844999999998,22983.719999999994,25370.278
M5R,2021,8760,7560.68689497717,7387.0,3721.5,14104.9,10348.48,11243.32,11975.604999999994,12661.744999999999
M5R,2022,8760,7677.844589041095,7499.05,3757.5,14325.6,10408.43,11208.699999999999,11923.914999999999,12677.621999999998
M5R,2023,8760,7449.8676141552505,7366.45,3859.6,14484.0,9729.59,10438.304999999997,11156.262499999999,12049.455
M5R,2024,8784,7506.734050546448,7319.85,3844.9,14839.2,10065.569999999998,10807.17,11477.0675,12485.291000000001
M5R,2025,8760,8115.475456621005,7835.9,3877.3999999999996,16999.0,11397.810000000001,12293.185,13190.81,14188.795999999998
M5S,2021,8760,4081.911415525114,4024.9000000000005,2060.4,7136.3,5418.42,5818.32,6118.304999999999,6450.928
M5S,2022,8760,4175.877557077625,4118.5,2142.0,7438.5,5527.53,5917.735,6231.702499999999,6596.541
M5S,2023,8760,3986.99299086758,3972.35,2086.4,7239.7,5144.33,5457.1,5783.9349999999995,6138.808999999999
M5S,2024,8784,4000.875808287796,3948.3,2090.2999999999997,7041.9,5212.82,5540.47,5806.619999999998,6265.8099999999995
M5S,2025,8760,4298.387534246575,4189.4,2141.4,7622.4,5898.14,6315.279999999999,6610.957499999999,6953.446
M6G,2021,8760,10720.582442922374,10467.7,4977.3,21035.8,14767.75,16098.429999999997,17357.817499999997,18675.151
M6G,2022,8760,10846.855079908675,10589.1,4954.9,21317.300000000003,14909.95,15960.025,17069.137499999997,18162.768
M6G,2023,8760,11604.101894977168,11487.599999999999,5802.2,23652.4,15321.380000000001,16348.185,17562.71,19360.963999999993
M6G,2024,8784,11687.722893897997,11443.850000000002,5804.1,23770.8,15758.48,16988.65,18282.584999999995,19717.254
M6G,2025,8760,12580.778356164385,12174.650000000001,5962.9,27460.100000000002,17034.2,18772.435,20923.88749999999,23318.574
M9R,2021,8760,5250.6110616438355,4908.700000000001,2462.1,14127.4,7487.320000000001,9267.529999999997,10870.404999999999,12164.675999999996
M9R,2022,8760,5220.931426940639,4884.15,2370.1,14527.3,7502.43,8731.009999999995,10010.539999999997,11468.762999999999
M9R,2023,8760,5543.8565981735155,5291.45,2875.0,14852.6,7541.590000000001,8704.414999999997,9965.595000000001,11322.215
M9R,2024,8784,5712.728472222222,5372.7,1377.7,14320.6,7980.2699999999995,9539.060000000001,10854.722499999996,11964.606
M9R,2025,8760,5981.453093607306,5586.200000000001,2947.6,16243.6,8290.67,10309.704999999982,12316.929999999997,13996.504999999996
M9W,2021,8760,8875.76144977169,8402.0,4361.1,21321.999999999996,12335.710000000001,14712.605,16744.449999999993,18915.801999999996
M9W,2022,8760,9092.9924543379,8549.099999999999,4433.6,22687.3,13155.38,15074.394999999999,16460.359999999993,18311.835
M9W,2023,8760,14256.490410958904,14281.15,7954.4,29812.199999999997,18067.11,20157.189999999995,22169.347499999996,24930.831
M9W,2024,8784,14504.231682604735,14333.05,7964.7,30178.2,18814.579999999998,21479.47,23435.312499999993,25794.622
M9W,2025,8760,14951.653641552512,14509.3,7887.900000000001,33712.2,19171.920000000002,22773.569999999992,26601.012499999997,29371.752999999993
